Date,CHINA A ONSHORE VALUE WEIGHTED
2010-06-21,720.6156080051683
2010-06-22,720.539000351158
2010-06-23,714.0544302818505
2010-06-24,715.5997578131581
2010-06-25,710.9115379891376
2010-06-28,705.6061043460224
2010-06-29,672.858239113408
2010-06-30,666.09591560404
2010-07-01,657.8420467780523
2010-07-02,662.4463807075009
2010-07-05,657.5679322497165
2010-07-06,670.0732196999013
2010-07-07,675.3804161738404
2010-07-08,674.2532061112821
2010-07-09,693.1320807823228
2010-07-12,701.9836577174354
2010-07-13,690.3634631786549
2010-07-14,695.4930575744139
2010-07-15,682.630539950685
2010-07-16,685.2674448814896
2010-07-19,701.6564037458517
2010-07-20,716.7324495902528
2010-07-21,718.7680335132096
2010-07-22,727.5022796841542
2010-07-23,729.8396270996383
2010-07-26,734.3723570579323
2010-07-27,730.6141108531729
2010-07-28,749.0353559468952
2010-07-29,754.3834349202797
2010-07-30,752.7707499944472
2010-08-02,765.277452964798
2010-08-03,751.4086026683334
2010-08-04,754.0719664928372
2010-08-05,746.9334450112077
2010-08-06,759.7204752673608
2010-08-09,764.7641095839552
2010-08-10,741.4289433401115
2010-08-11,746.1673071143842
2010-08-12,735.8173572553828
2010-08-13,744.8619039472353
2010-08-16,760.4815783125338
2010-08-17,767.1273128207291
2010-08-18,764.8753399923521
2010-08-19,769.4060526608195
2010-08-20,754.9991592063875
2010-08-23,753.4610160124757
2010-08-24,759.4417318205736
2010-08-25,740.4958120322542
2010-08-26,742.4469836017457
2010-08-27,744.461075360479
2010-08-30,757.5265550897271
2010-08-31,753.7406986813573
2010-09-01,748.1219851342258
2010-09-02,758.1483716649576
2010-09-03,757.7977454802436
2010-09-06,773.5846740316891
2010-09-07,776.2026787355354
2010-09-08,773.3750208200156
2010-09-09,759.6139105907012
2010-09-10,761.5384429122058
2010-09-13,770.6460107147659
2010-09-14,772.5947563367207
2010-09-15,760.8082196433459
2010-09-16,747.6608393412835
2010-09-17,747.2187489581517
2010-09-20,744.6074385537016
2010-09-21,747.0702737198019
2010-09-22,747.0702737198019
2010-09-23,747.0702737198019
2010-09-24,747.0702737198019
2010-09-27,759.9636281708797
2010-09-28,752.3675940676759
2010-09-29,750.6085602084884
2010-09-30,765.0839485941772
