Date,PAKISTAN SMALL CAP
2015-08-05,3083.235997464241
2015-08-06,3108.4087674506936
2015-08-07,3131.6918451278425
2015-08-10,3123.1844082126613
2015-08-11,3122.7388556515266
2015-08-12,3094.5254649111553
2015-08-13,3091.221770768595
2015-08-14,3091.221770768595
2015-08-17,3051.794783418586
2015-08-18,3058.9210330967344
2015-08-19,3049.8638319507127
2015-08-20,3039.1558372371833
2015-08-21,2982.729587058278
2015-08-24,2811.8425209552265
2015-08-25,2900.2438436020716
2015-08-26,2888.5648456258527
2015-08-27,2930.741683288573
2015-08-28,2967.924405655802
2015-08-31,2955.0632971268624
2015-09-01,2916.6889253602976
2015-09-02,2926.6676446954957
2015-09-03,2939.2176608562036
2015-09-04,2886.3090658360247
2015-09-07,2815.3275928226385
2015-09-08,2848.8647688707597
2015-09-09,2856.428209479832
2015-09-10,2852.5652486102917
2015-09-11,2827.539260839512
2015-09-14,2784.932728372096
2015-09-15,2785.323398771624
2015-09-16,2805.9972964722033
2015-09-17,2798.126666498705
2015-09-18,2771.1724426630853
2015-09-21,2778.9950700382637
2015-09-22,2786.6559730061217
2015-09-23,2790.6099411302216
2015-09-24,2790.6099411302216
2015-09-25,2790.6099411302216
2015-09-28,2776.05947761622
2015-09-29,2735.2142248233476
2015-09-30,2737.4381397102857
2015-10-01,2780.709100100055
2015-10-02,2799.626321824371
2015-10-05,2798.6802627176153
2015-10-06,2819.4788179622983
2015-10-07,2838.580035992396
2015-10-08,2865.1067238660135
2015-10-09,2886.251199750661
2015-10-12,2884.6360410560337
2015-10-13,2868.1653299902746
2015-10-14,2858.7595311788045
2015-10-15,2861.018981259486
2015-10-16,2852.992556993028
2015-10-19,2860.4707897300455
2015-10-20,2842.2607652911734
2015-10-21,2847.8505092650184
2015-10-22,2861.7280742405887
2015-10-23,2861.7280742405883
2015-10-26,2853.3999632042983
2015-10-27,2835.906108628187
2015-10-28,2853.93935847342
2015-10-29,2866.2655448478217
2015-10-30,2854.005706104703
2015-11-02,2854.1897498974545
2015-11-03,2869.298280495589
2015-11-04,2895.789714799844
2015-11-05,2891.1413966267805
2015-11-06,2893.351250813952
2015-11-09,2884.47059453488
2015-11-10,2859.4026796311878
2015-11-11,2871.472487282995
2015-11-12,2923.481727657719
2015-11-13,2916.4709476676685
2015-11-16,2904.118223077034
2015-11-17,2905.762440311181
2015-11-18,2896.302120134101
2015-11-19,2891.4809824782446
2015-11-20,2882.0910566072603
2015-11-23,2867.167169515969
2015-11-24,2851.4905840307238
2015-11-25,2833.6903136201727
2015-11-26,2832.6744031515013
