Date,EASEA INDEX (EAFE ex JAPAN)
2010-01-07,127.73356258022926
2010-01-08,128.2284357202678
2010-01-11,128.14060107823312
2010-01-12,126.91244441838809
2010-01-13,126.91516774870871
2010-01-14,127.9762570532202
2010-01-15,126.98336254073595
2010-01-18,127.78277352893646
2010-01-19,128.64143507362758
2010-01-20,126.9404772843128
2010-01-21,125.22856357225956
2010-01-22,123.66425024225006
2010-01-25,122.78584332558376
2010-01-26,123.2133846131878
2010-01-27,122.0542749927791
2010-01-28,121.1721043956514
2010-01-29,121.81536886517655
2010-02-01,122.29861697288896
2010-02-02,123.37771722710859
2010-02-03,123.07508784455678
2010-02-04,120.13785108430224
2010-02-05,117.5902584659022
2010-02-08,118.3305275230771
2010-02-09,118.50371507891492
2010-02-10,119.32321144900082
2010-02-11,120.17388045761105
2010-02-12,119.89668745579621
2010-02-15,120.38438002496312
2010-02-16,121.52650057544506
2010-02-17,123.34722654973629
2010-02-18,123.96128361826743
2010-02-19,124.35222569735086
2010-02-22,124.40354091901362
2010-02-23,123.24454208832739
2010-02-24,123.21773910970178
2010-02-25,121.3312616726905
2010-02-26,122.58264483951419
2010-03-01,124.325073162468
2010-03-02,125.19416007867113
2010-03-03,125.9950125804811
2010-03-04,126.25587514529735
2010-03-05,128.18893964100474
2010-03-08,128.31586636495163
2010-03-09,128.42985001019267
2010-03-10,129.09531945088514
2010-03-11,128.75328897068854
2010-03-12,128.9786311157672
2010-03-15,128.22482810397094
2010-03-16,129.1560218619392
2010-03-17,130.58572257797863
2010-03-18,130.70721715211005
2010-03-19,130.39171478174734
2010-03-22,130.0962000378046
2010-03-23,131.04775315614387
2010-03-24,131.38321450145793
2010-03-25,132.46234630249447
2010-03-26,131.87720005669317
2010-03-29,132.13103086939577
2010-03-30,132.3400629332698
2010-03-31,131.80122071815762
2010-04-01,133.6934536133489
2010-04-02,133.6934536133489
2010-04-05,133.73980295808767
2010-04-06,134.86418454227447
2010-04-07,134.7286013279709
2010-04-08,133.62149358799843
2010-04-09,135.10032364804684
