Date,SOUTH AFRICA MINIMUM VOLATILITY (ZAR)
2013-04-17,3996.0058619091424
2013-04-18,3997.144757145734
2013-04-19,4017.2642127037548
2013-04-22,3985.5582003621103
2013-04-23,4037.645757766015
2013-04-24,4066.088353068456
2013-04-25,4146.881758717158
2013-04-26,4101.350039898524
2013-04-29,4160.21732183718
2013-04-30,4134.2383289789805
2013-05-01,4104.140559511743
2013-05-02,4244.804417994407
2013-05-03,4271.115781061299
2013-05-06,4252.105181857579
2013-05-07,4226.943087895298
2013-05-08,4258.99704189676
2013-05-09,4287.295841474849
2013-05-10,4280.098887288652
2013-05-13,4293.711908253873
2013-05-14,4292.229294935733
2013-05-15,4327.414046176311
2013-05-16,4327.839267468403
2013-05-17,4292.322264091991
2013-05-20,4159.493849034949
2013-05-21,4160.58784183739
2013-05-22,4147.954505850495
2013-05-23,4077.783532975022
2013-05-24,4079.67616754101
2013-05-27,4073.1178436828995
2013-05-28,4088.1934832609813
2013-05-29,3966.967350138857
2013-05-30,3883.1814465000843
2013-05-31,3911.2566185102805
2013-06-03,3854.986707105212
2013-06-04,3923.129698092452
2013-06-05,3777.65868106223
2013-06-06,3687.7461369919392
2013-06-07,3730.875824376196
2013-06-10,3645.634959808155
2013-06-11,3538.0987000949913
2013-06-12,3553.234363194322
2013-06-13,3596.717635776751
2013-06-14,3635.737175254377
2013-06-17,3657.5904374111137
2013-06-18,3673.999448992016
2013-06-19,3678.4503806236917
2013-06-20,3516.127387175643
2013-06-21,3519.245968296305
2013-06-24,3493.065628818585
2013-06-25,3544.4264541166444
2013-06-26,3642.4005052576176
