Date,CHINA A QUALITY
2017-08-16,3044.4162220219137
2017-08-17,3036.146328489041
2017-08-18,3030.1365047035206
2017-08-21,3025.8972968373773
2017-08-22,3042.6197832607054
2017-08-23,3031.0781099643145
2017-08-24,3013.3441533938235
2017-08-25,3012.3009265843207
2017-08-28,3030.8495618262887
2017-08-29,3020.800070138753
2017-08-30,3062.860331644912
2017-08-31,3060.343901479542
2017-09-01,3083.4712743601453
2017-09-04,3121.948467311433
2017-09-05,3117.6200661600524
2017-09-06,3115.1000172192335
2017-09-07,3092.195891703607
2017-09-08,3102.1751642626045
2017-09-11,3094.4559544368453
2017-09-12,3101.2630681417227
2017-09-13,3139.461777582123
2017-09-14,3124.492024550297
2017-09-15,3135.3673884453906
2017-09-18,3158.963002557772
2017-09-19,3124.9972800032815
2017-09-20,3155.6430335733003
2017-09-21,3163.8981881927452
2017-09-22,3164.198843852433
2017-09-25,3186.215166585688
2017-09-26,3201.3934075623283
2017-09-27,3221.4792876617016
2017-09-28,3220.720161106134
2017-09-29,3241.384273444589
2017-10-02,3265.136748522659
2017-10-03,3259.9978630024175
2017-10-04,3258.057635561955
2017-10-05,3271.1293593974924
2017-10-06,3266.110793152519
2017-10-09,3314.5492490744564
2017-10-10,3331.1403641532775
2017-10-11,3393.652057714563
2017-10-12,3390.5645366085528
2017-10-13,3403.0225135145306
2017-10-16,3396.642122701381
2017-10-17,3405.7926907364
2017-10-18,3467.420536799324
2017-10-19,3472.611899115207
2017-10-20,3462.0253822230816
2017-10-23,3483.564678642542
2017-10-24,3519.773316050324
2017-10-25,3516.757815091082
2017-10-26,3558.487938949432
2017-10-27,3619.549632007939
2017-10-30,3587.390288482995
2017-10-31,3604.786060132418
2017-11-01,3612.775752634666
2017-11-02,3619.424198825382
2017-11-03,3636.7163936369498
2017-11-06,3738.2373602048588
2017-11-07,3728.7770150153647
2017-11-08,3694.928465523726
2017-11-09,3721.6735582994415
2017-11-10,3785.01669093011
2017-11-13,3783.952588904632
2017-11-14,3674.1970858960376
2017-11-15,3647.0575931101307
2017-11-16,3715.4259210710047
2017-11-17,3682.383469403704
2017-11-20,3713.246427559714
2017-11-21,3796.4628996099236
2017-11-22,3730.581406609663
2017-11-23,3567.9191416039043
2017-11-24,3526.087072092696
2017-11-27,3471.378131535477
2017-11-28,3521.6914692846294
2017-11-29,3474.4275050355027
2017-11-30,3416.6011181472522
2017-12-01,3453.008265799857
2017-12-04,3499.1341563137476
2017-12-05,3501.1571372175335
2017-12-06,3496.4533180868816
2017-12-07,3436.921317514961
2017-12-08,3506.028048870339
2017-12-11,3613.8575541192117
2017-12-12,3610.669480812252
2017-12-13,3671.1619097969533
2017-12-14,3656.54939389841
2017-12-15,3609.593438042361
2017-12-18,3612.334927240795
2017-12-19,3655.331975783354
2017-12-20,3682.722077471115
2017-12-21,3744.322227683098
2017-12-22,3737.2139256612286
2017-12-25,3741.981362160738
2017-12-26,3714.8734097045203
2017-12-27,3629.9816478748658
2017-12-28,3689.5637519873576
2017-12-29,3693.845722736993
2018-01-01,3693.845722736993
2018-01-02,3714.5669188724783
2018-01-03,3756.5717832507025
2018-01-04,3796.4641849301315
2018-01-05,3807.7048598934584
2018-01-08,3837.71302202796
2018-01-09,3912.7663776405116
2018-01-10,3941.356642545309
2018-01-11,3915.9966916093185
2018-01-12,3942.1756631351323
2018-01-15,3901.453843158283
2018-01-16,3930.018764279344
2018-01-17,3842.1926590048206
2018-01-18,3847.443399100271
2018-01-19,3846.227733256311
2018-01-22,3968.148828888294
2018-01-23,3983.2820994818235
2018-01-24,3952.6579101303573
2018-01-25,3924.5814596319947
2018-01-26,3962.717832428808
2018-01-29,3842.8000401993045
2018-01-30,3813.008400581412
2018-01-31,3873.5364356581995
2018-02-01,3823.052283796743
2018-02-02,3844.7714535242003
2018-02-05,3767.0374702072977
2018-02-06,3676.791797102407
2018-02-07,3587.986646922781
2018-02-08,3613.6185684952
2018-02-09,3549.252664217837
2018-02-12,3678.7598041253723
2018-02-13,3681.673494661187
2018-02-14,3716.224437511701
2018-02-15,3711.968016312133
2018-02-16,3720.057972227699
2018-02-19,3723.8794093348147
2018-02-20,3722.4536112293385
2018-02-21,3732.9539969946527
2018-02-22,3836.0557055603094
2018-02-23,3833.3795945105503
2018-02-26,3892.078999304892
2018-02-27,3840.3920357662805
2018-02-28,3813.5323579135816
2018-03-01,3846.416976707366
2018-03-02,3782.775403895755
2018-03-05,3772.607563793679
2018-03-06,3801.6725465697064
2018-03-07,3760.3518404600254
2018-03-08,3847.891040659606
2018-03-09,3910.920977319257
2018-03-12,3918.615399783374
2018-03-13,3853.365371483243
2018-03-14,3871.347293455107
2018-03-15,3920.682903616234
2018-03-16,3868.5393082397754
2018-03-19,3874.8243842350525
2018-03-20,3890.012853941768
2018-03-21,3875.4742018536936
2018-03-22,3777.3131367325313
2018-03-23,3682.5581882230003
2018-03-26,3694.811031696522
2018-03-27,3733.8039584205135
2018-03-28,3623.9668095109464
2018-03-29,3678.5878463463773
2018-03-30,3697.087976114517
2018-04-02,3658.4117478466887
2018-04-03,3655.076683070687
2018-04-04,3668.067444849005
2018-04-05,3687.2245425713404
2018-04-06,3672.232002525732
2018-04-09,3625.6173127497186
2018-04-10,3695.6773786991894
2018-04-11,3707.3189695575775
2018-04-12,3708.4541656807273
2018-04-13,3665.5362611835
2018-04-16,3624.5254507620634
2018-04-17,3521.343397847592
2018-04-18,3507.31776327022
2018-04-19,3591.0393091883316
2018-04-20,3567.8837875413747
2018-04-23,3578.9352124047955
2018-04-24,3669.640434332522
2018-04-25,3678.1878351320374
2018-04-26,3593.3134260665274
2018-04-27,3578.9050294260082
2018-04-30,3589.1060761378103
2018-05-01,3605.271421087501
2018-05-02,3647.3486783261383
2018-05-03,3699.287275217108
2018-05-04,3707.1037479580514
2018-05-07,3806.7607061507747
2018-05-08,3870.0563567731574
2018-05-09,3871.0384103724527
2018-05-10,3938.113723018182
2018-05-11,3897.9787008340854
2018-05-14,3960.1622082759213
2018-05-15,4004.476380696036
2018-05-16,4039.650012590338
2018-05-17,3981.6604244907744
2018-05-18,4006.994699823712
2018-05-21,4022.2126391411593
2018-05-22,4032.3914432844053
2018-05-23,3988.5885491002778
2018-05-24,3939.5874690581118
2018-05-25,3969.032215865963
2018-05-28,4071.167158841104
2018-05-29,4023.7078665543804
2018-05-30,3995.0164511865796
2018-05-31,4111.794204690837
2018-06-01,4047.5134907523434
2018-06-04,4110.602517876129
2018-06-05,4193.050763681009
2018-06-06,4170.97487336463
2018-06-07,4126.911255897863
2018-06-08,4112.4348803261455
2018-06-11,4076.824469357323
2018-06-12,4185.6621824108615
2018-06-13,4137.835349863649
2018-06-14,4121.056034194936
2018-06-15,4082.840992044793
2018-06-18,4069.938841396482
2018-06-19,3934.768293148587
2018-06-20,4009.871097337156
2018-06-21,3954.124794497547
2018-06-22,3957.2565582784605
2018-06-25,3900.911207574495
2018-06-26,3847.8738746668273
2018-06-27,3731.349242155408
2018-06-28,3651.728100695575
2018-06-29,3750.5960708521934
2018-07-02,3653.476443288629
2018-07-03,3596.2861008317036
2018-07-04,3544.220302651245
2018-07-05,3484.8090495994206
2018-07-06,3497.712529689296
2018-07-09,3637.7525355530274
2018-07-10,3659.7469727791376
2018-07-11,3581.998583793857
2018-07-12,3675.175427002369
2018-07-13,3722.3292372699434
2018-07-16,3706.5047642583154
2018-07-17,3656.6253743161965
2018-07-18,3625.6062973197104
2018-07-19,3608.17233379226
2018-07-20,3614.4018883776253
2018-07-23,3569.2171402525328
2018-07-24,3646.104305626844
2018-07-25,3669.582395835288
2018-07-26,3596.6094903447306
2018-07-27,3577.659662504084
2018-07-30,3513.8478076379324
2018-07-31,3516.7677142641696
2018-08-01,3446.7495625387883
2018-08-02,3361.9895237730034
2018-08-03,3271.9793572274016
2018-08-06,3191.0915422605785
2018-08-07,3296.7992196257
2018-08-08,3221.364147489086
2018-08-09,3348.425127156107
2018-08-10,3403.379294888147
2018-08-13,3374.82260818291
2018-08-14,3368.383865265975
2018-08-15,3254.9943705475607
2018-08-16,3235.854104503478
2018-08-17,3163.7414362929126
2018-08-20,3173.23308898486
2018-08-21,3256.097570275581
2018-08-22,3198.8105886008275
2018-08-23,3193.214425387436
2018-08-24,3203.082193137323
2018-08-27,3313.886681832622
2018-08-28,3296.265304215319
2018-08-29,3261.1414763448065
2018-08-30,3226.940097302714
2018-08-31,3192.517793457077
2018-09-03,3172.9386464404265
2018-09-04,3220.589476348767
2018-09-05,3144.9117629662646
2018-09-06,3090.909998988399
2018-09-07,3115.6264985988305
2018-09-10,3049.6189880543807
2018-09-11,3049.6156996976893
2018-09-12,2990.3006835635824
2018-09-13,2997.6533207623875
2018-09-14,3007.8733418751003
2018-09-17,2966.711792283551
2018-09-18,3023.0697900848136
2018-09-19,3102.732307404062
2018-09-20,3085.3361443050294
2018-09-21,3191.450691864154
2018-09-24,3173.6055425218156
2018-09-25,3145.054635043243
2018-09-26,3206.4540448059197
2018-10-29,2675.768967880812
2018-10-30,2684.3777113898977
2018-10-31,2776.8053846438615
