Date,THAILAND ESG LEADERS
2020-12-03,2022.7782357562626
2020-12-04,2047.6033602698014
2020-12-07,2048.9534098747927
2020-12-08,2102.448027010289
2020-12-09,2110.1074830160696
2020-12-10,2101.7571669119625
2020-12-11,2105.5761764244194
2020-12-14,2083.161867527715
2020-12-15,2075.976334555408
2020-12-16,2081.262456701204
2020-12-17,2075.912736193317
2020-12-18,2068.3308290685804
2020-12-21,1945.2010084409355
2020-12-22,1964.2496228913249
2020-12-23,1938.1476009467733
2020-12-24,1981.7783908333788
2020-12-25,1996.8454437344114
2020-12-28,1951.0159891823462
2020-12-29,1997.0444797248304
2020-12-30,1961.860277455841
2020-12-31,1972.2824848061439
2021-01-01,1972.2824848061452
2021-01-04,1992.0126836387292
2021-01-05,2030.0258391117502
2021-01-06,2017.0876150346771
2021-01-07,2041.528375559217
2021-01-08,2058.162159332738
2021-01-11,2052.9658550627237
2021-01-12,2054.828864269429
2021-01-13,2074.320579688705
2021-01-14,2080.831751573381
2021-01-15,2069.0753776602546
2021-01-18,2049.7939415043124
2021-01-19,2058.309229747242
2021-01-20,2063.8091441792026
2021-01-21,2077.3111571897034
2021-01-22,2057.9119752906795
2021-01-25,2077.1371734029276
2021-01-26,2078.990365315929
2021-01-27,2072.079524011443
2021-01-28,2022.171149880938
2021-01-29,2017.352990053272
2021-02-01,2048.2214788910733
2021-02-02,2073.8430026373417
2021-02-03,2067.833105217507
2021-02-04,2072.0248946017637
2021-02-05,2086.6806909204106
2021-02-08,2122.573496770421
2021-02-09,2120.1015095540183
2021-02-10,2117.256766342094
2021-02-11,2108.7718409707177
2021-02-12,2111.1210112354443
2021-02-15,2101.7228300609936
2021-02-16,2117.5260656883024
2021-02-17,2114.9292791327603
2021-02-18,2099.376110062341
2021-02-19,2078.3376212476055
2021-02-22,2047.796287961863
2021-02-23,2086.7721464448437
2021-02-24,2085.174781009485
2021-02-25,2064.4644173230436
2021-02-26,2079.0915338076193
2021-03-01,2108.492303547491
2021-03-02,2099.0109335447187
2021-03-03,2162.971782281891
2021-03-04,2152.9106614284083
2021-03-05,2177.149974865909
2021-03-08,2165.665889799648
2021-03-09,2179.376885212002
2021-03-10,2219.596420174231
2021-03-11,2221.651656394711
2021-03-12,2195.2590680381013
2021-03-15,2199.434183305502
2021-03-16,2196.2590086072532
2021-03-17,2196.105064269067
2021-03-18,2186.4477569060346
2021-03-19,2175.649826615062
2021-03-22,2167.055928214721
2021-03-23,2174.633378760144
2021-03-24,2184.861872416862
2021-03-25,2198.3150152702833
2021-03-26,2198.2637074983295
2021-03-29,2210.499046612928
2021-03-30,2220.5078167837314
2021-03-31,2214.48706101712
2021-04-01,2207.442094831273
2021-04-02,2202.007750351587
2021-04-05,2153.3186809551607
2021-04-06,2145.952399463592
2021-04-07,2113.098473031611
2021-04-08,2107.476662476714
2021-04-09,2132.4336752472022
2021-04-12,2094.6425737894874
2021-04-13,2091.4809817113182
2021-04-14,2084.140918938652
2021-04-15,2083.705634703285
2021-04-16,2105.5133904547797
2021-04-19,2126.439719543743
2021-04-20,2134.387808198641
2021-04-21,2128.7270747357193
2021-04-22,2112.809493813436
2021-04-23,2081.0997050400624
2021-04-26,2080.75146340112
2021-04-27,2080.853516645093
2021-04-28,2107.7260615735613
2021-04-29,2138.0497488651818
2021-04-30,2141.646541120065
2021-05-03,2135.172558863998
2021-05-04,2142.714516456395
2021-05-05,2102.22845054026
2021-05-06,2111.2762603022097
2021-05-07,2110.7087256422865
2021-05-10,2108.780273406988
2021-05-11,2107.9753648665346
2021-05-12,2081.2483621703004
2021-05-13,2052.3788782141796
2021-05-14,2045.5648640704017
2021-05-17,2025.4242969688144
2021-05-18,2033.7776392427863
2021-05-19,2024.2588726696
2021-05-20,2020.3469175081289
2021-05-21,2022.0680755657886
2021-05-24,2004.9563120214511
2021-05-25,2018.004314233863
2021-05-26,2022.4639922763686
2021-05-27,2062.009100867774
2021-05-28,2061.805039314664
2021-05-31,2061.7487963223793
2021-06-01,2086.338476889607
2021-06-02,2091.6936608790747
2021-06-03,2103.6713085210868
2021-06-04,2075.632380975121
2021-06-07,2076.6078806023775
2021-06-08,2079.4394452044085
2021-06-09,2100.86495415499
2021-06-10,2106.350142387353
2021-06-11,2142.8666921331946
2021-06-14,2134.2668522763993
2021-06-15,2115.8812273282483
2021-06-16,2121.139725700328
2021-06-17,2123.4604614065806
2021-06-18,2131.707752309949
2021-06-21,2095.534949261801
2021-06-22,2086.2864791128527
2021-06-23,2057.3465589447233
2021-06-24,2062.056842153244
2021-06-25,2063.846180863934
2021-06-28,2038.5037056611386
2021-06-29,2051.620735923592
2021-06-30,2052.178893049289
2021-07-01,2062.8199475965425
2021-07-02,2044.1248188312618
2021-07-05,2047.0296744622872
2021-07-06,2051.499607146314
2021-07-07,2036.3944574386455
2021-07-08,1990.866387098519
2021-07-09,1984.8293428477075
2021-07-12,1967.6811198809316
2021-07-13,2008.7992799759547
2021-07-14,1995.6996959971852
2021-07-15,1980.9982088192126
2021-07-16,1995.6758701732183
2021-07-19,1971.132462025471
2021-07-20,1961.4397267499157
2021-07-21,1956.458406614028
2021-07-22,1967.4002904388808
2021-07-23,1960.048911606287
2021-07-26,1952.330223057024
2021-07-27,1936.7493941445157
2021-07-28,1941.0169888941036
2021-07-29,1933.6097977895633
2021-07-30,1918.637664786206
2021-08-02,1916.6753378642093
2021-08-03,1928.8277754059095
2021-08-04,1931.6891463571135
2021-08-05,1898.698429357993
2021-08-06,1901.0645258386442
2021-08-09,1921.5800372962883
2021-08-10,1937.4463053977354
2021-08-11,1932.8049659032263
2021-08-12,1934.3703904461368
2021-08-13,1929.5803912604852
2021-08-16,1935.7044462900647
2021-08-17,1971.4034934230808
2021-08-18,1987.124693390716
2021-08-19,1972.1136365503517
2021-08-20,1980.704458929884
2021-08-23,2012.0767477172285
2021-08-24,2041.1097214029833
2021-08-25,2075.3974992615217
2021-08-26,2078.9724852607906
2021-08-27,2092.5318411296553
2021-08-30,2136.6857818681883
2021-08-31,2163.3464328473924
2021-09-01,2121.778407806861
2021-09-02,2116.3313933576137
2021-09-03,2108.273023888897
2021-09-06,2105.8708048467715
2021-09-07,2101.84451790661
2021-09-08,2091.2211342729465
2021-09-09,2072.680504842632
2021-09-10,2070.8255426234086
2021-09-13,2077.2644778757563
2021-09-14,2069.681709017338
2021-09-15,2083.7574171314573
2021-09-16,2092.7088791172237
2021-09-17,2081.511433460502
2021-09-20,2047.3212166972307
2021-09-21,2070.688264644847
2021-09-22,2077.282799035632
2021-09-23,2103.5115238325507
2021-09-24,2109.976407501648
2021-09-27,2088.452448083355
2021-09-28,2072.8684301593394
2021-09-29,2070.2878986758365
2021-09-30,2072.1472124456263
2021-10-01,2083.979679620572
2021-10-04,2083.8781336951015
2021-10-05,2107.508751399033
2021-10-06,2089.4176673411353
2021-10-07,2108.0497510146424
2021-10-08,2110.868789409823
2021-10-11,2099.1525962981677
2021-10-12,2154.9278343789206
2021-10-13,2150.18027208451
2021-10-14,2163.5107690653676
2021-10-15,2154.541103676863
2021-10-18,2149.0119614129185
2021-10-19,2133.20481551566
2021-10-20,2135.2583682144627
2021-10-21,2140.018026725919
2021-10-22,2139.9261528570855
2021-10-25,2154.0283273054547
2021-10-26,2157.2253892476556
2021-10-27,2129.385256368003
2021-10-28,2127.1800831501796
2021-10-29,2149.210839473912
2021-11-01,2126.7054943934286
2021-11-02,2149.698627221862
2021-11-03,2137.699111972479
2021-11-04,2153.1660052913944
2021-11-05,2156.7817331820697
2021-11-08,2183.5988713409815
2021-11-09,2202.141976652168
2021-11-10,2211.177248850346
2021-11-11,2210.611089389191
2021-11-12,2221.6651270455463
2021-11-15,2236.83375091196
2021-11-16,2267.500899729881
2021-11-17,2263.479942377203
2021-11-18,2271.5041548797476
2021-11-19,2254.336399866465
2021-11-22,2268.865858110428
2021-11-23,2246.28007609013
2021-11-24,2242.6605099546814
2021-11-25,2226.8531145932925
2021-11-26,2134.923509222959
2021-11-29,2110.3166687950875
2021-11-30,2077.949375742658
2021-12-01,2088.472834945614
2021-12-02,2080.4454605311457
2021-12-03,2084.6740266995553
2021-12-06,2086.4312161102866
2021-12-07,2133.21570340011
2021-12-08,2138.4589671079225
2021-12-09,2137.086788342692
2021-12-10,2133.494886977881
2021-12-13,2157.1100333136683
2021-12-14,2168.461446878205
2021-12-15,2152.6962389903892
2021-12-16,2177.190652965666
2021-12-17,2180.0216124773024
2021-12-20,2118.526057536773
2021-12-21,2128.82210832099
2021-12-22,2109.2072463336954
2021-12-23,2148.7863488355415
2021-12-24,2148.0799273249054
2021-12-27,2134.4554531442195
2021-12-28,2156.9500024193017
2021-12-29,2174.996972358252
2021-12-30,2186.5154443004517
2021-12-31,2178.632298572672
2022-01-03,2194.067171392882
2022-01-04,2213.5435538022557
2022-01-05,2216.6184198370875
2022-01-06,2167.5989361616953
2022-01-07,2149.901523581998
2022-01-10,2155.843498132231
2022-01-11,2181.1611468112774
2022-01-12,2174.3662263030265
2022-01-13,2169.92375900239
2022-01-14,2169.981809233638
2022-01-17,2186.5008188345523
2022-01-18,2179.7060298162705
2022-01-19,2188.6389496789543
2022-01-20,2200.493693026765
2022-01-21,2199.7806021521683
2022-01-24,2204.331135402774
2022-01-25,2205.429535832785
2022-01-26,2226.3395919430263
2022-01-27,2234.4709268143597
2022-01-28,2235.636385976931
2022-01-31,2234.747199758825
2022-02-01,2239.8303309053026
2022-02-02,2232.6416372047743
2022-02-03,2218.96161878285
2022-02-04,2220.053492938377
2022-02-07,2224.298472411169
2022-02-08,2246.133649631039
2022-02-09,2300.4904001807927
2022-02-10,2304.050181780962
2022-02-11,2308.8106152519063
2022-02-14,2323.9194872782355
2022-02-15,2346.226906779427
2022-02-16,2344.575288560039
2022-02-17,2377.7844121909857
2022-02-18,2389.507920504778
2022-02-21,2362.4634837570475
2022-02-22,2336.940699536556
2022-02-23,2360.851017259481
2022-02-24,2346.9721859590704
2022-02-25,2344.9330631417984
2022-02-28,2344.176751689503
2022-03-01,2388.3198421226907
2022-03-02,2411.6418433924214
2022-03-03,2426.4966956761987
2022-03-04,2418.2021872725004
2022-03-07,2349.2653032325065
2022-03-08,2333.350829966497
2022-03-09,2325.2497205348136
2022-03-10,2338.1660714452682
2022-03-11,2354.211725501983
2022-03-14,2347.9538683880232
2022-03-15,2327.6771464138633
2022-03-16,2355.7535897911384
2022-03-17,2352.623324060964
2022-03-18,2352.053682171252
2022-03-21,2329.840936367913
2022-03-22,2344.0916912441794
2022-03-23,2330.8172259577227
2022-03-24,2336.159850191774
2022-03-25,2339.1649434155743
2022-03-28,2336.3285282279426
2022-03-29,2326.755785285029
2022-03-30,2347.7856866244288
2022-03-31,2349.162696603049
2022-04-01,2362.4510375421887
2022-04-04,2368.7053502149183
2022-04-05,2387.237784046138
2022-04-06,2391.391593093885
2022-04-07,2353.1835471033055
2022-04-08,2361.2365680139505
2022-04-11,2359.450690578328
2022-04-12,2351.9659255625093
2022-04-13,2357.6032718694582
2022-04-14,2373.136128762024
2022-04-15,2373.1361287620207
2022-04-18,2352.207460354348
2022-04-19,2344.576341646768
2022-04-20,2330.4604109995257
2022-04-21,2338.1679017726888
2022-04-22,2346.109777243971
2022-04-25,2323.2753110414847
2022-04-26,2323.78727962403
2022-04-27,2372.472438109667
2022-04-28,2371.220228215522
2022-04-29,2374.273343861836
2022-05-02,2380.1393681826803
2022-05-03,2352.410842369022
2022-05-04,2350.180751984257
2022-05-05,2384.7123279809357
2022-05-06,2330.1985297627257
2022-05-09,2295.4359093799358
2022-05-10,2329.096220079638
2022-05-11,2309.768063846778
2022-05-12,2311.7672881489207
2022-05-13,2327.2969710672946
2022-05-16,2325.1718921336974
2022-05-17,2357.062414462
2022-05-18,2369.7657551825446
2022-05-19,2335.018006381145
2022-05-20,2383.348015460229
2022-05-23,2384.9157221219584
2022-05-24,2351.7248452062163
2022-05-25,2353.6500187289107
2022-05-26,2357.0580127405456
2022-05-27,2364.4667104417767
2022-05-30,2372.3956117887064
2022-05-31,2395.871405123788
2022-06-01,2399.394689410085
2022-06-02,2369.324617467159
2022-06-03,2368.109239235852
2022-06-06,2370.624996052404
2022-06-07,2337.581071171429
2022-06-08,2331.972792912669
2022-06-09,2360.5116904943675
2022-06-10,2353.341672996373
2022-06-13,2337.2807331114973
2022-06-14,2334.710098079473
2022-06-15,2318.4839013842648
2022-06-16,2246.0963371301486
2022-06-17,2251.6529424533596
2022-06-20,2239.4836778574586
2022-06-21,2249.5155240511144
2022-06-22,2209.4420219901463
2022-06-23,2220.738363647851
2022-06-24,2239.7736769211638
2022-06-27,2256.33948584589
2022-06-28,2308.768414797063
2022-06-29,2298.1607184393665
2022-06-30,2266.646112270863
2022-07-01,2274.25027315143
2022-07-04,2256.5810389140443
2022-07-05,2275.272430722069
2022-07-06,2280.6927984614767
2022-07-07,2315.058678114339
2022-07-08,2322.987748859597
2022-07-11,2331.3804849251615
2022-07-12,2314.407826640666
2022-07-13,2300.671789289813
2022-07-14,2297.037334396131
2022-07-15,2272.3085902403604
2022-07-18,2250.575154456871
2022-07-19,2225.3079906666835
2022-07-20,2228.439549567755
2022-07-21,2221.311014218514
2022-07-22,2237.592775810768
2022-07-25,2248.2368763812733
2022-07-26,2246.586791278769
2022-07-27,2264.754128332205
2022-07-28,2256.948860793272
2022-07-29,2247.8736974242215
2022-08-01,2288.8622265040894
2022-08-02,2298.240226659651
2022-08-03,2310.9262277120574
2022-08-04,2302.8577554875988
2022-08-05,2341.020925800056
2022-08-08,2334.4886500817724
2022-08-09,2370.190702670972
2022-08-10,2333.314070554744
2022-08-11,2370.5139372626186
2022-08-12,2393.884712572641
2022-08-15,2383.3619756037656
2022-08-16,2391.477452888752
2022-08-17,2404.4762234048467
2022-08-18,2393.5441080821774
2022-08-19,2402.7177952700245
2022-08-22,2380.9600978448434
2022-08-23,2399.5910419942143
2022-08-24,2403.4757968442336
2022-08-25,2440.1302590731266
2022-08-26,2411.446211152722
2022-08-29,2367.524882488759
2022-08-30,2399.2990404667194
2022-08-31,2389.119070550134
2022-09-01,2378.5607975452954
2022-09-02,2355.365804016553
2022-09-05,2381.8314629744677
2022-09-06,2394.9061366980222
2022-09-07,2381.5536900683474
2022-09-08,2398.7860712008496
2022-09-09,2390.0484976792145
2022-09-12,2383.6934398215644
2022-09-13,2424.4363825452338
2022-09-14,2390.1461298056747
2022-09-15,2359.49200116826
2022-09-16,2309.6867245398425
2022-09-19,2317.856039422801
2022-09-20,2332.716031331525
2022-09-21,2345.8933829774073
2022-09-22,2356.2764178635443
2022-09-23,2353.833399713879
2022-09-26,2332.633132550012
2022-09-27,2337.4397616970373
2022-09-28,2305.419300893733
2022-09-29,2274.909619889324
2022-09-30,2286.585406974992
2022-10-03,2216.8030911368787
2022-10-04,2239.5243245280494
2022-10-05,2279.3269649117365
2022-10-06,2287.680712074187
2022-10-07,2290.8981039122023
2022-10-10,2269.1955870089923
2022-10-11,2240.7534623806487
2022-10-12,2247.252628966359
2022-10-13,2243.5521151945827
2022-10-14,2235.0411777606155
2022-10-17,2231.260065579363
2022-10-18,2256.2568602211195
2022-10-19,2258.28155214729
2022-10-20,2269.8591095550296
2022-10-21,2270.062510423745
2022-10-24,2249.852535117226
2022-10-25,2254.890354755208
2022-10-26,2266.7722701426105
2022-10-27,2290.5052002940192
2022-10-28,2301.4323086862514
2022-10-31,2310.5323037501535
2022-11-01,2358.2522052001573
2022-11-02,2377.793559008604
2022-11-03,2374.0713270156307
2022-11-04,2366.3920447555724
2022-11-07,2347.600217324177
2022-11-08,2361.9227395280736
2022-11-09,2393.947814828137
2022-11-10,2359.7539208296103
2022-11-11,2422.0331828445073
2022-11-14,2401.752953668101
2022-11-15,2420.4078660525165
2022-11-16,2382.734766694532
2022-11-17,2373.6961746669513
2022-11-18,2376.560319686083
2022-11-21,2384.6527727401663
2022-11-22,2375.439756369504
2022-11-23,2351.5215970905188
2022-11-24,2372.77863917599
2022-11-25,2351.2825037414373
2022-11-28,2365.417720104009
2022-11-29,2409.7048220532556
2022-11-30,2458.476868078376
2022-12-01,2425.384031684131
2022-12-02,2421.2790584875984
2022-12-05,2408.859294141046
2022-12-06,2378.153631493672
