Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
2001-09-20,1129.9818014115185
2001-09-21,1104.90735719633
2001-09-24,1118.2857915693332
2001-09-25,1098.6749994234128
2001-09-26,1105.844307090703
2001-09-27,1120.5109587310524
2001-09-28,1149.537281496983
2001-10-01,1141.0231727700345
2001-10-02,1132.4634276072554
2001-10-03,1127.8030741676437
2001-10-04,1172.1075527159405
2001-10-05,1171.3645850884911
2001-10-08,1145.3198602968173
2001-10-09,1177.7006337066364
2001-10-10,1176.8150388640381
2001-10-11,1214.6346601395257
2001-10-12,1202.914461340886
2001-10-15,1195.8278664085249
2001-10-16,1204.6425537190257
2001-10-17,1223.9056866014855
2001-10-18,1211.3620451847107
2001-10-19,1208.201586413472
2001-10-22,1218.580311817095
2001-10-23,1238.0240205187201
2001-10-24,1251.643927756591
2001-10-25,1246.799427146353
2001-10-26,1258.1877458096815
2001-10-29,1231.3811796537361
2001-10-30,1203.531296343175
2001-10-31,1215.75665092116
2001-11-01,1209.6639714030093
2001-11-02,1217.5414772852287
2001-11-05,1244.6670575242404
2001-11-06,1245.2951806182768
2001-11-07,1237.0149008938404
2001-11-08,1269.1340540148026
2001-11-09,1287.6938440772885
2001-11-12,1296.5695021773558
2001-11-13,1316.482672679395
2001-11-14,1346.4311061335645
2001-11-15,1380.1370114265308
2001-11-16,1381.2971236776896
2001-11-19,1412.8400134727647
2001-11-20,1394.77164801912
2001-11-21,1412.6473218409587
2001-11-22,1413.0893723144977
2001-11-23,1444.4997513980868
2001-11-26,1476.741520435581
2001-11-27,1461.3682021628747
2001-11-28,1405.109402818345
2001-11-29,1404.4734860451001
2001-11-30,1408.8785854858927
2001-12-03,1434.2262891439127
2001-12-04,1454.251455680905
2001-12-05,1520.2401382269593
2001-12-06,1537.466889920296
2001-12-07,1568.8556494506201
2001-12-10,1545.191055538112
2001-12-11,1530.9827875732308
2001-12-12,1549.3617139238252
2001-12-13,1520.1349047476144
2001-12-14,1497.1048989157505
2001-12-17,1475.6487864542003
2001-12-18,1475.5682609791422
2001-12-19,1482.2396211195571
2001-12-20,1499.9216943894144
2001-12-21,1474.7378111148514
2001-12-24,1496.0254713185705
2001-12-25,1505.2842680343624
2001-12-26,1507.9126016047533
2001-12-27,1508.477071433808
2001-12-28,1542.7856402694035
2001-12-31,1541.4447070681363
2002-01-01,1541.4447070681363
2002-01-02,1540.8833798832086
2002-01-03,1557.0879745637512
2002-01-04,1605.9113150153926
2002-01-07,1640.0341161865495
2002-01-08,1621.9739834948905
2002-01-09,1634.8784377980776
2002-01-10,1609.696398894081
2002-01-11,1597.0410452078245
2002-01-14,1603.3309412502097
2002-01-15,1577.656097461042
2002-01-16,1576.1249204509809
2002-01-17,1583.897625934693
2002-01-18,1576.271986821758
2002-01-21,1602.9476963654593
2002-01-22,1593.6367094422535
2002-01-23,1606.0383300522822
2002-01-24,1630.4783526088265
2002-01-25,1693.262068254819
2002-01-28,1717.2269930260043
2002-01-29,1720.8619400181733
2002-01-30,1686.5882936714188
2002-01-31,1699.7259838747768
2002-02-01,1686.777741403503
2002-02-04,1670.3578680951134
2002-02-05,1667.349006053296
2002-02-06,1673.4477809013904
2002-02-07,1649.9484424780558
2002-02-08,1656.2327254365514
2002-02-11,1656.8554471922791
2002-02-12,1659.8459773444754
2002-02-13,1668.011129041151
2002-02-14,1730.0224458537539
2002-02-15,1725.3743406212352
2002-02-18,1746.0012471260093
2002-02-19,1717.3294168927657
2002-02-20,1707.143188830673
2002-02-21,1712.6745622014805
2002-02-22,1687.8309034256376
2002-02-25,1677.8004009033532
2002-02-26,1688.5640720302322
2002-02-27,1734.2001086389116
2002-02-28,1727.605753912387
2002-03-01,1726.4466733076706
2002-03-04,1763.5572826081236
2002-03-05,1786.5731580830166
2002-03-06,1785.9072028796606
2002-03-07,1775.1355862556318
2002-03-08,1781.3397068487143
2002-03-11,1798.4262623947595
2002-03-12,1814.0303006274548
2002-03-13,1804.6371325019454
2002-03-14,1794.0447883265458
2002-03-15,1790.1704647008737
2002-03-18,1803.7297586064576
2002-03-19,1813.1305850982174
2002-03-20,1807.0081593089487
2002-03-21,1798.7600830758925
2002-03-22,1819.1564572688842
2002-03-25,1815.047970138755
2002-03-26,1815.56334377681
2002-03-27,1852.436361140785
2002-03-28,1850.9881392824211
2002-03-29,1849.1180828401634
2002-04-01,1818.3686189804223
2002-04-02,1835.3047146283143
2002-04-03,1848.1386143435946
2002-04-04,1841.6763182311815
2002-04-05,1852.4186552153883
2002-04-08,1841.2390919825912
2002-04-09,1819.4412062167223
2002-04-10,1782.322920121481
2002-04-11,1787.4679694037045
2002-04-12,1812.381845933522
2002-04-15,1835.5642111189838
2002-04-16,1842.6565271665218
2002-04-17,1884.2513052620554
2002-04-18,1888.2181179225713
2002-04-19,1892.3993091629734
2002-04-22,1918.8615829978346
2002-04-23,1927.3635685067536
2002-04-24,1917.9252599723236
2002-04-25,1860.5129297209735
2002-04-26,1860.8601558146968
2002-04-29,1821.6856258070993
2002-04-30,1825.5363258045088
2002-05-01,1815.5012085527342
2002-05-02,1847.9062667042235
2002-05-03,1833.375128111364
2002-05-06,1785.4350540082942
2002-05-07,1795.3372026508875
2002-05-08,1817.5863381518882
2002-05-09,1817.3048593696778
2002-05-10,1788.8537166545366
