Date,EAFE ex JAPAN VALUE WEIGHTED
1998-10-27,1964.7425097043158
1998-10-28,1943.0875664832167
1998-10-29,1958.462038020355
1998-10-30,1986.4581849728504
1998-11-02,2027.8386626585773
1998-11-03,2015.2535667065654
1998-11-04,2051.4011006006444
1998-11-05,2024.783188626281
1998-11-06,2023.1970158833615
1998-11-09,1983.8821754161008
1998-11-10,1964.8844328988357
1998-11-11,1995.6227908148128
1998-11-12,1969.108801661636
1998-11-13,1978.6652117762567
1998-11-16,2028.114702154414
1998-11-17,2013.249051054117
1998-11-18,2016.8807719398103
1998-11-19,2045.7003384413806
1998-11-20,2069.296763911641
1998-11-23,2100.2753716498964
1998-11-24,2097.591731309874
1998-11-25,2087.925892729088
1998-11-26,2115.65354986704
1998-11-27,2119.649634902568
1998-11-30,2083.4762305187282
1998-12-01,2021.4891614433345
1998-12-02,2015.1337278048754
1998-12-03,2031.900004367693
1998-12-04,2034.8624585636308
1998-12-07,2035.6985330527848
1998-12-08,2042.1052096311496
1998-12-09,2054.548658466076
1998-12-10,2056.958584651682
1998-12-11,2032.0433419368858
1998-12-14,2023.1152018746764
1998-12-15,2028.7733515003454
1998-12-16,2044.5271662212108
1998-12-17,2064.9706099257864
1998-12-18,2068.684138322481
1998-12-21,2104.6165137081603
1998-12-22,2103.284459986704
1998-12-23,2131.2086638019186
1998-12-24,2125.077039402791
1998-12-25,2125.077039402791
1998-12-28,2136.3413014197045
1998-12-29,2149.067748543695
1998-12-30,2137.864428771736
1998-12-31,2138.4463826861
1999-01-01,2138.4475474971327
1999-01-04,2197.5011725150703
1999-01-05,2217.0220611873624
1999-01-06,2263.1636820541603
1999-01-07,2240.08871404401
1999-01-08,2229.8991200945525
1999-01-11,2202.111076824102
1999-01-12,2177.6838581923334
1999-01-13,2118.7450992986383
1999-01-14,2115.9586551043076
1999-01-15,2128.1853284318845
1999-01-18,2171.5370822480163
1999-01-19,2165.6662470812425
1999-01-20,2177.798081775348
1999-01-21,2153.8734625039397
1999-01-22,2099.497864513757
1999-01-25,2095.8369242496797
1999-01-26,2097.651095431616
1999-01-27,2100.864583379018
1999-01-28,2106.1344015257164
1999-01-29,2110.238404926359
1999-02-01,2134.894132988294
1999-02-02,2136.3148868526905
1999-02-03,2115.760378490025
1999-02-04,2112.0682727158173
1999-02-05,2105.791508479303
1999-02-08,2089.7271114237537
1999-02-09,2061.1793970146455
1999-02-10,2046.4291201067172
1999-02-11,2071.2550989942647
1999-02-12,2087.7801503170313
1999-02-15,2089.3978073743883
1999-02-16,2091.0238074435238
1999-02-17,2082.3499967901516
1999-02-18,2081.442598739738
1999-02-19,2069.358162267593
1999-02-22,2079.5625237252602
1999-02-23,2092.885006903406
1999-02-24,2105.7436230146513
1999-02-25,2094.0613889118845
1999-02-26,2082.0644508257305
1999-03-01,2058.6412367717658
1999-03-02,2065.6652237311714
1999-03-03,2054.340415551886
1999-03-04,2058.1379994410295
1999-03-05,2102.1456701966454
1999-03-08,2098.4280194120997
1999-03-09,2106.886781501062
1999-03-10,2123.5833232511427
1999-03-11,2135.771381584929
1999-03-12,2160.324441541471
1999-03-15,2152.783618940364
1999-03-16,2156.484785798499
1999-03-17,2158.8480860110226
1999-03-18,2148.0391799283866
1999-03-19,2165.633851003172
1999-03-22,2154.87969522661
1999-03-23,2123.699964559704
1999-03-24,2110.2861329273487
1999-03-25,2131.9180076945854
1999-03-26,2105.1724086434097
1999-03-29,2125.3567665238675
1999-03-30,2128.5595269791
1999-03-31,2147.5800680204425
1999-04-01,2149.7718316839528
1999-04-02,2145.93513261582
1999-04-05,2137.873593888058
1999-04-06,2165.4476449793415
1999-04-07,2190.9626566871584
1999-04-08,2203.65874495921
1999-04-09,2212.503270039545
1999-04-12,2217.5936377646126
1999-04-13,2235.0913200945683
1999-04-14,2237.768546357373
1999-04-15,2227.139647694702
1999-04-16,2238.980990298547
1999-04-19,2264.9484148980264
1999-04-20,2221.361693061147
1999-04-21,2219.100969996699
1999-04-22,2241.90578112808
1999-04-23,2248.0991352086608
1999-04-26,2257.1005286100626
1999-04-27,2301.118154608068
