Date,WORLD ex AUSTRALIA WITH USA GROSS
2012-11-13,1718.206917143687
2012-11-14,1698.36018826327
2012-11-15,1694.8369680980466
2012-11-16,1694.5428220241072
2012-11-19,1732.4787577555664
2012-11-20,1733.0447963343834
2012-11-21,1737.9573282801707
2012-11-22,1745.7413804469234
2012-11-23,1765.6778755795349
2012-11-26,1762.3848746001743
2012-11-27,1757.3691059493108
2012-11-28,1764.1478477077437
2012-11-29,1779.1468170973758
2012-11-30,1779.928010281964
2012-12-03,1777.8599683825155
2012-12-04,1777.5683291830137
2012-12-05,1779.8562202974342
2012-12-06,1785.1801467470336
2012-12-07,1786.9768572894545
2012-12-10,1788.6268407805535
2012-12-11,1799.4919041134901
2012-12-12,1802.8363381151034
2012-12-13,1796.6061938844691
2012-12-14,1793.7095637967984
2012-12-17,1807.7060239431974
2012-12-18,1825.3523317256086
2012-12-19,1826.7369150410052
2012-12-20,1830.9635347530823
2012-12-21,1816.238282606165
2012-12-24,1812.8159382972628
2012-12-25,1813.807532341679
2012-12-26,1809.8521806494916
2012-12-27,1810.400006087899
2012-12-28,1796.7053487359228
2012-12-31,1813.4827041463095
2013-01-01,1813.5566033582036
2013-01-02,1852.799988822825
2013-01-03,1847.9569110288392
2013-01-04,1856.713871481087
2013-01-07,1852.1129671262242
2013-01-08,1846.294768023017
2013-01-09,1852.779887567211
2013-01-10,1868.1061801495412
2013-01-11,1873.4768687058126
2013-01-14,1870.857210767752
2013-01-15,1874.5764716702981
2013-01-16,1869.0795903456699
2013-01-17,1879.1379394450125
2013-01-18,1881.8996685761335
2013-01-21,1883.8208607738804
2013-01-22,1889.2030041957976
2013-01-23,1888.34497623464
2013-01-24,1893.1089049931318
2013-01-25,1906.1518461727803
2013-01-28,1902.9868505423071
2013-01-29,1912.6425017536283
2013-01-30,1911.2370731430383
2013-01-31,1905.954063041467
2013-02-01,1921.5072198538555
2013-02-04,1897.4629637668588
2013-02-05,1905.904941836377
2013-02-06,1910.4328874019643
2013-02-07,1901.5975794632018
2013-02-08,1912.975119702654
2013-02-11,1906.9398113578945
2013-02-12,1918.2752182832833
2013-02-13,1918.1954138668702
2013-02-14,1914.4945313119747
2013-02-15,1908.45325746957
2013-02-18,1910.0400017853929
2013-02-19,1925.5948222499997
2013-02-20,1912.0927564499925
2013-02-21,1889.2122551359862
2013-02-22,1902.5295902900175
2013-02-25,1886.8916515239564
2013-02-26,1881.4911302756266
2013-02-27,1900.1684043667135
2013-02-28,1907.0070539824587
2013-03-01,1902.636527076829
2013-03-04,1908.729767728976
2013-03-05,1928.8352074655184
2013-03-06,1931.3234330406658
2013-03-07,1935.4259330207904
2013-03-08,1941.1072772521338
2013-03-11,1949.2229804773954
2013-03-12,1947.0866098850838
2013-03-13,1943.6339644687826
2013-03-14,1958.5946801895227
2013-03-15,1963.0787253350907
2013-03-18,1945.9603421562115
2013-03-19,1940.7817842698382
2013-03-20,1952.0521203424364
2013-03-21,1941.1573318371818
2013-03-22,1948.9808697393803
2013-03-25,1940.6141366307938
2013-03-26,1949.925187651517
2013-03-27,1945.981409391336
2013-03-28,1954.5516944009596
2013-03-29,1954.4046949835056
2013-04-01,1945.4082911345135
2013-04-02,1955.1785850216318
2013-04-03,1941.871937719642
2013-04-04,1938.4280139887355
2013-04-05,1934.7379979879943
2013-04-08,1945.470322371161
2013-04-09,1952.9788741317925
2013-04-10,1980.4263140561231
2013-04-11,1994.6122235046018
2013-04-12,1986.3282928940068
2013-04-15,1952.0299580219976
2013-04-16,1963.5668534879987
2013-04-17,1937.5315932458823
2013-04-18,1928.8184842583166
2013-04-19,1941.2725709367928
2013-04-22,1948.1381719705726
2013-04-23,1971.161942225701
2013-04-24,1980.1853247108536
2013-04-25,1991.9516218552344
2013-04-26,1990.6946689698075
2013-04-29,2005.3982861592694
2013-04-30,2015.1322225159195
2013-05-01,2002.8192028477113
2013-05-02,2008.5460170359065
2013-05-03,2026.4702934568322
2013-05-06,2026.029508740686
