Date,INDONESIA SMALL GROWTH
1999-07-09,621.3519076053636
1999-07-12,615.3796566502442
1999-07-13,613.948264892325
1999-07-14,610.6614939807494
1999-07-15,618.519263461755
1999-07-16,613.0445571849609
1999-07-19,611.3538384160296
1999-07-20,606.6111117574794
1999-07-21,592.8940581664355
1999-07-22,593.1838540822606
1999-07-23,561.0996752744999
1999-07-26,531.9369476719668
1999-07-27,520.7370341972901
1999-07-28,559.3946717987525
1999-07-29,580.6257617836461
1999-07-30,566.0499719674044
1999-08-02,555.258377010726
1999-08-03,555.7079222953739
1999-08-04,547.6380705297635
1999-08-05,537.3313895992771
1999-08-06,541.2954290297563
1999-08-09,525.7673817565437
1999-08-10,491.1181693795327
1999-08-11,435.9500558469898
1999-08-12,448.29932309069403
1999-08-13,446.76791236349464
1999-08-16,478.08315137337473
1999-08-17,471.52551180522266
1999-08-18,491.26449240666153
1999-08-19,490.46955177135345
1999-08-20,474.8997586392048
1999-08-23,478.03445445439127
1999-08-24,459.902242746225
1999-08-25,475.87524673816677
1999-08-26,467.4251069648478
1999-08-27,458.82052872333435
1999-08-30,440.66815034970796
1999-08-31,446.00951546885403
1999-09-01,445.0600042117269
1999-09-02,444.40012243603405
1999-09-03,434.93870627734475
1999-09-06,402.8549733848961
1999-09-07,389.90891310637613
1999-09-08,356.7283258054109
1999-09-09,375.1652157268232
1999-09-10,416.90905630940125
1999-09-13,433.3480744071415
1999-09-14,424.29280810562085
1999-09-15,408.39835919604565
1999-09-16,408.35557958090783
1999-09-17,400.7266108067113
1999-09-20,392.69879276906937
1999-09-21,388.6174734302681
1999-09-22,374.7178831358964
1999-09-23,349.42876905356894
1999-09-24,359.60666184818655
1999-09-27,365.5191406801275
1999-09-28,368.77225914508693
1999-09-29,373.7841112774613
1999-09-30,383.4179174006408
1999-10-01,420.0805463248848
1999-10-04,438.7289888559505
1999-10-05,451.91288928238095
1999-10-06,460.81837087167014
1999-10-07,461.8702446379114
1999-10-08,461.3524705443355
1999-10-11,459.4674050017243
1999-10-12,445.09849006655173
1999-10-13,424.60668533118314
1999-10-14,416.480917353094
1999-10-15,432.4508359348717
1999-10-18,432.4699550301656
1999-10-19,461.3818252326869
1999-10-20,480.0265759330953
1999-10-21,543.9946463097896
1999-10-22,542.2942202602413
1999-10-25,538.3464868290907
1999-10-26,538.5460855822404
1999-10-27,525.9847709376453
1999-10-28,516.785106563955
1999-10-29,543.143898520651
1999-11-01,552.1392925892094
1999-11-02,556.2650101952779
1999-11-03,561.7214839255046
1999-11-04,563.2627236326981
1999-11-05,580.512918382995
1999-11-08,588.1945083854956
1999-11-09,611.8247710631935
1999-11-10,604.3786039960044
1999-11-11,581.2472873488015
1999-11-12,582.2716600056547
1999-11-15,592.4313825046587
1999-11-16,578.6814001215566
1999-11-17,578.3237354950602
1999-11-18,576.8707286201485
1999-11-19,568.0270523081841
1999-11-22,559.8905033323575
1999-11-23,547.0979110283603
1999-11-24,536.5778061567157
1999-11-25,518.8327527326676
1999-11-26,521.2143065589232
1999-11-29,502.7540685392277
1999-11-30,502.93354580173974
1999-12-01,520.754348745044
1999-12-02,519.2794175449276
1999-12-03,533.0463466148299
1999-12-06,546.623078963162
1999-12-07,542.6974680612566
1999-12-08,538.1806958102374
1999-12-09,539.3118121700389
1999-12-10,541.5439332241928
1999-12-13,536.3498778522861
1999-12-14,550.5647519946127
1999-12-15,563.8543140431516
1999-12-16,570.4861595851938
1999-12-17,571.3495645614298
1999-12-20,574.287359771627
1999-12-21,579.9191416056865
1999-12-22,590.9137608160503
1999-12-23,606.7033847294238
1999-12-24,606.7033847294238
1999-12-27,629.0366895577228
1999-12-28,606.7705464056808
1999-12-29,606.4929504621824
1999-12-30,609.3317085932583
1999-12-31,609.3317085932583
2000-01-03,609.3317085932583
2000-01-04,617.3284859668502
2000-01-05,594.4272171214088
2000-01-06,601.4290961637973
2000-01-07,607.7377929767043
2000-01-10,606.8889971764575
2000-01-11,597.2698742471802
2000-01-12,595.1873511580764
2000-01-13,598.2722902892799
2000-01-14,599.5988268850758
2000-01-17,587.6956852157404
2000-01-18,577.5609678227983
2000-01-19,557.6476388561736
2000-01-20,566.6725808768002
2000-01-21,566.8075871249999
2000-01-24,564.3553195437715
2000-01-25,561.0816281679421
2000-01-26,548.8672792103717
2000-01-27,550.9873765703047
2000-01-28,542.0947475697977
2000-01-31,542.8839143642666
2000-02-01,536.6716370960228
2000-02-02,498.11792586791734
2000-02-03,519.6631879544312
2000-02-04,535.5405245333864
2000-02-07,539.3467142259549
2000-02-08,547.1521605760548
2000-02-09,557.5621129110981
2000-02-10,558.0810890856769
2000-02-11,571.5027901568246
2000-02-14,556.6040627737691
2000-02-15,573.1352518599147
2000-02-16,540.7768949701806
2000-02-17,532.1382299043731
2000-02-18,530.6319644802112
2000-02-21,531.5496085906062
2000-02-22,528.9666139874982
2000-02-23,527.8351912881154
2000-02-24,517.9082564119342
2000-02-25,530.297564293727
2000-02-28,505.07894630662764
2000-02-29,507.7999103271348
2000-03-01,497.0031767250691
2000-03-02,483.6912128933363
2000-03-03,476.414840117632
2000-03-06,485.9123789516805
2000-03-07,487.6147079925445
2000-03-08,500.8591922714958
2000-03-09,504.7415513631432
2000-03-10,503.7380970082495
2000-03-13,494.8550626662838
2000-03-14,489.35611174973695
2000-03-15,489.6196532052111
2000-03-16,491.9152577413373
2000-03-17,495.6576245771614
2000-03-20,488.3340017516381
2000-03-21,485.3194497008978
2000-03-22,489.13687613651274
2000-03-23,488.71725046399126
2000-03-24,489.68741484411
2000-03-27,494.293232839064
2000-03-28,488.4091462618863
2000-03-29,493.12297942088
2000-03-30,475.68901883614467
2000-03-31,479.14514777088544
2000-04-03,477.7574367439565
2000-04-04,480.2441377810103
2000-04-05,458.66614279350256
2000-04-06,458.66614279350256
2000-04-07,467.1473474359302
2000-04-10,473.75921924538915
2000-04-11,476.5375579243934
2000-04-12,475.1790801714109
2000-04-13,463.46958289328126
2000-04-14,469.86585271770616
2000-04-17,436.8201372185191
2000-04-18,434.5484907412301
2000-04-19,441.60345900923255
2000-04-20,439.5158008336973
2000-04-21,439.5158008336973
2000-04-24,445.34438180633606
2000-04-25,437.20969157764137
2000-04-26,431.18301170368926
2000-04-27,427.4093821279062
2000-04-28,428.8868012166968
2000-05-01,425.76337049845085
2000-05-02,424.4842120360869
2000-05-03,437.9938940620008
2000-05-04,432.57903099111206
2000-05-05,448.9159098233916
2000-05-08,435.7349375831984
2000-05-09,426.2636448417223
2000-05-10,422.0259791265481
2000-05-11,403.2141569676572
