Date,USA IMI HIGH DIVIDEND YIELD
2001-01-26,1325.0259598636653
2001-01-29,1331.526894793634
2001-01-30,1338.6509637774304
2001-01-31,1333.49402507335
2001-02-01,1329.5981243219244
2001-02-02,1331.8430796814273
2001-02-05,1332.5877082996751
2001-02-06,1341.8996115528057
2001-02-07,1340.1115050834353
2001-02-08,1362.707214280693
2001-02-09,1352.187893313474
2001-02-12,1356.575122329856
2001-02-13,1362.528509020197
2001-02-14,1351.6643355191954
2001-02-15,1375.0919970030739
2001-02-16,1360.612420638787
2001-02-19,1353.3707969369136
2001-02-20,1365.1359866805954
2001-02-21,1344.76998391712
2001-02-22,1349.838517245089
2001-02-23,1343.4485349524598
2001-02-26,1361.5545427395357
2001-02-27,1351.244525221958
2001-02-28,1339.8001164874263
2001-03-01,1319.0748575007497
2001-03-02,1324.0615790771394
2001-03-05,1334.643080175288
2001-03-06,1330.2660859389673
2001-03-07,1339.8550858166077
2001-03-08,1349.9623505028649
2001-03-09,1339.1427574983893
2001-03-12,1309.2794290207175
2001-03-13,1331.8814963900536
2001-03-14,1303.8610514218055
2001-03-15,1322.7064452006694
2001-03-16,1317.350483129811
2001-03-19,1330.3755614104532
2001-03-20,1298.8482622908637
2001-03-21,1280.270951027653
2001-03-22,1280.6162951882256
2001-03-23,1284.0848051392325
2001-03-26,1300.5476214933092
2001-03-27,1325.0280732153471
2001-03-28,1325.5230957135436
2001-03-29,1339.9039807714576
2001-03-30,1357.8634539311156
2001-04-02,1350.980200675831
2001-04-03,1312.266156570068
2001-04-04,1295.127502972413
2001-04-05,1334.96070759225
2001-04-06,1309.026467164316
2001-04-09,1320.7768524169019
2001-04-10,1356.5854737054935
2001-04-11,1346.7882377935216
2001-04-12,1343.1605128190718
2001-04-13,1343.1605128190718
2001-04-16,1365.2497582465003
2001-04-17,1375.9942436785198
2001-04-18,1406.0662741715525
2001-04-19,1379.591631303264
2001-04-20,1344.043336659059
2001-04-23,1350.6180498225635
2001-04-24,1349.8421167992476
2001-04-25,1364.349612190705
2001-04-26,1366.1916750480996
2001-04-27,1397.006667792487
2001-04-30,1396.5091189343013
2001-05-01,1401.337350837336
2001-05-02,1391.5068648342274
2001-05-03,1382.740364642488
2001-05-04,1396.7139869110472
2001-05-07,1404.4141701097699
2001-05-08,1408.2474939968301
2001-05-09,1411.4787940664755
2001-05-10,1415.6761684669386
2001-05-11,1419.1156834088356
2001-05-14,1432.9736315775046
2001-05-15,1430.2749335052897
2001-05-16,1452.3058917315368
2001-05-17,1452.8397207251112
2001-05-18,1462.4230675699066
2001-05-21,1465.9197576257152
2001-05-22,1474.7972174062181
2001-05-23,1473.5569569326522
2001-05-24,1478.1639876645881
2001-05-25,1471.4466023464488
2001-05-28,1465.886226254796
2001-05-29,1484.0166220388387
2001-05-30,1472.3837996936913
2001-05-31,1497.0910752650223
2001-06-01,1499.3854139435605
2001-06-04,1507.916999686275
2001-06-05,1517.9348771394373
2001-06-06,1501.5505270460005
2001-06-07,1491.8330447252342
