Date,WORLD ex CANADA IMI
2006-10-16,1386.7219793080212
2006-10-17,1379.566541985228
2006-10-18,1383.1640930371611
2006-10-19,1387.773448713459
2006-10-20,1389.8905224131136
2006-10-23,1394.2507797172739
2006-10-24,1394.6825719555209
2006-10-25,1400.5698871053082
2006-10-26,1409.8269041875446
2006-10-27,1404.120829488138
2006-10-30,1400.624343649482
2006-10-31,1402.4431493312202
2006-11-01,1399.4866105616802
2006-11-02,1396.7910327570687
2006-11-03,1393.776905261492
2006-11-06,1406.9042785465965
2006-11-07,1415.6765753971779
2006-11-08,1413.2504732687576
2006-11-09,1408.2791047953672
2006-11-10,1412.6812757604355
2006-11-13,1411.3724430548496
2006-11-14,1419.203857057533
2006-11-15,1423.314506313015
2006-11-16,1424.528361522114
2006-11-17,1422.3069511905637
2006-11-20,1418.2442767849839
2006-11-21,1421.6538328444078
2006-11-22,1431.9957726262041
2006-11-23,1432.2852658905456
2006-11-24,1430.7179343334908
2006-11-27,1415.008423934586
2006-11-28,1416.2224052774557
2006-11-29,1433.308300450559
2006-11-30,1438.8700305256862
2006-12-01,1437.093434586202
2006-12-04,1446.7210555444578
2006-12-05,1451.8998569778382
2006-12-06,1454.2530640988132
2006-12-07,1453.524992930705
2006-12-08,1454.3489568215177
2006-12-11,1453.8539720922217
2006-12-12,1455.8666004738461
2006-12-13,1459.1076933386578
2006-12-14,1467.731038695666
2006-12-15,1468.4825373699903
2006-12-18,1464.0358988471141
2006-12-19,1463.9539275557843
2006-12-20,1467.8304452728682
2006-12-21,1463.9417344788735
2006-12-22,1457.9373772882143
2006-12-25,1457.2407754746926
2006-12-26,1460.417234203484
2006-12-27,1471.890740863346
2006-12-28,1471.9127405323047
2006-12-29,1468.6949111344766
2007-01-01,1468.6949111344766
2007-01-02,1479.2020564907982
2007-01-03,1474.553326832369
2007-01-04,1470.9371627806247
2007-01-05,1456.2391456856615
2007-01-08,1458.0588831379348
2007-01-09,1460.0301232897427
2007-01-10,1452.7752933557526
2007-01-11,1462.8259469454447
2007-01-12,1474.309519805267
2007-01-15,1479.9075894471844
2007-01-16,1476.890987273004
2007-01-17,1477.419783373721
2007-01-18,1474.3267650904547
2007-01-19,1480.2497172207222
2007-01-22,1476.9592527049922
2007-01-23,1483.395894717819
2007-01-24,1492.7714441587666
2007-01-25,1482.107196277039
2007-01-26,1474.6935440645334
2007-01-29,1477.0951327710554
2007-01-30,1484.6992928438676
2007-01-31,1488.485042171932
2007-02-01,1502.5516663532328
2007-02-02,1504.9219623503516
2007-02-05,1501.410195010836
2007-02-06,1506.9317958058068
2007-02-07,1512.5419907817034
2007-02-08,1507.0228467169572
2007-02-09,1503.5872623301486
2007-02-12,1496.2815150150072
2007-02-13,1506.7689698643596
2007-02-14,1523.1069025237323
2007-02-15,1527.9738598308797
2007-02-16,1526.204524306517
