Date,ACWI HIGH DIVIDEND YIELD
2008-09-04,1464.0165969640345
2008-09-05,1452.7635005473194
2008-09-08,1511.4667781325115
2008-09-09,1493.6274418608534
2008-09-10,1488.599166829258
2008-09-11,1488.5453588020362
2008-09-12,1492.1554623938584
2008-09-15,1428.8443331498127
2008-09-16,1413.6775434244878
2008-09-17,1367.4919008560341
2008-09-18,1377.5831647539567
2008-09-19,1488.8509951812516
2008-09-22,1440.5578748540293
2008-09-23,1413.1270749192247
2008-09-24,1413.2715067527458
2008-09-25,1444.4522678825772
2008-09-26,1438.7537797898121
2008-09-29,1354.2993367460938
2008-09-30,1406.8319706963762
2008-10-01,1425.7323651436518
2008-10-02,1412.0355925583256
2008-10-03,1425.167219829902
2008-10-06,1349.2934592877857
2008-10-07,1309.9480355676567
2008-10-08,1244.2491298926357
2008-10-09,1191.1398423016547
2008-10-10,1133.2224436933932
2008-10-13,1229.4368171813592
2008-10-14,1270.8924259289558
2008-10-15,1194.329759522291
2008-10-16,1170.30782830549
2008-10-17,1188.9117215973129
2008-10-20,1249.6215489066828
2008-10-21,1238.5145485920941
2008-10-22,1183.5586262604047
2008-10-23,1189.1271222950706
2008-10-24,1135.8645352561325
2008-10-27,1116.0618495864749
2008-10-28,1166.4603263856397
2008-10-29,1201.9413960643478
2008-10-30,1228.2330092036295
2008-10-31,1257.662163010156
2008-11-03,1266.4889715440102
2008-11-04,1310.569389743436
2008-11-05,1269.607124963175
2008-11-06,1215.203504190754
2008-11-07,1235.2974140407528
2008-11-10,1231.7072564877888
2008-11-11,1203.5537349128444
2008-11-12,1159.2849746765446
2008-11-13,1177.2951765566308
2008-11-14,1164.530808383249
2008-11-17,1138.3894884542306
2008-11-18,1142.7625519593284
2008-11-19,1088.153295059019
2008-11-20,1033.947530979537
2008-11-21,1037.1064930268083
2008-11-24,1104.1817711486474
2008-11-25,1116.748906777819
2008-11-26,1130.8954005905068
2008-11-27,1150.9487808422402
2008-11-28,1181.1092533524954
2008-12-01,1105.8124983157497
2008-12-02,1123.897116651859
2008-12-03,1141.4132140926208
2008-12-04,1127.1785802020918
2008-12-05,1119.6118191782693
2008-12-08,1181.1675677560524
2008-12-09,1176.5948436604917
2008-12-10,1177.8639288574889
2008-12-11,1152.5009080908974
2008-12-12,1124.8918121427803
2008-12-15,1105.9968901864709
2008-12-16,1128.0066626250598
2008-12-17,1101.378958761232
2008-12-18,1089.2605083782037
2008-12-19,1106.9066301903135
2008-12-22,1087.4673681942309
2008-12-23,1078.978321988913
2008-12-24,1076.2133911456237
2008-12-25,1076.6892377864292
2008-12-26,1073.6398118489983
2008-12-29,1072.3967505053565
2008-12-30,1097.9131496761654
2008-12-31,1119.2184036966473
2009-01-01,1119.3000509942433
2009-01-02,1149.9927849995665
2009-01-05,1170.8110349865656
2009-01-06,1197.796159701192
2009-01-07,1165.9195450585403
2009-01-08,1153.4982451361366
2009-01-09,1152.5017323402722
2009-01-12,1136.6652650882306
2009-01-13,1130.12585502822
2009-01-14,1090.6485415690388
2009-01-15,1070.6144613533513
2009-01-16,1068.0767463756183
2009-01-19,1058.6130922718812
2009-01-20,1024.9199640974796
2009-01-21,1033.7687713485334
2009-01-22,1020.2164568856953
2009-01-23,1022.033231604255
2009-01-26,1029.5055847177002
2009-01-27,1036.7743556658647
2009-01-28,1074.8222786736528
2009-01-29,1054.829484229075
2009-01-30,1052.3735109019424
2009-02-02,1034.649858804868
2009-02-03,1042.3285271782402
2009-02-04,1058.6034323926494
2009-02-05,1060.992062039809
2009-02-06,1091.3583214800678
2009-02-09,1092.5069941321174
2009-02-10,1053.6170293713524
2009-02-11,1057.9935312310367
2009-02-12,1050.8526991015308
2009-02-13,1044.3601692610694
2009-02-16,1036.622904101081
2009-02-17,1004.3868696193349
2009-02-18,1000.2850330765266
2009-02-19,990.6239155155045
2009-02-20,961.2750243798642
2009-02-23,945.5703495583226
2009-02-24,950.3941205669196
2009-02-25,952.6339235861609
2009-02-26,967.5802825507704
2009-02-27,945.3757323916436
2009-03-02,899.6046649323274
2009-03-03,885.7352092057582
2009-03-04,908.8551203968334
2009-03-05,876.8233877642176
2009-03-06,866.6358264609787
2009-03-09,858.2083923963382
2009-03-10,907.1350690130485
2009-03-11,912.1638705177169
2009-03-12,934.4115956518626
2009-03-13,945.902766033157
2009-03-16,960.4875618088683
2009-03-17,971.0055524741679
2009-03-18,975.714029468
2009-03-19,957.2442451892629
2009-03-20,953.330085095597
2009-03-23,1004.5356107432044
2009-03-24,999.3637431614931
2009-03-25,1008.3652377090975
2009-03-26,1016.2284800897485
2009-03-27,1012.619261879185
2009-03-30,970.2956000817812
2009-03-31,991.1643029530575
2009-04-01,1011.9552322534585
2009-04-02,1051.028603330551
2009-04-03,1054.0711940766996
2009-04-06,1050.79686024235
2009-04-07,1039.4714730564456
2009-04-08,1040.5279039579384
2009-04-09,1083.5832669097397
2009-04-10,1085.1393235383011
2009-04-13,1089.3882953021296
2009-04-14,1093.6013456057829
2009-04-15,1102.030352893041
2009-04-16,1118.38549944076
2009-04-17,1139.1932157189913
2009-04-20,1096.4852129485187
2009-04-21,1101.7700821794547
2009-04-22,1104.8269733159611
2009-04-23,1110.2749079541632
2009-04-24,1121.5678148142783
2009-04-27,1121.5507310407195
2009-04-28,1107.4743706743686
2009-04-29,1122.670041294772
2009-04-30,1142.915277852313
2009-05-01,1143.9369231580984
2009-05-04,1181.6390243990631
2009-05-05,1189.4899935090757
2009-05-06,1217.094006532196
2009-05-07,1206.5388059346576
2009-05-08,1231.087099064524
2009-05-11,1204.7036768911
2009-05-12,1197.2852259922045
2009-05-13,1167.9237833130098
2009-05-14,1169.5156618764008
2009-05-15,1169.4679211667253
2009-05-18,1205.1071890388166
2009-05-19,1215.3149336346114
2009-05-20,1210.43610140717
2009-05-21,1189.579159841276
2009-05-22,1180.0981605891702
2009-05-25,1179.5273037485224
2009-05-26,1197.2317180201896
2009-05-27,1200.5425271863119
2009-05-28,1200.1717548809027
2009-05-29,1202.2683460516166
2009-06-01,1234.6550309999998
2009-06-02,1227.5959290777305
2009-06-03,1213.1025106154225
2009-06-04,1210.618454470734
