Date,SINGAPORE IMI MINIMUM VOLATILITY (USD)
2005-01-25,1732.5791955694756
2005-01-26,1750.1455765044805
2005-01-27,1739.51555228001
2005-01-28,1746.5770060394814
2005-01-31,1756.7079858023724
2005-02-01,1747.2600674760558
2005-02-02,1759.244200365859
2005-02-03,1749.880385379484
2005-02-04,1754.9702914499508
2005-02-07,1753.9214240605345
2005-02-08,1760.5872036633848
2005-02-09,1760.0089131201084
2005-02-10,1758.748525680872
2005-02-11,1769.0596684308891
2005-02-14,1790.2800175502769
2005-02-15,1787.6762750758846
2005-02-16,1775.3939039256827
2005-02-17,1781.4569228947917
2005-02-18,1794.3370328737235
2005-02-21,1795.5946978584939
2005-02-22,1791.9018417949324
2005-02-23,1785.1127220948213
2005-02-24,1790.2590666078727
2005-02-25,1779.5101516205418
2005-02-28,1783.7052054185522
2005-03-01,1786.6737764479474
2005-03-02,1794.6854896355785
2005-03-03,1795.2630293163495
2005-03-04,1802.8238786022675
2005-03-07,1811.4413009553598
2005-03-08,1818.6593998917012
2005-03-09,1841.1747777418464
2005-03-10,1832.2628884174942
2005-03-11,1831.4999659145353
2005-03-14,1827.0752955166156
2005-03-15,1823.6057645316216
2005-03-16,1832.51439292865
2005-03-17,1825.5428641096612
2005-03-18,1835.7498726239828
2005-03-21,1842.9753030905486
2005-03-22,1838.3825069099048
2005-03-23,1806.6792117941295
2005-03-24,1807.6849318800828
2005-03-25,1807.6849318800828
2005-03-28,1792.184379887018
2005-03-29,1779.2925249047307
2005-03-30,1777.108504382209
2005-03-31,1793.402172557135
2005-04-01,1782.8313844098748
2005-04-04,1787.1431108074087
2005-04-05,1794.0561578307893
2005-04-06,1802.0127635034128
2005-04-07,1818.5259960392764
2005-04-08,1825.5678703818453
2005-04-11,1834.7213487350932
2005-04-12,1831.0082673726922
2005-04-13,1836.816737258094
2005-04-14,1814.769792587906
2005-04-15,1800.2111891689003
2005-04-18,1770.133849531772
2005-04-19,1795.4690918099816
2005-04-20,1796.597116310049
2005-04-21,1807.1391149335145
2005-04-22,1805.6206946597267
2005-04-25,1811.6798782141109
2005-04-26,1820.1410237785326
2005-04-27,1820.2678317696532
2005-04-28,1821.1038304015706
2005-04-29,1819.3168124781614
2005-05-02,1815.485101696241
2005-05-03,1824.038385728948
2005-05-04,1838.7879120430148
2005-05-05,1842.0482827369692
2005-05-06,1851.369790992921
2005-05-09,1845.6886704700566
2005-05-10,1845.7019961140845
2005-05-11,1853.4253714134197
2005-05-12,1848.4065591528408
2005-05-13,1839.3366505202298
2005-05-16,1827.7268044113353
2005-05-17,1828.0806384541595
2005-05-18,1832.9027060313222
2005-05-19,1839.5810480418158
2005-05-20,1834.973665285196
2005-05-23,1838.3031423695488
2005-05-24,1847.9696543123753
2005-05-25,1838.591543555216
2005-05-26,1829.2466868265744
2005-05-27,1829.7844231747663
2005-05-30,1839.32233060365
2005-05-31,1827.8757564122625
2005-06-01,1825.0361246684986
2005-06-02,1835.762646342655
2005-06-03,1844.2683377103217
2005-06-06,1852.9499695789275
2005-06-07,1855.4933783200222
2005-06-08,1852.6871159554667
2005-06-09,1851.6738855692297
2005-06-10,1855.9672425087351
2005-06-13,1843.0652357033566
2005-06-14,1840.7101479111832
2005-06-15,1856.404562291723
2005-06-16,1853.4153978147572
2005-06-17,1863.4764459456487
2005-06-20,1852.4333673759888
2005-06-21,1856.2863278482341
2005-06-22,1863.956785648782
2005-06-23,1876.8733846646453
2005-06-24,1872.3054170714915
2005-06-27,1857.4614999934201
2005-06-28,1851.4608049267913
2005-06-29,1848.2646840511384
2005-06-30,1853.0048248992568
2005-07-01,1847.013724753746
2005-07-04,1852.5407050079118
2005-07-05,1852.7803677629706
2005-07-06,1860.7545981211492
2005-07-07,1842.8268824439792
2005-07-08,1842.4129106093376
2005-07-11,1870.1115971881995
2005-07-12,1877.1144070751866
2005-07-13,1866.9759929822203
2005-07-14,1876.6849218093212
2005-07-15,1876.579724381464
2005-07-18,1875.2190319665017
2005-07-19,1913.8227500544988
2005-07-20,1926.3672563280409
2005-07-21,1963.3606791513732
2005-07-22,1979.4448160279874
2005-07-25,1965.0606397986987
2005-07-26,1965.9451470578306
2005-07-27,1975.4759537955729
2005-07-28,1988.219001855473
2005-07-29,2000.235102114325
2005-08-01,2011.7028617809103
2005-08-02,2027.7688368999623
2005-08-03,2018.2345214335953
2005-08-04,2009.4624214179792
2005-08-05,2001.61141969063
2005-08-08,2015.6221633697444
2005-08-09,2013.2953721597187
2005-08-10,2008.9487632204396
2005-08-11,1990.2204357893484
2005-08-12,1985.8030445173142
2005-08-15,1955.4806796110167
2005-08-16,1980.1497921870582
2005-08-17,1958.456020143059
2005-08-18,1952.7702607439185
2005-08-19,1949.71109332266
2005-08-22,1964.450725137057
2005-08-23,1950.3495470981716
2005-08-24,1940.9068421277316
2005-08-25,1945.0622963853743
2005-08-26,1953.543107819482
2005-08-29,1932.845571135466
2005-08-30,1923.2123203472497
2005-08-31,1929.1997028351539
2005-09-01,1949.176540020955
2005-09-02,1954.506081472862
2005-09-05,1950.2108777322735
2005-09-06,1936.6815737060335
2005-09-07,1940.709376768382
2005-09-08,1943.6968738164187
2005-09-09,1952.838678881226
2005-09-12,1968.7763236309204
2005-09-13,1951.2078393239694
2005-09-14,1960.2336899854604
2005-09-15,1965.9310406656239
2005-09-16,1954.5477554660451
2005-09-19,1946.2306642450644
2005-09-20,1955.5074808749137
2005-09-21,1946.9082048841294
2005-09-22,1936.2830865610779
2005-09-23,1935.0277142414302
2005-09-26,1946.1767634582131
2005-09-27,1938.9336118623573
2005-09-28,1933.4354874627593
2005-09-29,1940.3199934107163
2005-09-30,1946.6136639896072
2005-10-03,1937.4466932677954
2005-10-04,1955.9464494984788
2005-10-05,1962.7172216883278
2005-10-06,1949.6140924466567
2005-10-07,1957.06331003634
2005-10-10,1987.1909352854377
2005-10-11,1996.5955779807855
2005-10-12,1975.8564625668266
2005-10-13,1972.913978169664
2005-10-14,1963.581502521214
2005-10-17,1948.1665390084152
2005-10-18,1939.353312746291
2005-10-19,1887.246210267431
2005-10-20,1896.4055190778147
2005-10-21,1903.2304355685046
2005-10-24,1891.460680904572
2005-10-25,1900.4415708669133
2005-10-26,1904.1651601112499
2005-10-27,1889.6127803449576
2005-10-28,1880.1883146547461
2005-10-31,1897.3608769720774
2005-11-01,1897.2520180919446
2005-11-02,1919.241749468259
2005-11-03,1916.8560027638464
2005-11-04,1917.9023622054162
2005-11-07,1912.4159312254046
2005-11-08,1921.9016266149927
2005-11-09,1925.4904356431189
2005-11-10,1918.5894790740251
2005-11-11,1923.1666611255314
2005-11-14,1913.4483214439063
2005-11-15,1910.9074958930933
2005-11-16,1919.9429588237533
2005-11-17,1928.1207951839629
2005-11-18,1950.0903494763124
2005-11-21,1941.51526593715
2005-11-22,1934.0965038021848
2005-11-23,1950.6664659576338
2005-11-24,1957.098528863112
2005-11-25,1948.3725939741519
2005-11-28,1963.3179575768725
2005-11-29,1957.0180231536478
2005-11-30,1960.9733275089152
2005-12-01,1966.7029081502358
2005-12-02,1986.9241771054737
2005-12-05,1987.8271830196584
2005-12-06,1966.6739684894164
2005-12-07,1972.515004197163
2005-12-08,1970.261435902608
2005-12-09,1979.812791959158
2005-12-12,1987.8152810495806
2005-12-13,1999.021892358758
2005-12-14,2003.1891269166433
2005-12-15,2005.0242341966073
2005-12-16,2006.5962259562136
2005-12-19,2018.3914917936754
2005-12-20,2019.8851968722622
2005-12-21,2022.8288320054394
2005-12-22,2013.6940729900507
2005-12-23,2026.0175505316342
2005-12-26,2026.0175505316342
2005-12-27,2027.903554963194
2005-12-28,2031.5486919415096
2005-12-29,2039.8760719112818
2005-12-30,2046.0485688849433
2006-01-02,2046.0485688849433
2006-01-03,2077.2414808678163
2006-01-04,2100.004526597613
2006-01-05,2108.984953629513
2006-01-06,2129.168542299691
2006-01-09,2139.67390740485
2006-01-10,2141.917322335044
2006-01-11,2153.2627980050574
2006-01-12,2149.0647051553115
2006-01-13,2144.738354521316
2006-01-16,2136.574676382314
2006-01-17,2122.9376282885414
2006-01-18,2120.4346025135337
2006-01-19,2128.287173172354
2006-01-20,2136.09678357061
2006-01-23,2127.052620439493
2006-01-24,2124.1261481381844
2006-01-25,2138.432304271234
2006-01-26,2146.2043996830475
2006-01-27,2166.113253972035
2006-01-30,2158.5142572462246
2006-01-31,2168.590544441314
2006-02-01,2175.7820535211504
2006-02-02,2176.1848580063916
2006-02-03,2163.258934228567
2006-02-06,2182.476311072723
2006-02-07,2187.9770827130037
2006-02-08,2171.1454355976457
2006-02-09,2183.840853438712
2006-02-10,2183.981829838304
2006-02-13,2190.7041281905767
2006-02-14,2200.0210066809145
2006-02-15,2190.6131401214384
2006-02-16,2189.369211093072
2006-02-17,2188.4038371979736
2006-02-20,2196.5881093746507
2006-02-21,2200.7482173677217
2006-02-22,2181.9413398875845
2006-02-23,2199.3499197608558
2006-02-24,2207.0290706742617
2006-02-27,2229.5973154695585
2006-02-28,2239.9167330658997
2006-03-01,2244.9759283246776
2006-03-02,2247.0172444313357
2006-03-03,2246.538813691748
2006-03-06,2252.687797284195
2006-03-07,2231.2431187751195
2006-03-08,2242.738418081442
2006-03-09,2247.1049491925965
2006-03-10,2241.1483339892457
2006-03-13,2255.5049173136154
2006-03-14,2260.00631159722
2006-03-15,2264.678323111614
2006-03-16,2269.236516664508
2006-03-17,2268.0485395953046
2006-03-20,2282.6684074270456
2006-03-21,2260.94665940087
2006-03-22,2261.9193266611746
2006-03-23,2265.926855688006
2006-03-24,2270.15417968222
2006-03-27,2283.1019457388197
2006-03-28,2292.1770019449173
2006-03-29,2299.7769878341833
2006-03-30,2308.5649100581613
2006-03-31,2319.302507892663
2006-04-03,2330.336452978914
