Date,EM GCC COUNTRIES IMI VALUE
2017-04-19,1040.6328081975278
2017-04-20,1027.4730903061823
2017-04-21,1035.0204951239189
2017-04-24,1011.1529265471958
2017-04-25,1010.126472198116
2017-04-26,1018.4869112611885
2017-04-27,1011.9550146822387
2017-04-28,1009.8327445992363
2017-05-01,1011.4380052795173
2017-05-02,1010.9969955549909
2017-05-03,1007.5689942176657
2017-05-04,1003.4259544225401
2017-05-05,999.6359951862686
2017-05-08,998.896439711223
2017-05-09,1008.2377965199576
2017-05-10,1017.4401175149229
2017-05-11,1026.7933687057168
2017-05-12,1021.6440439759338
2017-05-15,1011.9181737344588
2017-05-16,1006.6969183996562
2017-05-17,1002.7841334561026
2017-05-18,1002.0166879287503
2017-05-19,995.8788969068229
2017-05-22,994.2390464574357
2017-05-23,993.5526975082838
2017-05-24,992.1171812270865
2017-05-25,993.5931706791886
2017-05-26,996.1967896768718
2017-05-29,1002.1526313665631
2017-05-30,1001.4355075263828
2017-05-31,978.3780299105227
2017-06-01,986.0527379813827
2017-06-02,981.6824249996941
2017-06-05,946.0051950445772
2017-06-06,936.6320074863233
2017-06-07,941.1382293766698
2017-06-08,959.9014106551057
2017-06-09,962.1655666127699
2017-06-12,961.191551610644
2017-06-13,964.2100205612487
2017-06-14,962.0750452433125
2017-06-15,971.6753897575122
2017-06-16,966.8189411816377
2017-06-19,962.7670498497267
2017-06-20,957.4118419592726
2017-06-21,944.9002129169802
2017-06-22,951.8185403103748
2017-06-23,946.4513879275306
2017-06-26,946.2756376115077
2017-06-27,939.1843212975641
2017-06-28,934.143545964642
2017-06-29,930.2426937989169
2017-06-30,931.9488820135585
2017-07-03,936.8614075012982
2017-07-04,936.1673595098124
2017-07-05,940.4267760770381
2017-07-06,929.7357960021701
2017-07-07,930.9252935789649
2017-07-10,933.0647248042588
2017-07-11,935.471096536355
2017-07-12,949.9771681955111
2017-07-13,968.0351805242277
2017-07-14,964.1991814885771
2017-07-17,970.1748348984704
2017-07-18,958.1762842010545
2017-07-19,970.9541348718542
2017-07-20,959.4954971096929
2017-07-21,957.508638042429
2017-07-24,960.1265275093401
2017-07-25,957.6163894548683
2017-07-26,960.7396663048582
2017-07-27,959.6085109133577
2017-07-28,953.0536074270818
2017-07-31,945.1789351331157
2017-08-01,941.9726081211982
2017-08-02,947.5653442719844
2017-08-03,948.792400705065
2017-08-04,959.1296827280025
2017-08-07,952.0027594418034
2017-08-08,956.9928829205221
2017-08-09,952.054870756057
2017-08-10,949.6460047675221
2017-08-11,946.2634722483144
2017-08-14,932.9351155682035
2017-08-15,932.4118198554464
2017-08-16,933.5814289178603
2017-08-17,932.438699827344
2017-08-18,931.6555017316236
2017-08-21,924.8504609374944
2017-08-22,930.4259448032273
2017-08-23,928.2012178848264
2017-08-24,926.1103730030587
2017-08-25,920.9793974482508
2017-08-28,911.621994913762
2017-08-29,901.3095893128543
2017-08-30,909.0008278814488
2017-08-31,911.0838277866346
2017-09-01,911.7654097387187
2017-09-04,911.8172037671403
2017-09-05,909.1994251662318
2017-09-06,905.359640020701
2017-09-07,901.4664351777002
2017-09-08,900.4592456503951
2017-09-11,895.4622365720971
2017-09-12,900.1440944883282
2017-09-13,900.1369429136091
2017-09-14,908.6112857459221
2017-09-15,901.5569482061148
2017-09-18,894.4987643764658
2017-09-19,894.5879985850884
2017-09-20,893.7245817619712
2017-09-21,900.2008004615682
2017-09-22,896.6772808753386
2017-09-25,899.5042427454289
2017-09-26,912.01353044249
2017-09-27,911.2890032687012
2017-09-28,901.0159743069369
2017-09-29,898.2871473311718
2017-10-02,906.2735040581832
2017-10-03,906.5278923363253
2017-10-04,899.4709194029618
2017-10-05,899.688616924736
2017-10-06,898.2882057568451
2017-10-09,906.1957743896039
2017-10-10,903.5084040564125
2017-10-11,911.6885419672775
2017-10-12,914.6114803920018
2017-10-13,915.3056311429501
2017-10-16,916.1223731726197
2017-10-17,910.4903408550247
2017-10-18,907.2007471548148
2017-10-19,905.2472674567077
2017-10-20,910.3682349481712
2017-10-23,903.2977876988117
2017-10-24,900.6962101707848
2017-10-25,900.179626936423
2017-10-26,904.523019972981
2017-10-27,913.9792204974253
2017-10-30,912.5054610934269
2017-10-31,911.4509003604687
2017-11-01,914.5944991403484
2017-11-02,907.7482749190043
2017-11-03,912.1034794737556
2017-11-06,899.4969524013223
