Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2017-12-06,783.5817113734395
2017-12-07,790.270483189388
2017-12-08,791.8627111906505
2017-12-11,794.8297741517249
2017-12-12,802.2791444481506
2017-12-13,793.9328299312111
2017-12-14,784.0683098289321
2017-12-15,775.8492924089193
2017-12-18,777.9992625241198
2017-12-19,770.548517579085
2017-12-20,767.1482697510326
2017-12-21,776.3553502522186
2017-12-22,784.0046088577907
2017-12-25,784.0046088577907
2017-12-26,782.4635656245148
2017-12-27,788.4177970342004
2017-12-28,792.7716713479555
2017-12-29,794.9661386851365
2018-01-01,794.9661386851365
2018-01-02,797.4730784367542
2018-01-03,793.3838280995293
2018-01-04,801.0307056267575
2018-01-05,802.4554204018133
2018-01-08,802.3271310732557
2018-01-09,798.2616296743931
2018-01-10,790.0637316480962
2018-01-11,788.4563865916683
2018-01-12,782.0082736923838
2018-01-15,782.9814443639674
2018-01-16,787.8731809601175
2018-01-17,789.009674283076
2018-01-18,793.0638491738025
2018-01-19,794.8521940185531
2018-01-22,802.4279944375334
2018-01-23,800.3208495021952
2018-01-24,804.5142808498787
2018-01-25,801.6822603115579
2018-01-26,802.7670571941067
2018-01-29,801.7706021380594
2018-01-30,796.9956867813738
2018-01-31,796.1024654749745
2018-02-01,786.1357100324196
2018-02-02,779.0167445592699
2018-02-05,775.0498460629302
2018-02-06,755.7262984784766
2018-02-07,755.1667899047227
2018-02-08,758.4509150257447
2018-02-09,752.845376470805
2018-02-12,754.5921988477749
2018-02-13,757.4243303204521
2018-02-14,770.0756877073798
2018-02-15,771.726931450366
2018-02-16,770.8959654642998
2018-02-19,774.729644657823
2018-02-20,767.7287810470879
