Date,AC ASIA ex JAPAN IMI VALUE
2002-01-15,460.2156481454609
2002-01-16,461.0740111497713
2002-01-17,463.32886491417594
2002-01-18,461.1449845437074
2002-01-21,468.7912584467177
2002-01-22,466.4243684956539
2002-01-23,467.5351471110359
2002-01-24,473.19897800397104
2002-01-25,489.3229540269208
2002-01-28,497.0134453203137
2002-01-29,495.1052475429662
2002-01-30,488.9787768609931
2002-01-31,493.59398171631415
2002-02-01,492.6497755198045
2002-02-04,488.5245600265795
2002-02-05,486.63975091604266
2002-02-06,491.9867469318211
2002-02-07,487.76364180991663
2002-02-08,488.96648223254476
2002-02-11,489.0506229953293
2002-02-12,489.8771001915206
2002-02-13,493.43100907684936
2002-02-14,505.06058636922035
2002-02-15,504.7155290538865
2002-02-18,508.92530265241714
2002-02-19,502.1656883522173
2002-02-20,499.1517229603099
2002-02-21,499.50519278664126
2002-02-22,493.15635586693855
2002-02-25,490.6877346953983
2002-02-26,494.7355139216552
2002-02-27,505.9275998342665
2002-02-28,502.56275794666243
2002-03-01,504.45680935497495
2002-03-04,513.0416632182771
2002-03-05,516.8621752928648
2002-03-06,516.6681728044423
2002-03-07,513.7069474724277
2002-03-08,517.257794608721
2002-03-11,521.5499549261049
2002-03-12,523.1377643276386
2002-03-13,522.1720566987054
2002-03-14,519.5767667782712
2002-03-15,518.6382305653773
2002-03-18,522.0546491260995
2002-03-19,521.2422945391162
2002-03-20,521.0876513468365
2002-03-21,521.3217197872372
2002-03-22,526.2953687018486
2002-03-25,527.162026736885
2002-03-26,527.5520431972675
2002-03-27,534.4186694976356
2002-03-28,535.4515273510385
2002-03-29,533.3879635325696
2002-04-01,528.231562484074
2002-04-02,530.8683251015797
2002-04-03,533.3810202966037
2002-04-04,532.5209653304357
2002-04-05,536.5190347119607
2002-04-08,539.0231556447783
2002-04-09,531.5383572334109
2002-04-10,524.6119395046622
2002-04-11,525.8022152570494
2002-04-12,532.1093099889322
2002-04-15,535.5277294798498
2002-04-16,537.5121404557044
2002-04-17,544.3418934823765
2002-04-18,544.4880292685742
2002-04-19,548.4635903299146
2002-04-22,550.8700066160345
2002-04-23,550.2891266072161
2002-04-24,548.8448685919775
2002-04-25,537.0202745689971
2002-04-26,537.5414016640404
2002-04-29,529.5777203078156
2002-04-30,529.7079812477313
2002-05-01,526.7004566994906
2002-05-02,533.434973899627
2002-05-03,530.2785842083199
2002-05-06,519.83272835572
2002-05-07,521.6951335372601
2002-05-08,526.8742457751423
2002-05-09,527.3235809777151
2002-05-10,522.9738621699195
2002-05-13,523.5353943851649
2002-05-14,529.3057019217804
2002-05-15,533.7029770041479
2002-05-16,531.238496638061
2002-05-17,528.3613307173207
2002-05-20,521.40973863064
2002-05-21,513.5804984950171
2002-05-22,513.3651703243831
2002-05-23,512.3439267359676
2002-05-24,518.166941712574
2002-05-27,520.0429727775265
2002-05-28,512.4459875640025
2002-05-29,509.4067321378026
2002-05-30,507.2508531736582
2002-05-31,503.9940095706651
2002-06-03,502.93274023354934
2002-06-04,499.77241458749165
2002-06-05,504.9236139704139
2002-06-06,501.65086054653693
2002-06-07,498.63623626280014
2002-06-10,504.72817479509365
2002-06-11,504.47605553663914
2002-06-12,502.3781373977098
2002-06-13,505.47554432364205
2002-06-14,499.43077365819084
2002-06-17,497.69988878138975
2002-06-18,493.0067858123293
2002-06-19,476.47696364487877
2002-06-20,477.26762162701834
2002-06-21,474.29657567470804
2002-06-24,469.3194445821124
2002-06-25,467.4279249272803
2002-06-26,443.1346358089692
2002-06-27,448.36579022356517
2002-06-28,454.43460638560725
2002-07-01,450.6356406757272
2002-07-02,451.6927010565114
2002-07-03,459.95272576340545
2002-07-04,468.16492593282726
2002-07-05,477.3458639748055
2002-07-08,471.7418819805084
2002-07-09,474.3483391818639
2002-07-10,474.86934526747234
2002-07-11,465.23707394204513
2002-07-12,473.7361549760182
2002-07-15,463.43719591580333
2002-07-16,455.56662616634037
2002-07-17,455.157332083166
2002-07-18,455.74761497849477
