Date,ZHONG HUA IMI GROWTH
2020-08-04,3053.3100869555446
2020-08-05,3062.892487816782
2020-08-06,3066.9431868446536
2020-08-07,2975.7211641682034
2020-08-10,2924.725869071198
2020-08-11,2943.58303348698
2020-08-12,2963.7173551790397
2020-08-13,2939.934790377531
2020-08-14,2940.273473065274
2020-08-17,2961.6209053218695
2020-08-18,2988.45539403273
2020-08-19,2974.163287035782
2020-08-20,2971.806133231749
2020-08-21,3048.1150411294634
2020-08-24,3147.027896904787
2020-08-25,3170.7892625410327
2020-08-26,3207.121563842416
2020-08-27,3212.2633297024504
2020-08-28,3193.330167200099
2020-08-31,3139.3065491278244
2020-09-01,3215.8444332193835
2020-09-02,3260.081270450758
2020-09-03,3170.7322077324543
2020-09-04,3136.5147801900525
2020-09-07,3104.529624508663
2020-09-08,3043.335785733508
2020-09-09,3037.368927686808
2020-09-10,2992.611520032275
2020-09-11,3054.8741380521
2020-09-14,3091.395380419826
2020-09-15,3126.4886225171526
2020-09-16,3141.6289678793855
2020-09-17,3108.143597474147
2020-09-18,3091.7902476309237
2020-09-21,3091.7462833213945
2020-09-22,3093.256116340206
2020-09-23,3107.4452205514153
2020-09-24,3057.4293700843245
2020-09-25,3061.8871616840106
2020-09-28,3087.8055791632864
2020-09-29,3065.5761692671917
2020-09-30,3149.460254889888
2020-10-01,3141.668232563746
2020-10-02,3132.5480539384357
2020-10-05,3150.5032573270946
2020-10-06,3193.4627633884083
2020-10-07,3245.522071136513
2020-10-08,3264.561227024715
2020-10-09,3263.059326989189
2020-10-12,3336.2296145651076
2020-10-13,3360.2676029779873
2020-10-14,3353.147762221972
2020-10-15,3307.5379479910525
2020-10-16,3338.7695564989954
2020-10-19,3301.201534631149
2020-10-20,3329.95835834071
2020-10-21,3318.0381144245553
2020-10-22,3311.70717979096
2020-10-23,3300.3305343515576
2020-10-26,3292.604856652998
2020-10-27,3355.7260460011375
2020-10-28,3377.251852672747
2020-10-29,3455.8348314312866
2020-10-30,3374.0200901592907
2020-11-02,3431.454438712085
