Date,NORTH AMERICA VALUE
2002-05-08,2962.6755641919663
2002-05-09,2923.7099286981215
2002-05-10,2872.106183796269
2002-05-13,2928.49919662833
2002-05-14,2996.1144462799975
2002-05-15,2990.6136886956606
2002-05-16,3003.55330880286
2002-05-17,3014.04612057269
2002-05-20,2977.6479103109
2002-05-21,2947.3368439489027
2002-05-22,2960.9865107895503
2002-05-23,2992.6503967752024
2002-05-24,2960.5491304009797
2002-05-27,2960.8101787136115
2002-05-28,2939.9568008682386
2002-05-29,2913.6797727326175
2002-05-30,2901.0681557453054
2002-05-31,2910.922828305183
2002-06-03,2837.5644871152363
2002-06-04,2832.253146977252
2002-06-05,2844.3679654223724
2002-06-06,2791.2301319509093
2002-06-07,2794.777444508999
2002-06-10,2796.1205963713905
2002-06-11,2749.195688929621
2002-06-12,2762.2378051311475
2002-06-13,2736.4448040019197
2002-06-14,2727.2456091504782
2002-06-17,2813.9143508270713
2002-06-18,2819.911382045721
2002-06-19,2772.745874397434
2002-06-20,2731.200842675915
2002-06-21,2700.6739746447447
2002-06-24,2703.0650296996037
2002-06-25,2665.0996865673633
2002-06-26,2623.191186108758
2002-06-27,2668.102049499929
2002-06-28,2703.328979816046
2002-07-01,2643.6893752461756
2002-07-02,2587.9606881106015
2002-07-03,2594.7228195398884
2002-07-04,2594.917676177075
2002-07-05,2685.2148232574136
2002-07-08,2658.944231866409
2002-07-09,2603.071243776718
2002-07-10,2522.3101022378714
2002-07-11,2539.0086124578947
2002-07-12,2516.1329217082434
2002-07-15,2503.385408342759
2002-07-16,2460.6528332942967
2002-07-17,2462.8884763128317
2002-07-18,2402.6512638335703
2002-07-19,2314.947518662434
2002-07-22,2215.6011428805723
2002-07-23,2121.104380817472
2002-07-24,2238.7346027884305
2002-07-25,2219.6004477359675
2002-07-26,2259.613859945735
2002-07-29,2388.7588078332565
2002-07-30,2401.0453561371487
2002-07-31,2425.324488387351
2002-08-01,2352.981905913475
2002-08-02,2290.8959638423908
2002-08-05,2205.7611133852392
2002-08-06,2274.0675077566816
2002-08-07,2309.2344237987722
2002-08-08,2392.4313747857923
2002-08-09,2408.1710998989684
2002-08-12,2393.6069712258623
2002-08-13,2342.875909186039
2002-08-14,2426.9643366284176
2002-08-15,2459.3383725179083
2002-08-16,2457.3401025007915
2002-08-19,2517.0867939120967
2002-08-20,2478.3992211940526
2002-08-21,2514.449989503579
2002-08-22,2549.2120547305262
2002-08-23,2488.3132561302514
2002-08-26,2516.370573464078
2002-08-27,2490.977076343303
2002-08-28,2437.814594363252
2002-08-29,2440.041439158574
2002-08-30,2435.7240060702184
2002-09-02,2436.0044346442305
2002-09-03,2326.064684080949
2002-09-04,2364.9765208637114
2002-09-05,2326.118974433312
2002-09-06,2368.8986231602935
2002-09-09,2389.3394773177665
2002-09-10,2402.003487287748
2002-09-11,2408.2080335386445
