Date,AUSTRALIA SMALL CAP QUALITY
2012-10-03,3801.930075813172
2012-10-04,3815.374857307189
2012-10-05,3849.5538089863044
2012-10-08,3829.888044422092
2012-10-09,3844.0802623028494
2012-10-10,3857.2840488425104
2012-10-11,3856.0738259463787
2012-10-12,3840.5565639673764
2012-10-15,3813.663414256875
2012-10-16,3834.890522712371
2012-10-17,3929.667476556299
2012-10-18,3968.722368605336
2012-10-19,3986.7650326735084
2012-10-22,3959.2479093385055
2012-10-23,3927.651441998191
2012-10-24,3904.4375486667045
2012-10-25,3894.6641235285
2012-10-26,3857.4196777265183
2012-10-29,3853.8416345231
2012-10-30,3859.9869719290477
2012-10-31,3910.43915292948
2012-11-01,3878.6866259268427
2012-11-02,3882.7628129649956
2012-11-05,3861.5754184533257
2012-11-06,3895.9811228362987
2012-11-07,3907.751581736601
2012-11-08,3893.1687315438226
2012-11-09,3885.318702625216
2012-11-12,3901.0855156173075
2012-11-13,3860.214660374812
2012-11-14,3820.5369235160533
2012-11-15,3773.1845834582523
2012-11-16,3782.3367807396753
2012-11-19,3834.857784296901
2012-11-20,3852.3544953450087
2012-11-21,3799.8931874071777
2012-11-22,3840.5736992996117
2012-11-23,3828.9219255943367
2012-11-26,3863.828233900248
2012-11-27,3871.8373008384647
2012-11-28,3831.9069669969285
2012-11-29,3824.7802064262232
2012-11-30,3855.2313495273297
2012-12-03,3851.168027248351
2012-12-04,3840.5510940325994
2012-12-05,3848.0941973832964
2012-12-06,3852.549507074948
2012-12-07,3883.573865778649
2012-12-10,3877.4433751012693
2012-12-11,3904.1545103805634
2012-12-12,3955.1215783459893
2012-12-13,3967.3801931778585
2012-12-14,3993.976531213592
2012-12-17,3978.8940477398337
2012-12-18,3999.3058332687724
2012-12-19,4003.9008612152056
2012-12-20,3976.5793975896236
2012-12-21,3944.3554246205176
2012-12-24,3941.9775067620053
2012-12-25,3941.9775067620053
2012-12-26,3935.138742835283
2012-12-27,3965.7563516003165
2012-12-28,4005.1356351597124
2012-12-31,3982.149437936913
2013-01-01,3982.149437936913
2013-01-02,4108.108420286986
2013-01-03,4180.188349288731
2013-01-04,4106.114510159944
2013-01-07,4099.068921675217
2013-01-08,4069.294075236014
2013-01-09,4098.132097333144
2013-01-10,4128.471922342758
