Date,FM (FRONTIER MARKETS) SMALL CAP
2018-09-11,1351.8552102742465
2018-09-12,1344.0477676857547
2018-09-13,1336.1612229844152
2018-09-14,1336.4855323073436
2018-09-17,1327.2919216213336
2018-09-18,1331.3308969605212
2018-09-19,1336.9754822379107
2018-09-20,1330.539059381553
2018-09-21,1328.140865313257
2018-09-24,1318.1884622976972
2018-09-25,1320.7456089252687
2018-09-26,1324.107293018102
2018-09-27,1327.8866027564502
2018-09-28,1330.2997801169772
2018-10-01,1331.3879193800663
2018-10-02,1331.2997933765191
2018-10-03,1341.2907819175496
2018-10-04,1338.0985813839106
2018-10-05,1334.9581353610201
2018-10-08,1342.1999137461962
2018-10-09,1341.1306963292113
2018-10-10,1329.4153586937432
2018-10-11,1310.7259254480125
2018-10-12,1317.2258488742257
2018-10-15,1304.791752514241
2018-10-16,1311.7402152575632
2018-10-17,1313.8888969694774
2018-10-18,1313.5652426807499
2018-10-19,1312.9482252333348
2018-10-22,1306.8961882115734
2018-10-23,1303.2061985086607
2018-10-24,1303.4510192145708
2018-10-25,1304.9878231228745
2018-10-26,1303.525919927594
2018-10-29,1295.2583762938393
2018-10-30,1297.6517599291567
2018-10-31,1306.3898714797683
2018-11-01,1300.6385016376762
2018-11-02,1307.3420728758417
2018-11-05,1304.4552074901153
2018-11-06,1300.9650739247188
2018-11-07,1295.2152047249501
2018-11-08,1299.6449967488622
2018-11-09,1301.4210342503075
2018-11-12,1311.1322082789513
2018-11-13,1305.3862297604517
2018-11-14,1302.0626593811626
2018-11-15,1298.704898325656
2018-11-16,1293.485599755093
2018-11-19,1291.5542814554753
2018-11-20,1294.740474641415
2018-11-21,1297.1014743269318
2018-11-22,1294.6439661142842
2018-11-23,1298.3037371213254
2018-11-26,1294.9127270827692
2018-11-27,1298.7074903752962
2018-11-28,1303.0900835181926
2018-11-29,1292.6279600320827
2018-11-30,1303.9458065092833
2018-12-03,1309.5348363519406
2018-12-04,1311.4771023549683
2018-12-05,1312.5194504536212
2018-12-06,1308.411986497707
2018-12-07,1308.514630957247
2018-12-10,1297.0952206505
2018-12-11,1300.7125832981917
2018-12-12,1299.4196534748883
2018-12-13,1299.8549835742426
2018-12-14,1301.6327744729497
2018-12-17,1289.602199168523
2018-12-18,1282.9453388810546
2018-12-19,1272.31972642858
2018-12-20,1270.1276489340207
2018-12-21,1268.838000836285
2018-12-24,1271.3704199504014
2018-12-25,1269.001611374869
2018-12-26,1273.2766405627988
2018-12-27,1282.8297220688478
2018-12-28,1281.8237455607489
2018-12-31,1288.3344901401426
2019-01-01,1293.1040976574382
2019-01-02,1296.83772815341
2019-01-03,1292.1494862339603
2019-01-04,1291.6069192876882
2019-01-07,1290.8842680713951
2019-01-08,1294.9773890268266
2019-01-09,1293.460319904083
2019-01-10,1292.9049195113093
2019-01-11,1300.6757281864327
2019-01-14,1300.0377127472025
2019-01-15,1308.4089286664948
2019-01-16,1309.0729322313005
2019-01-17,1309.5830001827565
2019-01-18,1312.6638996264082
2019-01-21,1317.3675781513589
2019-01-22,1317.6661709907683
2019-01-23,1322.9657657340779
2019-01-24,1327.9279222539953
2019-01-25,1323.218509588889
2019-01-28,1315.2725399741269
2019-01-29,1322.9389863072447
2019-01-30,1323.6887732915843
