Date,MALAYSIA IMI VALUE WEIGHTED
2014-08-25,9295.64607032495
2014-08-26,9297.458125949302
2014-08-27,9377.68168740428
2014-08-28,9400.87175052305
2014-08-29,9354.62699224433
2014-09-01,9379.549877585621
2014-09-02,9331.718431982601
2014-09-03,9306.216876836486
2014-09-04,9452.276955788464
2014-09-05,9463.814495229546
2014-09-08,9508.685630443875
2014-09-09,9486.106713106004
2014-09-10,9440.651429191705
2014-09-11,9435.551313816472
2014-09-12,9382.214399853105
2014-09-15,9251.057813379897
2014-09-16,9248.198687920863
2014-09-17,9246.1239260227
2014-09-18,9244.532440221017
2014-09-19,9325.143106213625
2014-09-22,9296.27523366684
2014-09-23,9229.596981141665
2014-09-24,9283.10286123974
2014-09-25,9326.899719929
2014-09-26,9347.351925664087
2014-09-29,9326.943260541993
2014-09-30,9361.215063264484
2014-10-01,9398.222255107947
2014-10-02,9373.090691632979
2014-10-03,9457.357508881902
2014-10-06,9414.092487260397
2014-10-07,9325.809421296299
2014-10-08,9176.417937359209
2014-10-09,9269.850794587399
2014-10-10,9191.298087103538
2014-10-13,9071.385817381914
2014-10-14,9043.725231562355
2014-10-15,8889.026483954955
2014-10-16,8731.614210214473
2014-10-17,8889.026079302344
2014-10-20,8973.6336355454
2014-10-21,9007.178963382628
2014-10-22,9051.978416640679
2014-10-23,9115.260761507343
2014-10-24,9138.786716951194
2014-10-27,9139.27237179558
2014-10-28,9112.071067821573
2014-10-29,9184.512367335385
2014-10-30,9275.578658330975
2014-10-31,9406.069640586413
2014-11-03,9355.579689222028
2014-11-04,9228.120428769143
2014-11-05,9200.976428562137
2014-11-06,9239.625137284722
2014-11-07,9192.011549348503
2014-11-10,9218.367024509567
2014-11-11,9156.212440340227
2014-11-12,9096.44502884816
2014-11-13,9076.521846839136
2014-11-14,9025.864983350877
2014-11-17,9000.188307668617
2014-11-18,8962.89384174123
2014-11-19,8962.820184584654
2014-11-20,8928.639604471684
2014-11-21,8991.445433436766
2014-11-24,9089.72898817366
2014-11-25,9042.168071998289
2014-11-26,9036.98277409928
2014-11-27,9040.509323436694
2014-11-28,8916.107759809627
2014-12-01,8537.514632425642
2014-12-02,8679.464697679869
2014-12-03,8548.202601887055
2014-12-04,8418.796410959858
2014-12-05,8470.874083411692
2014-12-08,8395.354001217602
2014-12-09,8308.03987611275
2014-12-10,8410.14278950735
2014-12-11,8313.863043856303
2014-12-12,8192.72110283663
2014-12-15,8016.303173640311
2014-12-16,7882.353365672554
2014-12-17,8029.281230596367
2014-12-18,8255.355048038507
2014-12-19,8326.388578935786
2014-12-22,8426.969644755456
2014-12-23,8475.996297988151
2014-12-24,8473.303042741732
2014-12-25,8473.303042741732
2014-12-26,8569.548707710339
2014-12-29,8550.37715805588
2014-12-30,8540.506827754683
2014-12-31,8574.03388003235
2015-01-01,8574.03388003235
2015-01-02,8554.501367153118
2015-01-05,8489.180128245565
