Date,AC ASIA PACIFIC EQUAL WEIGHTED
2022-11-09,5183.338219534934
2022-11-10,5200.562211060994
2022-11-11,5425.273695070054
2022-11-14,5448.266059520842
2022-11-15,5549.759195513828
2022-11-16,5493.313745152465
2022-11-17,5449.131232553885
2022-11-18,5446.615953766282
2022-11-21,5380.274562674827
2022-11-22,5379.023883401762
2022-11-23,5395.657784263953
2022-11-24,5469.797163506102
2022-11-25,5449.030550478635
2022-11-28,5408.600305120512
2022-11-29,5521.391049199652
2022-11-30,5581.356898011479
2022-12-01,5650.78689494933
2022-12-02,5620.225289963683
2022-12-05,5690.78184711422
2022-12-06,5656.157743012373
2022-12-07,5613.836561671536
2022-12-08,5649.799685156372
2022-12-09,5702.110645358034
2022-12-12,5641.940587803688
2022-12-13,5664.132640161599
2022-12-14,5705.461145884439
2022-12-15,5631.251424539606
2022-12-16,5617.397150089051
2022-12-19,5559.245474435205
2022-12-20,5537.342684937978
2022-12-21,5531.988338143033
2022-12-22,5552.18498551657
2022-12-23,5500.553748475521
2022-12-26,5533.433978823796
2022-12-27,5584.45735371651
2022-12-28,5565.888646465623
2022-12-29,5561.242882001283
2022-12-30,5590.646806101243
2023-01-02,5586.652625229639
2023-01-03,5630.048519405511
2023-01-04,5645.545530699069
2023-01-05,5682.6811302883325
2023-01-06,5716.058941648337
2023-01-09,5817.88857529445
2023-01-10,5811.752514083205
2023-01-11,5810.4786703646105
2023-01-12,5846.994248483028
2023-01-13,5923.3007891255575
2023-01-16,5935.855913100965
2023-01-17,5923.509641624872
2023-01-18,5955.5596204491085
2023-01-19,5953.394827670985
2023-01-20,5984.6893361511975
2023-01-23,5992.744278275802
2023-01-24,6008.307918311429
2023-01-25,6019.143554655034
2023-01-26,6053.752092154398
2023-01-27,6055.974155113776
2023-01-30,6036.168092267704
2023-01-31,5985.503999022218
2023-02-01,6055.173661127116
2023-02-02,6067.977254160247
2023-02-03,6004.747358418689
2023-02-06,5903.687252869446
2023-02-07,5925.8753527213585
2023-02-08,5925.542312105268
2023-02-09,5967.935573714225
2023-02-10,5914.293270971244
2023-02-13,5901.460132262041
2023-02-14,5920.235682833424
2023-02-15,5855.036165952063
2023-02-16,5852.440696921451
2023-02-17,5795.831491947585
2023-02-20,5873.5715420708375
2023-02-21,5856.888266545004
2023-02-22,5801.419528718023
2023-02-23,5800.400531084569
2023-02-24,5738.311111287998
2023-02-27,5711.225743763491
2023-02-28,5716.903429701428
2023-03-01,5794.728475071875
2023-03-02,5772.250179439141
2023-03-03,5812.744817646397
2023-03-06,5828.474763075649
2023-03-07,5774.29489819547
2023-03-08,5741.524851917459
2023-03-09,5721.697554012611
2023-03-10,5671.574321003404
2023-03-13,5716.174760870016
2023-03-14,5604.660059920992
2023-03-15,5639.903980929861
2023-03-16,5586.572937659116
2023-03-17,5655.461450737039
2023-03-20,5607.888251634169
2023-03-21,5647.983569399569
2023-03-22,5692.425008457664
2023-03-23,5767.4013278036045
2023-03-24,5734.957218512704
2023-03-27,5710.173526317685
2023-03-28,5725.010732219365
2023-03-29,5735.302863201946
2023-03-30,5758.638526344228
2023-03-31,5784.467721951638
2023-04-03,5819.376267352704
2023-04-04,5825.542326923287
2023-04-05,5818.059029388467
2023-04-06,5796.013466381188
2023-04-07,5813.3966741580125
2023-04-10,5791.318903945293
2023-04-11,5831.847962510615
2023-04-12,5849.923590438875
2023-04-13,5863.3056600030295
2023-04-14,5888.206606471229
2023-04-17,5898.301095572278
2023-04-18,5901.989122787588
2023-04-19,5853.3755183811545
2023-04-20,5848.418225599006
2023-04-21,5770.135844595219
2023-04-24,5745.689302098194
2023-04-25,5687.319228221277
2023-04-26,5701.078408998133
2023-04-27,5711.905299305916
2023-04-28,5752.185930690362
2023-05-01,5746.008944996374
2023-05-02,5754.2772570578545
2023-05-03,5759.18101140716
2023-05-04,5793.161156410187
2023-05-05,5778.532968577975
2023-05-08,5812.519994780646
2023-05-09,5788.207280022365
