Date,SWEDEN VALUE WEIGHTED
2002-04-11,1499.6714344092632
2002-04-12,1512.8990073167704
2002-04-15,1519.1123716290829
2002-04-16,1551.5732638045229
2002-04-17,1563.3732184262399
2002-04-18,1539.7327775822428
2002-04-19,1536.466067873656
2002-04-22,1472.837940976006
2002-04-23,1475.4038847294573
2002-04-24,1440.1162965148008
2002-04-25,1412.1958873242513
2002-04-26,1457.3707835993314
2002-04-29,1441.9328584001548
2002-04-30,1450.375101224074
2002-05-01,1450.6835197168232
2002-05-02,1449.9580633763858
2002-05-03,1423.2775559584882
2002-05-06,1415.557268865265
2002-05-07,1415.769202771106
2002-05-08,1453.9914662076308
2002-05-09,1451.8099684738738
2002-05-10,1442.5279946645571
2002-05-13,1445.4342111378992
2002-05-14,1473.6423928204983
