Date,ACWI FM ex USA
2021-10-20,1490.5528269119056
2021-10-21,1484.81442549287
2021-10-22,1488.1409760908284
2021-10-25,1488.042280461404
2021-10-26,1492.0294189451206
2021-10-27,1485.0278796678963
2021-10-28,1489.0709395368756
2021-10-29,1476.4081397214832
2021-11-01,1488.3611600657318
2021-11-02,1485.7068833905307
2021-11-03,1487.9883748494206
2021-11-04,1493.5362451930102
2021-11-05,1493.200971727607
2021-11-08,1497.2053487257447
2021-11-09,1495.4250296564965
2021-11-10,1490.0331588325662
2021-11-11,1491.3587406949684
2021-11-12,1497.7818421241852
2021-11-15,1501.1865708243508
2021-11-16,1498.3548797828444
2021-11-17,1492.7582450557309
2021-11-18,1487.4651747579192
2021-11-19,1483.2407621404482
2021-11-22,1473.0371967042067
2021-11-23,1464.1730268203291
2021-11-24,1458.1134342233358
2021-11-25,1463.2825230108883
2021-11-26,1429.492716770323
2021-11-29,1424.2192805838047
2021-11-30,1409.922586501149
2021-12-01,1431.2159687696937
2021-12-02,1426.9136116677291
2021-12-03,1419.4649956234118
2021-12-06,1422.8900406426242
2021-12-07,1451.5480615562733
2021-12-08,1456.6544471965262
2021-12-09,1454.041352828037
2021-12-10,1448.024031093238
2021-12-13,1439.226081633674
2021-12-14,1429.4762118266794
2021-12-15,1428.0276850403354
2021-12-16,1446.396348344871
2021-12-17,1434.728271243776
2021-12-20,1411.3070445363578
2021-12-21,1428.331782206244
2021-12-22,1440.7397731824772
2021-12-23,1452.890304176298
2021-12-24,1454.0875943821843
2021-12-27,1455.998991025343
2021-12-28,1463.4082675643097
2021-12-29,1463.0642684156967
2021-12-30,1463.3129068611408
2021-12-31,1468.0457054505396
2022-01-03,1465.1904916276217
2022-01-04,1477.4743901138374
2022-01-05,1475.23452288147
2022-01-06,1456.2814034187911
2022-01-07,1462.5807059726235
2022-01-10,1455.471669338961
2022-01-11,1464.918378782365
2022-01-12,1489.3802067716204
2022-01-13,1490.4566694700668
2022-01-14,1477.7598718232782
2022-01-17,1479.8437350179963
2022-01-18,1464.102735329864
2022-01-19,1458.2538499688744
2022-01-20,1470.652528680741
2022-01-21,1449.9377733500753
2022-01-24,1414.8002584337453
2022-01-25,1408.3267828282458
2022-01-26,1417.9594681146373
2022-01-27,1398.0494790638854
2022-01-28,1397.3380149032666
2022-01-31,1413.9570151769851
2022-02-01,1428.6082948534558
2022-02-02,1439.150404876709
2022-02-03,1430.7180989098738
2022-02-04,1429.0407931556892
2022-02-07,1433.91568556562
2022-02-08,1434.1482573127507
2022-02-09,1456.8441832346252
2022-02-10,1462.0422452673433
2022-02-11,1450.605475828985
2022-02-14,1422.7314694163445
2022-02-15,1434.7832033071268
2022-02-16,1445.8911294599661
2022-02-17,1440.6077877060618
2022-02-18,1427.3675504639284
2022-02-21,1415.136864112017
2022-02-22,1405.7151082980415
2022-02-23,1403.4041037891964
2022-02-24,1348.1015333762155
2022-02-25,1384.924569708293
2022-02-28,1385.8390517213734
2022-03-01,1370.9606289380781
2022-03-02,1364.7657835681116
2022-03-03,1358.783226007259
2022-03-04,1320.2436507465397
2022-03-07,1291.0965881830125
2022-03-08,1278.7178641028622
2022-03-09,1310.97948028049
2022-03-10,1314.9969735811042
2022-03-11,1305.3367302946015
2022-03-14,1298.5954940582706
2022-03-15,1286.4383923025387
2022-03-16,1329.6470061693617
2022-03-17,1363.0429186780823
2022-03-18,1366.9277531962196
2022-03-21,1366.2246650335067
2022-03-22,1377.2203021110026
2022-03-23,1378.5999097706003
2022-03-24,1376.0871506005863
2022-03-25,1371.5584308622851
2022-03-28,1367.5437341860074
2022-03-29,1393.210461123882
2022-03-30,1400.9820931347465
2022-03-31,1388.0324296855
2022-04-01,1385.37845186114
2022-04-04,1396.7002646662859
2022-04-05,1392.0937554958168
2022-04-06,1371.9036320024861
2022-04-07,1359.9451179507178
2022-04-08,1366.0522515568741
2022-04-11,1355.2222112163713
2022-04-12,1349.01675261853
2022-04-13,1352.7830927117272
2022-04-14,1354.5698053647002
2022-04-15,1351.997488982861
2022-04-18,1346.3830762597688
2022-04-19,1338.8946687291984
2022-04-20,1352.727000947943
2022-04-21,1347.9126613902197
2022-04-22,1321.8296151518537
2022-04-25,1293.408985444888
2022-04-26,1284.831346638007
2022-04-27,1276.2199776976893
2022-04-28,1285.9946419738578
2022-04-29,1301.0578571412495
2022-05-02,1288.3394898600131
2022-05-03,1292.8666596872383
2022-05-04,1287.945492346857
2022-05-05,1279.4550287788695
2022-05-06,1261.323049333397
2022-05-09,1228.5320877651382
2022-05-10,1226.7733417750007
2022-05-11,1236.595352146616
2022-05-12,1215.7601645080274
2022-05-13,1237.459062036569
2022-05-16,1241.0749713666637
2022-05-17,1265.538541272495
2022-05-18,1261.238435546526
2022-05-19,1250.020715317322
2022-05-20,1261.5142674149192
2022-05-23,1276.3702232371982
2022-05-24,1267.0266215275535
2022-05-25,1268.9880593314115
2022-05-26,1277.0225962842007
2022-05-27,1295.8897437069497
2022-05-30,1316.5323288381448
2022-05-31,1310.0407930694428
2022-06-01,1300.4604017868467
2022-06-02,1304.386922007854
2022-06-03,1301.6153542742252
2022-06-06,1310.3667550323437
2022-06-07,1303.2226487892285
2022-06-08,1305.9746190534133
2022-06-09,1287.991297710578
2022-06-10,1257.3069732520703
2022-06-13,1217.9298498591102
2022-06-14,1205.08775661942
2022-06-15,1210.4604839129147
2022-06-16,1198.7474891474262
2022-06-17,1186.6770487357962
2022-06-20,1194.9383910673848
2022-06-21,1208.1763693564221
2022-06-22,1195.6643109479337
2022-06-23,1189.516959198651
2022-06-24,1211.9988811524474
2022-06-27,1228.0812875540955
2022-06-28,1227.37953149867
2022-06-29,1214.1177980889609
2022-06-30,1197.5028070720293
2022-07-01,1188.960351045658
2022-07-04,1197.7409397135632
2022-07-05,1177.32412804325
2022-07-06,1175.9132001288986
2022-07-07,1194.6023697460198
2022-07-08,1200.1238264692747
2022-07-11,1184.0042499262659
2022-07-12,1177.699667987299
2022-07-13,1176.956779294996
2022-07-14,1156.9054022808027
2022-07-15,1169.9499524811686
2022-07-18,1190.639774052592
2022-07-19,1202.6760682827046
2022-07-20,1207.7978563149734
2022-07-21,1210.653013185864
2022-07-22,1217.016255966211
2022-07-25,1214.424316365223
2022-07-26,1211.320580561951
2022-07-27,1213.800851643958
2022-07-28,1229.3328147861716
2022-07-29,1238.396031831466
2022-08-01,1247.140143306769
2022-08-02,1232.823117082313
2022-08-03,1229.2260984368343
2022-08-04,1240.1085489837099
2022-08-05,1235.5900082702467
2022-08-08,1244.1460787297297
2022-08-09,1238.5064950501603
2022-08-10,1254.2889987578153
2022-08-11,1262.2419123182628
2022-08-12,1262.0991681583587
2022-08-15,1261.795667488246
2022-08-16,1260.30688388689
2022-08-17,1255.0654347069944
2022-08-18,1252.7997740240737
2022-08-19,1237.6389486630503
2022-08-22,1224.2060340487537
2022-08-23,1221.6497329197887
2022-08-24,1219.4492317671936
2022-08-25,1230.9193539744601
2022-08-26,1223.5784199393293
2022-08-29,1204.7547089989566
2022-08-30,1202.2143564813812
2022-08-31,1198.8033610195873
2022-09-01,1171.3419818322825
2022-09-02,1184.6879449387268
2022-09-05,1174.3294665483127
2022-09-06,1169.1360458994961
2022-09-07,1161.3239424362223
2022-09-08,1171.0024774368635
2022-09-09,1193.7544108865297
2022-09-12,1213.692533522743
2022-09-13,1195.9299984018432
2022-09-14,1181.0886370393378
2022-09-15,1174.3410178936233
2022-09-16,1160.6859157161252
2022-09-19,1157.6420723640726
2022-09-20,1154.4554984244398
2022-09-21,1142.371569261371
2022-09-22,1127.8321617061436
2022-09-23,1100.0887552098234
2022-09-26,1081.162552646931
2022-09-27,1080.518235896032
2022-09-28,1075.9061074754384
2022-09-29,1075.9286956454737
2022-09-30,1079.04206087315
2022-10-03,1087.789062272508
