Date,EM ASIA MINIMUM VOLATILITY (USD)
2013-07-11,5321.511748730342
2013-07-12,5335.224458514227
2013-07-15,5342.964783461798
2013-07-16,5350.12686995627
2013-07-17,5357.526120351479
2013-07-18,5346.925507300317
2013-07-19,5321.365679016653
2013-07-22,5326.987293438165
2013-07-23,5407.570604696582
2013-07-24,5405.856814530852
2013-07-25,5377.848791676706
2013-07-26,5397.652313497468
2013-07-29,5339.507864361694
2013-07-30,5348.174901187543
2013-07-31,5320.8285519051615
2013-08-01,5332.455424180937
2013-08-02,5322.181538355644
2013-08-05,5345.600139157406
2013-08-06,5306.965188949464
2013-08-07,5260.264297869412
2013-08-08,5271.807376291533
2013-08-09,5264.236321244598
2013-08-12,5304.584037447603
2013-08-13,5367.721264431093
2013-08-14,5358.021605820731
2013-08-15,5331.142235528834
2013-08-16,5320.0594267124425
2013-08-19,5262.40281579324
2013-08-20,5192.045595504364
2013-08-21,5165.593592755853
2013-08-22,5122.7901688733355
2013-08-23,5140.926750127981
2013-08-26,5153.5724278299485
2013-08-27,5100.911586468975
2013-08-28,5046.778302656106
2013-08-29,5137.137842616589
2013-08-30,5210.582165187017
2013-09-02,5238.144737167096
2013-09-03,5241.65303812698
2013-09-04,5221.270329313472
2013-09-05,5270.9743012594145
2013-09-06,5277.82806490864
2013-09-09,5362.09678749638
2013-09-10,5435.875397779457
