Date,WORLD ex EMU HIGH DIVIDEND YIELD
2008-10-31,1150.751584729937
2008-11-03,1155.0604158947494
2008-11-04,1186.6907060432807
2008-11-05,1138.588755729593
2008-11-06,1100.5589939389477
2008-11-07,1119.8874548921892
2008-11-10,1110.025300719749
2008-11-11,1097.391821940679
2008-11-12,1054.770519683494
2008-11-13,1082.7175972731395
2008-11-14,1055.5060456495464
2008-11-17,1035.9093650713212
2008-11-18,1041.6272468091968
2008-11-19,987.6744851849065
2008-11-20,930.5356302053699
2008-11-21,947.9529737825609
2008-11-24,999.7830458217169
2008-11-25,1008.0345137448638
2008-11-26,1027.197787991656
2008-11-27,1039.0406034082325
2008-11-28,1077.7656484779652
2008-12-01,998.39512357544
2008-12-02,1015.1889630625863
2008-12-03,1037.5860258657704
2008-12-04,1018.0110715970178
2008-12-05,1028.5233950782367
2008-12-08,1073.683961038248
2008-12-09,1059.424414375499
2008-12-10,1053.514687593393
2008-12-11,1020.1685364590145
2008-12-12,1000.9647446270616
2008-12-15,977.9456947175752
2008-12-16,1000.6508249733814
2008-12-17,968.3880509495885
2008-12-18,952.8708618547622
2008-12-19,976.595831460716
2008-12-22,960.4794730335326
2008-12-23,952.1729996184613
2008-12-24,950.9032956373569
2008-12-25,951.8479825557855
2008-12-26,948.3033866885828
2008-12-29,944.3943555558141
2008-12-30,965.8223916033444
2008-12-31,993.41502091461
2009-01-01,993.41502091461
2009-01-02,1018.2437628971077
2009-01-05,1038.2315631516647
2009-01-06,1068.3821014083655
2009-01-07,1034.41137277795
2009-01-08,1025.8699262000682
2009-01-09,1027.1974925473407
2009-01-12,1011.3274804320727
2009-01-13,1008.7183934549461
2009-01-14,976.7056705409724
2009-01-15,964.679233558068
2009-01-16,961.0248300562918
2009-01-19,958.5443759694457
2009-01-20,925.2323434548133
2009-01-21,938.7051035549877
2009-01-22,923.8722768203062
2009-01-23,929.8921074196861
2009-01-26,925.0880062669503
2009-01-27,935.2795728217459
2009-01-28,965.1237641252128
2009-01-29,946.6823766270911
2009-01-30,945.3993865485205
2009-02-02,932.6369385254072
2009-02-03,935.9475456804591
2009-02-04,945.386188607093
