Date,EUROPE ex UK ESG LEADERS
2011-04-06,839.8076884987822
2011-04-07,836.8872644188956
2011-04-08,840.0899167768347
2011-04-11,837.0753522098515
2011-04-12,825.6721593063829
2011-04-13,831.00258171122
2011-04-14,825.350903307855
2011-04-15,826.0151088539185
2011-04-18,810.7462656995632
2011-04-19,816.6454981572072
2011-04-20,833.4726840548856
2011-04-21,839.2542021119253
2011-04-22,839.2542021119253
2011-04-25,839.4377339041615
2011-04-26,842.5333924873947
2011-04-27,845.0656089331414
2011-04-28,848.8750143029212
2011-04-29,853.4174422850485
2011-05-02,856.1751329705465
2011-05-03,852.9756129250364
2011-05-04,840.983458641773
2011-05-05,839.6113097731078
2011-05-06,850.5193446688185
2011-05-09,844.863387946793
2011-05-10,853.572222939442
2011-05-11,855.2316020945033
2011-05-12,850.4258853465749
2011-05-13,847.9356649942191
2011-05-16,848.7189223466283
2011-05-17,838.08371329616
2011-05-18,842.4137085609871
2011-05-19,847.3991221643395
2011-05-20,842.8976476109162
2011-05-23,827.8043002644052
2011-05-24,830.1900887476672
2011-05-25,836.4207071032698
2011-05-26,833.1542456768068
2011-05-27,839.749978154134
2011-05-30,839.1036644250368
2011-05-31,850.029994588218
2011-06-01,843.9047761237167
2011-06-02,835.4834526087897
2011-06-03,832.5766636039948
2011-06-06,827.7187935748337
2011-06-07,825.5822208090306
2011-06-08,815.7437450013198
2011-06-09,822.1160474521189
2011-06-10,810.525622891199
2011-06-13,811.3132000704258
2011-06-14,819.8822346826374
2011-06-15,808.0733382023053
2011-06-16,804.5956318595198
2011-06-17,809.219941775586
2011-06-20,802.7840667286464
2011-06-21,816.8358986396294
2011-06-22,812.3536090994328
2011-06-23,798.1358719161364
2011-06-24,796.2594152987516
2011-06-27,797.6294205885446
2011-06-28,802.3939770427932
2011-06-29,817.7226241530614
2011-06-30,826.9713157539549
2011-07-01,832.8778575484788
2011-07-04,834.488434571551
2011-07-05,832.8853193407674
2011-07-06,828.4890026573659
2011-07-07,833.009603507656
2011-07-08,822.5562234608512
2011-07-11,807.8739661809876
2011-07-12,804.2152618045864
2011-07-13,810.7201730390087
2011-07-14,803.1188265118623
2011-07-15,800.4082650752205
2011-07-18,787.5683535841528
2011-07-19,795.6557773069114
2011-07-20,807.1878625005911
2011-07-21,817.5851862763569
2011-07-22,820.6731528072625
2011-07-25,819.0491991837514
2011-07-26,815.4906663083963
2011-07-27,805.8832297544213
2011-07-28,803.3061503958091
2011-07-29,800.0321077647824
2011-08-01,787.1489672261682
2011-08-02,767.144914334951
2011-08-03,753.8319314579422
2011-08-04,724.2985752405926
2011-08-05,714.2761370362817
2011-08-08,686.1790196021595
2011-08-09,698.2739947484674
2011-08-10,671.9795540655813
