Date,FAR EAST ESG LEADERS
2019-01-09,1501.6441523689602
2019-01-10,1486.9506083229192
2019-01-11,1502.1631434310736
2019-01-14,1502.7965900103613
2019-01-15,1518.1613220213333
2019-01-16,1516.0181532296249
2019-01-17,1517.5424560931378
2019-01-18,1526.1967592293804
2019-01-21,1533.6975113819926
2019-01-22,1529.3263987734617
2019-01-23,1516.5619622702732
2019-01-24,1523.8319066167076
2019-01-25,1531.841399781557
2019-01-28,1524.0384415187486
2019-01-29,1525.6702190135059
2019-01-30,1519.123616076032
2019-01-31,1537.5590319855983
2019-02-01,1530.8758792805995
2019-02-04,1537.4165571091712
2019-02-05,1540.1756681640695
2019-02-06,1546.0247035352143
2019-02-07,1534.9204350409
2019-02-08,1512.951771711023
2019-02-11,1512.6092951935698
2019-02-12,1534.599951234633
2019-02-13,1551.8196773983514
2019-02-14,1556.8430196356728
2019-02-15,1547.0864313115942
2019-02-18,1562.1356473088806
2019-02-19,1565.1368271421366
2019-02-20,1569.2208730899592
2019-02-21,1575.006494065447
2019-02-22,1574.9061553294341
2019-02-25,1583.504739424455
2019-02-26,1579.1615966336162
2019-02-27,1579.1632492286685
2019-02-28,1559.9629500718634
2019-03-01,1562.4325202219459
2019-03-04,1585.8387929563962
2019-03-05,1580.562312301659
2019-03-06,1577.5713006020826
2019-03-07,1578.5268342893646
2019-03-08,1557.026540224915
2019-03-11,1565.2466775078992
2019-03-12,1579.6643964557677
2019-03-13,1565.3027234341778
2019-03-14,1555.33306031361
2019-03-15,1566.0334545752246
2019-03-18,1576.294644149056
2019-03-19,1572.7019284908117
2019-03-20,1572.6199415580056
2019-03-21,1578.7325376707004
2019-03-22,1600.736509164168
2019-03-25,1553.788035716017
2019-03-26,1591.2266285154813
2019-03-27,1604.0536116269836
2019-03-28,1583.1507747931337
2019-03-29,1591.2571979619086
2019-04-01,1607.943504801461
2019-04-02,1605.7054988145233
2019-04-03,1609.3146722605552
2019-04-04,1609.8895741290921
2019-04-05,1612.2492080659679
2019-04-08,1607.009776780863
2019-04-09,1612.5120768405038
2019-04-10,1606.995136393052
2019-04-11,1594.7675227299305
2019-04-12,1580.6845495244452
2019-04-15,1596.1276040931107
2019-04-16,1599.6167416634753
2019-04-17,1601.9039593053058
2019-04-18,1601.425653903594
2019-04-19,1606.904240252552
2019-04-22,1608.2438627835033
2019-04-23,1617.3690017360227
2019-04-24,1612.1002224340555
2019-04-25,1630.9166176834096
2019-04-26,1626.529182890854
2019-04-29,1624.6921267831135
2019-04-30,1622.8876336087906
2019-05-01,1620.6858462890427
2019-05-02,1625.2705489015068
2019-05-03,1630.7587022265745
2019-05-06,1627.0365416436005
2019-05-07,1617.411835437387
2019-05-08,1591.2309733246575
2019-05-09,1574.4126512400453
2019-05-10,1576.508431284484
2019-05-13,1576.6019992913511
2019-05-14,1570.9886934752003
2019-05-15,1579.773087034059
2019-05-16,1572.7672452203794
2019-05-17,1588.225251749488
2019-05-20,1590.1268353149796
2019-05-21,1572.1124344660022
2019-05-22,1576.3600672797672
2019-05-23,1577.2921312263409
2019-05-24,1576.2347857057
2019-05-27,1580.1418563675652
2019-05-28,1585.3513455197142
2019-05-29,1578.1768165739397
2019-05-30,1568.5328153970295
2019-05-31,1561.0474835641348
2019-06-03,1545.714431536279
2019-06-04,1539.2515491738022
2019-06-05,1564.5304530906717
