Date,PORTUGAL SMALL VALUE
2013-09-16,534.4141347429552
2013-09-17,530.3173402646975
2013-09-18,535.5018903535934
2013-09-19,539.0304676473907
2013-09-20,544.1328074443865
2013-09-23,538.1905841155007
2013-09-24,538.2700115517594
2013-09-25,541.2567005438206
2013-09-26,541.439494215099
2013-09-27,538.0704224652621
2013-09-30,537.8932007237768
2013-10-01,544.7663030426548
2013-10-02,547.5671508493002
2013-10-03,546.3861532090084
2013-10-04,552.6264834073112
2013-10-07,553.6435713446514
2013-10-08,551.063402335913
2013-10-09,564.1189250534889
2013-10-10,572.3255703451001
2013-10-11,576.9086932997469
2013-10-14,586.5674093399318
2013-10-15,590.76888135286
2013-10-16,592.6084086222655
2013-10-17,596.9804148668222
2013-10-18,598.4453406929536
2013-10-21,604.4292943375871
2013-10-22,598.7085416824567
2013-10-23,586.4776404629157
2013-10-24,592.2346354925794
2013-10-25,582.8666232702886
2013-10-28,588.492713840952
2013-10-29,594.9483653676076
2013-10-30,608.0567862870051
2013-10-31,608.3108184608195
2013-11-01,605.7245646336432
2013-11-04,613.8326967132472
2013-11-05,614.7749299560753
2013-11-06,625.4862197803382
2013-11-07,629.8949317080909
2013-11-08,623.046109275806
2013-11-11,628.3582900573813
2013-11-12,626.6977451576631
2013-11-13,616.034370740019
2013-11-14,622.826509864542
2013-11-15,623.4486403924988
2013-11-18,628.665099615874
2013-11-19,629.0777371899043
2013-11-20,617.7291883825045
2013-11-21,626.75670989809
2013-11-22,632.4963387485844
2013-11-25,632.6088684256124
2013-11-26,636.8611686889915
2013-11-27,652.8260913034005
2013-11-28,657.9819190434575
2013-11-29,663.3379916027523
2013-12-02,676.5724492071328
2013-12-03,675.241242814373
2013-12-04,667.5760780299828
2013-12-05,662.834705557052
2013-12-06,661.5018738025254
2013-12-09,673.5798066050855
2013-12-10,684.2503502903214
2013-12-11,680.3397770081164
2013-12-12,672.2487219739313
2013-12-13,667.7514281210872
2013-12-16,674.5286900445606
2013-12-17,674.6491629300875
2013-12-18,681.2450493045441
2013-12-19,689.4124228050757
2013-12-20,707.1644430815694
2013-12-23,717.3734513837161
2013-12-24,721.4622742402632
2013-12-25,721.4622742402632
2013-12-26,721.4622742402634
2013-12-27,730.406103436716
2013-12-30,707.8794508456225
2013-12-31,706.9617873226214
2014-01-01,706.9617873226214
2014-01-02,737.4886217612554
2014-01-03,738.8831107644223
2014-01-06,744.5053264806589
2014-01-07,768.1139544442631
2014-01-08,786.3418019140508
2014-01-09,793.4056939555024
2014-01-10,800.5238781805514
2014-01-13,810.190333385361
2014-01-14,800.1693072939158
2014-01-15,817.5773425814957
2014-01-16,809.3824879423072
2014-01-17,809.3300972823662
2014-01-20,803.8714291691498
2014-01-21,800.3868404347354
2014-01-22,762.4533222951582
2014-01-23,774.6787395039719
2014-01-24,770.3035710115219
2014-01-27,758.7185134789348
2014-01-28,773.5439276047337
2014-01-29,777.7298629285323
2014-01-30,775.4266726919344
2014-01-31,768.1394670226844
2014-02-03,754.6875699717181
2014-02-04,786.2064283587406
2014-02-05,791.1221215480526
2014-02-06,814.3112356060617
2014-02-07,812.3312438621093
2014-02-10,813.4748955978413
2014-02-11,820.1986330126077
2014-02-12,817.1932502998405
2014-02-13,820.1551687350352
2014-02-14,831.6393270503378
2014-02-17,846.3530067849048
2014-02-18,840.2685101006507
2014-02-19,835.2930876997818
2014-02-20,834.7123332911095
2014-02-21,839.8062117541929
2014-02-24,846.6685348409325
2014-02-25,852.4738225971962
2014-02-26,840.4711838537933
2014-02-27,846.7611357631438
2014-02-28,850.3613664699626
2014-03-03,825.2787010755139
2014-03-04,845.7027062611809
2014-03-05,851.3768554362364
2014-03-06,877.185228881308
2014-03-07,873.9826786050558
2014-03-10,891.4540775068623
2014-03-11,911.9704573421008
2014-03-12,893.6373478577428
2014-03-13,873.1405949845283
2014-03-14,867.433871658236
2014-03-17,891.8989353772082
2014-03-18,899.7965166879379
2014-03-19,898.1004048556532
2014-03-20,893.8508033988436
2014-03-21,898.9136284770368
2014-03-24,879.1293547949605
2014-03-25,884.4213885785981
2014-03-26,897.5377428859221
2014-03-27,903.8106231327345
2014-03-28,912.3478995635626
2014-03-31,926.0280808361575
2014-04-01,950.2009113741262
2014-04-02,937.3243156051064
2014-04-03,944.1583484035249
2014-04-04,945.1348337552869
2014-04-07,932.6055836132358
2014-04-08,910.6116079588605
2014-04-09,907.7930266229804
2014-04-10,902.2025751145623
2014-04-11,889.4036572740362
2014-04-14,875.6837013883096
2014-04-15,858.3039657004492
2014-04-16,884.9322856144499
2014-04-17,893.021362175907
2014-04-18,893.021362175907
2014-04-21,893.021362175907
2014-04-22,916.828341330162
2014-04-23,904.6563163389716
2014-04-24,900.6139915575683
2014-04-25,884.5649343516088
2014-04-28,886.0436114439144
2014-04-29,903.8174300851011
2014-04-30,910.5742343443362
2014-05-01,910.5742343443362
2014-05-02,911.3002778144025
2014-05-05,910.172546578657
2014-05-06,918.6060505483274
2014-05-07,899.9297119098617
2014-05-08,896.3457460336529
2014-05-09,876.3083023349265
2014-05-12,886.5262565447961
2014-05-13,877.7571741257608
2014-05-14,841.8902308830142
2014-05-15,796.1096101588283
2014-05-16,815.386601294745
2014-05-19,802.7624855342788
2014-05-20,800.2785944344305
2014-05-21,807.3695624957421
2014-05-22,806.3537479639984
2014-05-23,814.7267563520613
2014-05-26,844.8359280499867
2014-05-27,857.8148522693203
2014-05-28,878.5554627854422
2014-05-29,864.6872404386314
2014-05-30,862.7699985367271
2014-06-02,873.9210108192834
2014-06-03,866.2029542675431
2014-06-04,872.8088418001391
2014-06-05,880.3099099178966
2014-06-06,901.9394638058005
2014-06-09,911.6105870158655
2014-06-10,922.4421586028353
2014-06-11,904.5963803364466
2014-06-12,892.656143658324
2014-06-13,884.9814146269822
2014-06-16,884.4698760813785
2014-06-17,889.005099079777
2014-06-18,884.8957981090905
2014-06-19,888.325368233313
2014-06-20,867.7107695984328
2014-06-23,859.9219598244966
2014-06-24,848.355649421881
2014-06-25,863.5240952635343
2014-06-26,864.0495530740852
2014-06-27,850.2690972393225
2014-06-30,856.1561729533239
2014-07-01,907.832611268576
2014-07-02,900.9375722041883
2014-07-03,895.091549053563
2014-07-04,890.1238695266496
2014-07-07,878.9305561080439
2014-07-08,856.2184861531106
2014-07-09,838.9220576392119
2014-07-10,801.1960346563056
2014-07-11,808.0978397785665
2014-07-14,815.4794715570866
2014-07-15,812.8019408877788
2014-07-16,830.1208141560975
2014-07-17,819.2124265268727
2014-07-18,810.220469684687
2014-07-21,813.5762415971244
2014-07-22,819.9888324889056
2014-07-23,824.3316902295542
2014-07-24,828.6579208712759
2014-07-25,834.8156554213515
2014-07-28,837.0926935539012
2014-07-29,829.6142911647864
2014-07-30,823.4932252711527
2014-07-31,813.0756903556573
2014-08-01,793.4170974558709
2014-08-04,799.0625186703244
2014-08-05,794.3156162753057
2014-08-06,760.6931164004899
2014-08-07,738.7929170454671
2014-08-08,737.2962527429215
2014-08-11,735.3293470067555
2014-08-12,736.1207456359165
2014-08-13,748.2225418512176
2014-08-14,749.8045147012767
2014-08-15,750.2819892498404
2014-08-18,770.208471277365
2014-08-19,774.0733885338008
2014-08-20,766.6885700603801
2014-08-21,777.0342824793131
2014-08-22,771.6496634431228
2014-08-25,775.9785386464893
2014-08-26,790.7272527313338
2014-08-27,810.734484044502
2014-08-28,807.2602817762614
2014-08-29,803.1776280180445
2014-09-01,797.5914570041167
2014-09-02,802.1637000629381
2014-09-03,808.8372074134038
2014-09-04,827.6859522286439
2014-09-05,824.563270415066
2014-09-08,826.5804483927121
2014-09-09,811.0529639244314
2014-09-10,809.279787911569
2014-09-11,817.3080646972307
2014-09-12,819.079172814015
2014-09-15,811.0326914601831
2014-09-16,821.2493792452352
2014-09-17,829.6493323512174
2014-09-18,834.2668989664961
2014-09-19,829.5034506130594
2014-09-22,824.853736726823
2014-09-23,809.9357740177998
2014-09-24,800.9261693610796
2014-09-25,792.1110590477768
2014-09-26,796.4839387671962
2014-09-29,791.9119804140687
2014-09-30,803.772007639323
2014-10-01,798.1679127114376
2014-10-02,773.304767556564
2014-10-03,787.8895597272602
2014-10-06,786.5470692407353
2014-10-07,778.8720978859133
2014-10-08,766.8767417584437
2014-10-09,733.0375498861374
2014-10-10,725.5133504717037
2014-10-13,725.2496950645706
2014-10-14,726.5592036430363
2014-10-15,702.0093303889128
2014-10-16,670.3751866022178
2014-10-17,674.4728806289343
2014-10-20,669.2056498710956
2014-10-21,678.0456019930414
2014-10-22,683.3371562131695
2014-10-23,694.9982725533079
2014-10-24,691.3659818602498
2014-10-27,680.0035391484638
2014-10-28,703.1661673371082
2014-10-29,699.3003517427053
2014-10-30,703.5076454444859
2014-10-31,729.765486718259
2014-11-03,738.5627353127289
2014-11-04,713.6489953574359
2014-11-05,732.0593769038766
2014-11-06,733.0288383061868
2014-11-07,724.3592281368702
2014-11-10,738.9943409683364
2014-11-11,742.2778789509513
2014-11-12,731.301338062123
2014-11-13,730.7029192196997
2014-11-14,720.2099034439764
2014-11-17,727.376439197343
2014-11-18,734.4976167997839
2014-11-19,735.4643742924708
2014-11-20,737.7246219511917
2014-11-21,757.8286741031857
2014-11-24,755.7458664590084
2014-11-25,759.7091166498003
2014-11-26,747.4517257608733
2014-11-27,747.5297100104312
2014-11-28,741.2785264323081
2014-12-01,739.1937202903116
2014-12-02,739.1167981697216
2014-12-03,740.825971680002
2014-12-04,737.7697717477251
2014-12-05,752.0281753542408
2014-12-08,744.4309022648159
2014-12-09,729.0472601896859
2014-12-10,720.2041879627981
2014-12-11,712.8237535808507
2014-12-12,701.3976006644971
2014-12-15,687.8833365280019
2014-12-16,691.1018526511541
2014-12-17,682.2519995843991
2014-12-18,707.8024036320361
2014-12-19,705.7763687834146
2014-12-22,709.8303388765785
2014-12-23,718.2256300124151
2014-12-24,715.8584519300063
2014-12-25,715.8584519300063
2014-12-26,715.8584519300063
2014-12-29,708.6503594298033
2014-12-30,696.890584627613
2014-12-31,695.5976782881409
2015-01-01,695.5976782881411
2015-01-02,700.4632679760765
2015-01-05,691.738885084161
2015-01-06,679.9727042566288
2015-01-07,667.1805584691521
2015-01-08,687.104438342009
2015-01-09,686.3952464113033
2015-01-12,689.0305865405575
2015-01-13,699.7256262663543
2015-01-14,711.054607248926
2015-01-15,715.6569219299249
2015-01-16,712.8014801658163
2015-01-19,715.2674255987862
2015-01-20,710.939127759008
2015-01-21,715.3774923929489
2015-01-22,743.3082673357146
2015-01-23,758.4184480542415
2015-01-26,761.3547285590695
2015-01-27,745.7847392637169
2015-01-28,745.894393302948
2015-01-29,748.7298818003018
2015-01-30,745.4855534891461
2015-02-02,741.7396354772197
2015-02-03,759.0682476638739
2015-02-04,760.1860187655191
2015-02-05,763.3373114388982
2015-02-06,764.542411404701
2015-02-09,748.9097759374159
2015-02-10,756.3287749188039
