Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH
2019-11-12,2871.670787514702
2019-11-13,2874.029666178077
2019-11-14,2879.670816429528
2019-11-15,2892.3303491448078
2019-11-18,2889.0958069129515
2019-11-19,2893.2516843624503
2019-11-20,2885.2576729346933
2019-11-21,2871.008882302157
2019-11-22,2884.3633033479305
2019-11-25,2920.9306498175883
2019-11-26,2931.7739658937744
2019-11-27,2949.2076928151882
2019-11-28,2947.4136486341718
2019-11-29,2931.44953930027
2019-12-02,2887.2660193424213
2019-12-03,2871.157456112647
2019-12-04,2885.1395020278906
2019-12-05,2888.7606544483074
2019-12-06,2923.311908785821
2019-12-09,2908.132584228522
2019-12-10,2899.208071688325
2019-12-11,2910.0071369096972
2019-12-12,2913.9473138662156
2019-12-13,2923.444004085558
2019-12-16,2950.046791833053
2019-12-17,2941.4948005950323
2019-12-18,2947.9353717197196
2019-12-19,2964.0730301989342
2019-12-20,2987.0986139209363
2019-12-23,2991.733463613741
2019-12-24,2993.9837952057974
2019-12-25,2993.971089580176
2019-12-26,3007.0170233540066
2019-12-27,2996.3307158850666
2019-12-30,2967.959384702662
2019-12-31,2967.04066868243
2020-01-01,2967.073091120915
2020-01-02,3003.906023156313
2020-01-03,2997.8583035878914
2020-01-06,3001.0307013078436
2020-01-07,3010.6314351679566
2020-01-08,3031.6939348318997
2020-01-09,3058.691341182792
2020-01-10,3054.0501580959153
2020-01-13,3068.737385709824
2020-01-14,3069.7868766052034
2020-01-15,3075.187585222285
2020-01-16,3101.546829073695
2020-01-17,3128.4057236132267
2020-01-20,3129.881385190729
2020-01-21,3123.1238818775555
2020-01-22,3131.588464864063
2020-01-23,3137.6431523044394
2020-01-24,3130.2304532316944
2020-01-27,3078.644480293214
2020-01-28,3112.608591496249
2020-01-29,3119.936512409303
2020-01-30,3107.015684318302
2020-01-31,3050.3447611637594
2020-02-03,3083.154070584475
2020-02-04,3141.4491694232315
2020-02-05,3169.2617071307322
2020-02-06,3192.5838103323836
2020-02-07,3178.785723190542
2020-02-10,3213.5656412605135
2020-02-11,3226.153226073066
2020-02-12,3256.3940705830573
2020-02-13,3268.9152701698354
2020-02-14,3278.8991827574473
2020-02-17,3284.4615857807908
2020-02-18,3284.073296897795
2020-02-19,3317.3814182167744
2020-02-20,3293.495882383676
2020-02-21,3241.9461053941804
2020-02-24,3125.926983126089
2020-02-25,3042.432104003722
