Date,EASEA INDEX (EAFE ex JAPAN) IMI VALUE
2021-07-29,1140.757120464392
2021-07-30,1129.6224185998522
2021-08-02,1137.468555842396
2021-08-03,1138.7261868158446
2021-08-04,1141.378315002486
2021-08-05,1143.4817902166772
2021-08-06,1141.5989916951019
2021-08-09,1141.1343011064155
2021-08-10,1143.6267955155724
2021-08-11,1153.0670806600788
2021-08-12,1153.3544795127968
2021-08-13,1161.2778544677194
2021-08-16,1152.838369249991
2021-08-17,1141.9769023467425
2021-08-18,1144.6243393123746
2021-08-19,1122.6998551986308
2021-08-20,1123.473277082592
2021-08-23,1135.5862282828316
2021-08-24,1140.5817022180315
2021-08-25,1142.484497872996
2021-08-26,1138.209959194951
2021-08-27,1145.3293491568363
2021-08-30,1146.9074641249413
2021-08-31,1143.535549570129
2021-09-01,1151.6196277353774
2021-09-02,1156.2343684014959
2021-09-03,1153.5021495462172
2021-09-06,1155.6778349098768
2021-09-07,1149.0163617489015
2021-09-08,1135.1099703898194
2021-09-09,1132.1267655705499
2021-09-10,1129.229928262283
2021-09-13,1135.3240813858758
2021-09-14,1131.7387195598142
2021-09-15,1125.3445583126004
2021-09-16,1121.9991969480623
2021-09-17,1109.7237366342165
2021-09-20,1084.456192693938
2021-09-21,1091.122621783389
2021-09-22,1105.9902855941561
2021-09-23,1118.0632859649545
2021-09-24,1108.7321910563937
2021-09-27,1119.012148484596
2021-09-28,1101.4634608243362
2021-09-29,1100.9614858105317
2021-09-30,1100.6917499068365
2021-10-01,1095.76914220308
2021-10-04,1100.1398598930205
2021-10-05,1108.422400807215
2021-10-06,1092.4840770631315
2021-10-07,1110.342825657628
2021-10-08,1114.7586536239232
2021-10-11,1117.9925542212586
2021-10-12,1114.488436060237
2021-10-13,1115.7320649176704
2021-10-14,1127.9615447764759
2021-10-15,1137.8212211287566
2021-10-18,1132.6752297668172
2021-10-19,1141.0658724363693
2021-10-20,1145.546128762448
2021-10-21,1139.6756378244734
2021-10-22,1141.0777040738722
2021-10-25,1141.9762091393443
2021-10-26,1147.7134172153626
2021-10-27,1144.0143885099978
2021-10-28,1149.8535338148047
2021-10-29,1137.9649090720989
2021-11-01,1148.4788290784875
2021-11-02,1141.7289518205257
2021-11-03,1145.3127638552833
2021-11-04,1141.431836056096
2021-11-05,1146.9436003562325
2021-11-08,1150.3309402040118
2021-11-09,1144.9771010343557
2021-11-10,1145.2556814023367
2021-11-11,1142.2483059672309
2021-11-12,1140.568576427024
2021-11-15,1143.471755542268
2021-11-16,1137.3701392146709
2021-11-17,1131.2114450472836
2021-11-18,1127.5835117970353
2021-11-19,1116.3610205704972
2021-11-22,1115.031878874527
2021-11-23,1113.5317136118585
2021-11-24,1109.7130084599512
2021-11-25,1113.2000974895361
2021-11-26,1074.6792686683384
2021-11-29,1074.7023521520184
2021-11-30,1064.3300801599348
2021-12-01,1088.5512096312655
2021-12-02,1081.3452441646095
2021-12-03,1074.2195828306767
2021-12-06,1088.8765015515671
2021-12-07,1105.1424019769927
2021-12-08,1108.4364059771299
2021-12-09,1101.717123950454
2021-12-10,1101.8111374880027
2021-12-13,1093.2264342710685
2021-12-14,1091.849496299896
2021-12-15,1087.3848870994461
2021-12-16,1107.5009005368984
2021-12-17,1100.8707122174596
2021-12-20,1085.6007010749108
2021-12-21,1100.8623358438072
2021-12-22,1112.3272214929723
2021-12-23,1123.2668729799225
2021-12-24,1124.8221785488015
2021-12-27,1128.1935908947241
2021-12-28,1133.0042902971838
2021-12-29,1138.8040459541544
2021-12-30,1137.901002046879
2021-12-31,1138.8329745154056
2022-01-03,1138.2454420871918
