Date,ACWI SMALL CAP
2007-02-27,914.3280310486323
2007-02-28,906.5884490668935
2007-03-01,901.9654172454948
2007-03-02,894.0068256157873
2007-03-05,870.8320237262783
2007-03-06,886.9508930935966
2007-03-07,890.7084757244797
2007-03-08,899.7905315396615
2007-03-09,902.2795518561456
2007-03-12,908.1181655047495
2007-03-13,895.9250191577677
2007-03-14,888.451185086627
2007-03-15,898.6653298662786
2007-03-16,898.0170564328903
2007-03-19,906.6869132535628
2007-03-20,912.8209552396708
2007-03-21,922.5702196230236
2007-03-22,929.9183510492009
2007-03-23,930.7623325975243
2007-03-26,931.8958357949365
2007-03-27,927.8088484734665
2007-03-28,925.2094253110555
2007-03-29,927.3958454673065
2007-03-30,930.0763500827825
2007-04-02,932.8173073033014
2007-04-03,940.0686694281244
2007-04-04,943.9392139634051
2007-04-05,947.2784001657932
2007-04-06,947.2737599831936
2007-04-09,947.2386578943668
2007-04-10,952.7610824693489
2007-04-11,949.6626509256035
2007-04-12,953.1797571621713
2007-04-13,955.7307208342512
2007-04-16,965.6013886783369
2007-04-17,964.7611252426881
2007-04-18,964.9631258377827
2007-04-19,958.7224327233226
2007-04-20,966.671256717363
2007-04-23,967.8767019843583
2007-04-24,965.9377613300198
2007-04-25,971.541027884669
2007-04-26,972.0786547357808
2007-04-27,972.1639821499042
2007-04-30,965.6289173040603
2007-05-01,964.7813848360065
2007-05-02,973.6117562338495
2007-05-03,974.4090839229904
2007-05-04,980.3433409342288
2007-05-07,984.4031465604434
2007-05-08,979.7193285437694
2007-05-09,984.2466271918389
2007-05-10,975.5721015276421
2007-05-11,979.6632171187279
2007-05-14,977.8429484134922
2007-05-15,974.4580721795417
2007-05-16,976.0354372495533
2007-05-17,974.6138125025155
2007-05-18,978.6398658823849
2007-05-21,984.8030126546985
2007-05-22,989.9622422677207
2007-05-23,991.4744219443284
2007-05-24,979.758284132873
2007-05-25,982.0104786053276
2007-05-28,984.3125508892557
2007-05-29,989.2921794772723
2007-05-30,990.405602940383
2007-05-31,1000.0
2007-06-01,1005.8786820912242
2007-06-04,1009.1377008660972
2007-06-05,1005.8926629534778
2007-06-06,995.3375286470156
2007-06-07,980.3782522111007
2007-06-08,980.409618048482
2007-06-11,982.4324822816767
2007-06-12,974.5436215212542
