Date,UNITED KINGDOM IMI VALUE
2021-05-21,1082.4506543500218
2021-05-24,1086.0650680473314
2021-05-25,1078.9486801743788
2021-05-26,1079.5468308287816
2021-05-27,1084.39152959463
2021-05-28,1083.5218763634034
2021-05-31,1086.311208696673
2021-06-01,1094.6914008861413
2021-06-02,1100.4147451804915
2021-06-03,1090.011908508865
2021-06-04,1092.8602152523574
2021-06-07,1095.694121871935
2021-06-08,1096.065553504625
2021-06-09,1087.2688103312576
2021-06-10,1089.2741669928284
2021-06-11,1094.3221415871494
2021-06-14,1097.3374018045133
2021-06-15,1096.6438002215489
2021-06-16,1097.3096527871667
2021-06-17,1079.7938409856995
2021-06-18,1044.6217515152243
2021-06-21,1058.5707749864239
2021-06-22,1063.9795619594852
2021-06-23,1067.9423340745589
2021-06-24,1065.4720795706257
2021-06-25,1072.4272091871144
2021-06-28,1057.2742143591938
2021-06-29,1055.146303693482
2021-06-30,1045.7688057732985
2021-07-01,1056.9637979600784
2021-07-02,1055.483145372917
2021-07-05,1070.8000006832544
2021-07-06,1053.6530835554788
2021-07-07,1057.9503979914875
2021-07-08,1040.8178027529057
2021-07-09,1063.3005872534065
2021-07-12,1067.5111703804787
2021-07-13,1060.5798834543286
2021-07-14,1058.018525335755
2021-07-15,1046.9399132101944
2021-07-16,1037.7348529055305
2021-07-19,997.858804046187
2021-07-20,1000.1066710285024
2021-07-21,1026.641770671077
2021-07-22,1029.045744797738
2021-07-23,1037.957881441845
2021-07-26,1050.894172553816
2021-07-27,1052.2573695389071
2021-07-28,1053.110178710489
2021-07-29,1072.1013503941144
2021-07-30,1056.5422619402
2021-08-02,1066.0696189178725
2021-08-03,1073.5516429492095
2021-08-04,1076.0667900068718
2021-08-05,1077.1297423582666
2021-08-06,1076.0658090105028
2021-08-09,1075.6485424850177
2021-08-10,1081.2339581841147
2021-08-11,1091.9468532695669
2021-08-12,1087.3870355726767
2021-08-13,1091.8799675070895
2021-08-16,1080.8932695913727
2021-08-17,1074.2916346490547
2021-08-18,1073.6180320454293
2021-08-19,1047.9190661494254
2021-08-20,1050.280771872109
2021-08-23,1062.595024660255
2021-08-24,1068.0406049476637
2021-08-25,1073.8709866917868
2021-08-26,1067.801483194298
2021-08-27,1075.989277177552
2021-08-30,1077.085348038722
2021-08-31,1072.048144591075
2021-09-01,1075.1729424149614
2021-09-02,1084.0160496115927
2021-09-03,1083.6892160681557
2021-09-06,1084.5005264849083
2021-09-07,1075.9019893262532
2021-09-08,1062.864286147088
2021-09-09,1060.225966128395
2021-09-10,1059.6058905657442
2021-09-13,1068.7037117415032
2021-09-14,1059.3084113629086
2021-09-15,1057.041669920028
2021-09-16,1050.6321269704285
2021-09-17,1040.156340080127
2021-09-20,1016.6649229506152
2021-09-21,1024.1706841942375
2021-09-22,1042.6255592955094
2021-09-23,1050.1233688443208
2021-09-24,1039.7161599773617
2021-09-27,1052.7981760491225
2021-09-28,1034.5849403591772
2021-09-29,1033.7746926152477
2021-09-30,1036.0388445713818
2021-10-01,1032.3518712244743
2021-10-04,1036.3772340715745
2021-10-05,1048.4525461184433
2021-10-06,1032.359556135025
2021-10-07,1049.7901522848847
2021-10-08,1056.5384861064058
2021-10-11,1065.2510166642187
2021-10-12,1061.1358002701581
2021-10-13,1061.4418929418468
2021-10-14,1076.744997162017
2021-10-15,1089.1272134667981
2021-10-18,1080.4994502911306
2021-10-19,1090.59635145009
2021-10-20,1090.8730567812302
2021-10-21,1082.2576734785039
2021-10-22,1080.0770028910601
2021-10-25,1086.1889877521894
2021-10-26,1095.2499838578506
2021-10-27,1085.978222652301
2021-10-28,1088.7832607577318
2021-10-29,1077.029435411953
2021-11-01,1081.9798613722273
2021-11-02,1067.918294563983
2021-11-03,1067.7357798019582
2021-11-04,1058.045287157454
2021-11-05,1065.1357304140977
2021-11-08,1069.7514701893144
2021-11-09,1062.7415787711022
2021-11-10,1067.4585269773029
2021-11-11,1068.9711510386478
2021-11-12,1067.7227828393895
2021-11-15,1071.7062058038025
2021-11-16,1070.011114945646
2021-11-17,1068.6063035976754
2021-11-18,1065.9605815471896
2021-11-19,1055.6526436512272
2021-11-22,1058.4585654027612
2021-11-23,1059.8047503633786
2021-11-24,1060.7572914844245
2021-11-25,1062.323395023121
2021-11-26,1017.7782195528612
2021-11-29,1026.4587748481067
2021-11-30,1016.5779108718915
2021-12-01,1041.3826886262677
2021-12-02,1036.908266670225
2021-12-03,1030.014569730936
2021-12-06,1045.553069431373
2021-12-07,1061.306635097148
2021-12-08,1059.616440978061
2021-12-09,1055.4352838564946
2021-12-10,1052.8176035225092
2021-12-13,1040.6170297778747
2021-12-14,1043.364526064048
2021-12-15,1032.6188628822297
2021-12-16,1057.4541315725194
2021-12-17,1053.5696971048994
2021-12-20,1036.4660111391142
2021-12-21,1055.2652653748448
2021-12-22,1070.3156454258326
2021-12-23,1081.3372688448878
2021-12-24,1081.6896962568512
2021-12-27,1082.2139465663372
2021-12-28,1082.778523822706
2021-12-29,1093.3047566784542
2021-12-30,1091.737635441773
2021-12-31,1092.9096104894454
2022-01-03,1085.0826525199755
2022-01-04,1119.2683083085446
2022-01-05,1124.2477812482302
2022-01-06,1118.0206368776776
2022-01-07,1131.7986726822216
2022-01-10,1129.059059196379
2022-01-11,1139.3062490051957
2022-01-12,1157.9838824774872
2022-01-13,1168.572013098198
2022-01-14,1164.2850042845682
2022-01-17,1176.3528171689952
2022-01-18,1170.437040985243
2022-01-19,1176.2341657703737
2022-01-20,1173.9665537403725
2022-01-21,1149.221351079618
2022-01-24,1107.1585520542121
2022-01-25,1125.211282228732
2022-01-26,1148.324050007954
2022-01-27,1150.9791348665624
2022-01-28,1137.413663531701
2022-01-31,1133.7088664830176
2022-02-01,1156.2049325113283
2022-02-02,1166.1347616827798
2022-02-03,1166.3812217167729
2022-02-04,1159.3789455750157
2022-02-07,1168.6631969223436
2022-02-08,1170.5099356677238
2022-02-09,1182.1113528876795
2022-02-10,1194.132548820571
2022-02-11,1193.0402737924755
2022-02-14,1165.0251381826574
2022-02-15,1172.4978133666823
2022-02-16,1180.2470613104663
2022-02-17,1171.765552276532
2022-02-18,1165.972528863979
2022-02-21,1162.7308383768782
2022-02-22,1161.336468527155
2022-02-23,1157.804297194413
2022-02-24,1092.6599061886927
2022-02-25,1147.1433955918478
2022-02-28,1139.4111026901955
2022-03-01,1114.5052258948215
2022-03-02,1129.929119114251
2022-03-03,1100.6287720989887
2022-03-04,1052.9361503672444
2022-03-07,1049.1963643246945
2022-03-08,1056.6791837755434
2022-03-09,1085.015935484726
2022-03-10,1077.7845971513798
2022-03-11,1082.169753978088
2022-03-14,1080.658773298314
2022-03-15,1077.678690158881
2022-03-16,1095.1453626825737
2022-03-17,1115.765921072319
2022-03-18,1117.9370639878991
