Date,AUSTRALIA IMI MOMENTUM
2006-09-11,5382.5422615275875
2006-09-12,5276.625709744919
2006-09-13,5317.607297728634
2006-09-14,5412.53111794199
2006-09-15,5341.897610884856
2006-09-18,5379.519829522904
2006-09-19,5392.948074754787
2006-09-20,5299.805723481039
2006-09-21,5306.822481830516
2006-09-22,5273.1538537923025
2006-09-25,5282.210137088501
2006-09-26,5285.516648794945
2006-09-27,5416.060223786364
2006-09-28,5436.550152631985
2006-09-29,5474.925424071749
2006-10-02,5519.673019489742
2006-10-03,5489.785041183118
2006-10-04,5405.601815611708
2006-10-05,5509.238026328753
2006-10-06,5482.43756029037
2006-10-09,5482.958627372651
2006-10-10,5549.166333913098
2006-10-11,5606.114698445745
2006-10-12,5632.231075743203
2006-10-13,5681.82438143226
2006-10-16,5754.366019620498
2006-10-17,5731.872075733317
2006-10-18,5765.330546894686
2006-10-19,5747.449806732235
2006-10-20,5803.057638746571
2006-10-23,5803.100955072017
2006-10-24,5782.815162054914
2006-10-25,5875.383650185973
2006-10-26,5940.834733916548
2006-10-27,5936.178125280058
2006-10-30,6034.991190374909
2006-10-31,6030.468028755701
2006-11-01,6081.429542933567
2006-11-02,6051.6695486372155
2006-11-03,6035.534490393417
2006-11-06,6092.65661839661
2006-11-07,6199.838869453001
2006-11-08,6088.5939554035185
2006-11-09,6038.108492620343
2006-11-10,6096.484885858695
2006-11-13,6001.116667612774
2006-11-14,6035.7731134784135
2006-11-15,6012.159659461768
2006-11-16,5990.511296629008
2006-11-17,6022.465511308983
2006-11-20,5920.670047720169
2006-11-21,5983.695730008492
2006-11-22,6138.912071647801
2006-11-23,6159.500000786884
2006-11-24,6171.752358281066
2006-11-27,6179.291216658672
2006-11-28,6103.737763453019
2006-11-29,6221.135499429615
2006-11-30,6302.972204799354
2006-12-01,6263.799017401299
2006-12-04,6252.446880039614
2006-12-05,6227.773922122577
2006-12-06,6268.538547900813
2006-12-07,6271.51122451273
2006-12-08,6205.132781258583
2006-12-11,6223.348369528274
2006-12-12,6250.197465430645
2006-12-13,6290.600518564794
2006-12-14,6370.471085464531
2006-12-15,6352.42705160567
2006-12-18,6359.121461198777
2006-12-19,6363.99216484359
2006-12-20,6457.919192300384
2006-12-21,6407.641570938116
2006-12-22,6428.460683419054
2006-12-25,6428.460683419054
2006-12-26,6414.937434706565
2006-12-27,6494.4399796918915
2006-12-28,6565.871645530716
