Date,COLOMBIA EQUAL WEIGHTED
2020-08-21,10887.155461795766
2020-08-24,10944.090424695167
2020-08-25,11049.581177633485
2020-08-26,11057.904574271797
2020-08-27,11128.017054465781
2020-08-28,11258.505109642401
2020-08-31,11077.624395407045
2020-09-01,11837.487503117221
2020-09-02,11917.017456021584
2020-09-03,11725.180602289005
2020-09-04,11480.791132365983
2020-09-07,11546.415019358019
2020-09-08,11237.83430878826
2020-09-09,11454.534217425266
2020-09-10,11220.833706309857
2020-09-11,11174.153209232874
2020-09-14,11012.429426518262
2020-09-15,11092.149100876659
2020-09-16,10993.789299260952
2020-09-17,11006.558429619517
2020-09-18,11097.71460069571
2020-09-21,10722.006832579815
2020-09-22,10484.449625837626
2020-09-23,10270.18692927215
2020-09-24,10244.195856630695
2020-09-25,10233.844929250863
2020-09-28,10277.796830204152
2020-09-29,10080.205562873414
2020-09-30,10145.22131448739
2020-10-01,10104.64269171029
2020-10-02,10059.632352009045
2020-10-05,10173.629422240307
2020-10-06,10281.427257137448
2020-10-07,10353.838297297783
2020-10-08,10459.823956157392
2020-10-09,10567.21809993277
2020-10-12,10540.921202340087
2020-10-13,10314.71482330919
2020-10-14,10415.826698023924
2020-10-15,10277.585292061569
2020-10-16,10356.192534326274
2020-10-19,10438.125124682343
2020-10-20,10532.010943787014
2020-10-21,10566.801894700286
2020-10-22,10589.082231690094
2020-10-23,10566.225376794107
2020-10-26,10570.700657314652
2020-10-27,10475.76760532468
2020-10-28,9860.102226736926
2020-10-29,9866.63879973825
2020-10-30,10009.905057474753
2020-11-02,9971.039048445942
2020-11-03,10219.019393131597
2020-11-04,10319.80481295814
2020-11-05,10496.307815684173
2020-11-06,10651.93696367972
2020-11-09,11446.903264390663
2020-11-10,11547.36064393664
2020-11-11,11647.253752828641
2020-11-12,11487.4704612325
2020-11-13,11545.157801921254
2020-11-16,11544.872240383062
2020-11-17,11844.669854611706
2020-11-18,11786.370380533099
2020-11-19,11744.556184394862
2020-11-20,11797.841693916345
2020-11-23,11890.274103502334
2020-11-24,12025.951127090766
2020-11-25,12004.774367511078
2020-11-26,12027.577082844376
2020-11-27,12014.264590375582
2020-11-30,11947.005730818633
2020-12-01,12322.203197678287
2020-12-02,12404.048397106691
2020-12-03,12679.816956436705
2020-12-04,13273.455218828256
2020-12-07,13529.466768840231
2020-12-08,13515.015728630453
2020-12-09,13925.609017021152
2020-12-10,13918.013820820166
2020-12-11,14001.367588890524
2020-12-14,14171.880348891558
2020-12-15,14468.073638128719
2020-12-16,14609.798116970886
2020-12-17,14941.178550098504
2020-12-18,14550.667353085573
2020-12-21,13796.594020771792
2020-12-22,14057.983978971139
2020-12-23,14146.91905139419
2020-12-24,14257.0265136944
2020-12-25,14257.026513696217
2020-12-28,14300.38835144451
2020-12-29,14541.257413064064
2020-12-30,14689.522553742852
2020-12-31,14678.7861683067
2021-01-01,14678.786168306195
2021-01-04,14332.42028568246
2021-01-05,14526.48981321081
2021-01-06,14575.831494060585
2021-01-07,14763.596334330961
2021-01-08,14923.10197096745
2021-01-11,14998.7416786891
2021-01-12,15052.203872260376
2021-01-13,15058.128933196878
2021-01-14,15100.12428529909
2021-01-15,14891.650088120874
2021-01-18,14902.160220739173
2021-01-19,14927.183057828115
2021-01-20,14904.272498021664
2021-01-21,14675.655808513648
2021-01-22,13904.626863024176
2021-01-25,13367.225810862474
2021-01-26,13454.828365401057
2021-01-27,12898.3692521228
2021-01-28,12864.548716475583
2021-01-29,12648.324768710752
2021-02-01,12818.261219102036
2021-02-02,13050.208691361353
2021-02-03,12976.736463627496
2021-02-04,12924.775966182382
2021-02-05,13195.75753372262
2021-02-08,13258.908232814056
2021-02-09,13176.902530145027
2021-02-10,13164.388199789753
2021-02-11,13102.478318498044
2021-02-12,13211.2818149046
2021-02-15,13293.862748437548
2021-02-16,13166.498208444653
2021-02-17,13086.776349801596
2021-02-18,12960.808567163496
2021-02-19,12897.277228323395
2021-02-22,12839.344388086145
2021-02-23,12922.966101707576
2021-02-24,13239.326036064527
2021-02-25,12684.2313884633
2021-02-26,12989.92587446535
2021-03-01,12868.692055023279
2021-03-02,12719.434455315228
2021-03-03,12600.371342123966
2021-03-04,12593.611182084867
2021-03-05,12862.79600220294
2021-03-08,12767.147048058545
2021-03-09,12901.676467935731
2021-03-10,13109.609003082487
2021-03-11,13183.482799171532
2021-03-12,13090.985450919548
2021-03-15,13240.019079930931
2021-03-16,13239.635888523102
2021-03-17,13107.56767082322
2021-03-18,12947.13358662692
2021-03-19,12953.341285429455
2021-03-22,12902.420753562103
2021-03-23,12634.954657819559
2021-03-24,12569.180189196244
2021-03-25,12381.170959735007
2021-03-26,12307.086034997667
2021-03-29,12286.219845816178
2021-03-30,12235.108344112417
2021-03-31,12295.833153521968
2021-04-01,12340.493988910406
2021-04-02,12340.49398891021
2021-04-05,12498.512979014018
2021-04-06,12422.886068890011
2021-04-07,12656.73699921046
2021-04-08,12536.570981785151
2021-04-09,12354.098400875262
2021-04-12,12321.668542174519
2021-04-13,12240.586290098485
2021-04-14,12332.981457728318
2021-04-15,12529.27098788654
2021-04-16,12500.139382985339
2021-04-19,12426.399779217692
2021-04-20,12347.062625253888
2021-04-21,12277.827044232965
2021-04-22,12241.845158836266
2021-04-23,12044.918782936335
2021-04-26,12028.94212804778
2021-04-27,11918.163095794662
2021-04-28,11827.790174838628
2021-04-29,11667.748955410254
2021-04-30,11306.937477178573
2021-05-03,10759.876696879763
