Date,AC FAR EAST ex JAPAN IMI
2022-01-27,2485.6130656135924
2022-01-28,2478.7581709769474
2022-01-31,2495.1148825560995
2022-02-01,2490.1440047238675
2022-02-02,2477.2752008652947
2022-02-03,2455.080218248498
2022-02-04,2488.4065910174277
2022-02-07,2487.439698279303
2022-02-08,2488.2292426883855
2022-02-09,2532.171253743239
2022-02-10,2542.411472104812
2022-02-11,2540.053057276254
2022-02-14,2523.6866130069266
2022-02-15,2511.7351111073153
2022-02-16,2544.890436302317
2022-02-17,2550.9885471828857
2022-02-18,2534.1150652034103
2022-02-21,2520.967595854172
2022-02-22,2478.1361632895964
2022-02-23,2486.5963374117596
2022-02-24,2457.7882770339234
2022-02-25,2441.2901317012565
2022-02-28,2445.9459159542835
2022-03-01,2477.76267328354
2022-03-02,2469.8300831915794
2022-03-03,2475.3312453223384
2022-03-04,2452.9540751791255
2022-03-07,2378.663954428277
2022-03-08,2332.858609983384
2022-03-09,2306.4874609971107
2022-03-10,2348.055791419538
2022-03-11,2316.8100470664963
2022-03-14,2234.9352632031564
2022-03-15,2162.7849028840724
2022-03-16,2288.626436979983
2022-03-17,2363.9955921352844
2022-03-18,2383.477730048591
2022-03-21,2362.6723457466715
2022-03-22,2405.882011717775
2022-03-23,2433.703187460167
2022-03-24,2416.9120372943553
2022-03-25,2386.1122008072816
2022-03-28,2388.383560052525
2022-03-29,2379.876102230793
2022-03-30,2400.2292831415443
2022-03-31,2385.8438449137525
2022-04-01,2406.5377791446977
2022-04-04,2448.9302353549497
2022-04-05,2457.9242806994416
2022-04-06,2426.911543488553
2022-04-07,2386.4426140278524
2022-04-08,2395.819596033379
2022-04-11,2337.2002646446995
2022-04-12,2340.9501858305002
2022-04-13,2376.1497742242746
2022-04-14,2396.316317954966
2022-04-15,2383.1446796497617
2022-04-18,2364.3515777553635
2022-04-19,2349.5894747936172
2022-04-20,2325.167235557818
2022-04-21,2306.2125041485547
2022-04-22,2308.398067173134
2022-04-25,2254.754986594853
2022-04-26,2273.7567535963703
2022-04-27,2289.3245194052915
2022-04-28,2310.802244027667
2022-04-29,2370.432911203519
2022-05-02,2373.6318297649136
2022-05-03,2362.5803762636892
2022-05-04,2352.5576631443228
2022-05-05,2349.542812214743
2022-05-06,2269.4175814937353
2022-05-09,2246.2560778636507
2022-05-10,2228.167403424438
2022-05-11,2234.5594031051924
2022-05-12,2211.2671022345066
2022-05-13,2263.3346141907095
2022-05-16,2264.3456388696886
2022-05-17,2291.7022068736474
2022-05-18,2309.559255788649
2022-05-19,2252.8639841188697
2022-05-20,2308.0044774250987
2022-05-23,2274.8400429742132
2022-05-24,2220.738449989784
2022-05-25,2240.2288925501102
2022-05-26,2232.2317401706046
2022-05-27,2283.869211995884
2022-05-30,2317.152363171679
2022-05-31,2368.6627603834636
2022-06-01,2362.447491245808
2022-06-02,2329.454660103326
2022-06-03,2331.312771330071
2022-06-06,2362.5768815791776
2022-06-07,2348.793013473698
2022-06-08,2384.4802231289996
2022-06-09,2386.296282546051
2022-06-10,2393.5194740636
2022-06-13,2333.8791425365794
2022-06-14,2338.4504132965308
2022-06-15,2340.8494593283563
2022-06-16,2295.2327824403933
2022-06-17,2304.255600081673
2022-06-20,2276.7473221473233
2022-06-21,2308.1708463685923
2022-06-22,2245.515925322713
2022-06-23,2270.22627796048
2022-06-24,2310.4158767788927
2022-06-27,2340.2301967682256
2022-06-28,2366.04073052233
2022-06-29,2335.092399642758
2022-06-30,2312.400471918311
2022-07-01,2304.2342821836382
2022-07-04,2292.557722328943
2022-07-05,2346.2841252400813
2022-07-06,2319.684623028541
2022-07-07,2356.770335015827
2022-07-08,2370.3519180950975
2022-07-11,2343.989591678807
2022-07-12,2314.05391752159
2022-07-13,2315.4765803988666
2022-07-14,2339.2349499729457
2022-07-15,2297.476451854738
2022-07-18,2315.6881022517146
2022-07-19,2295.5080922830593
2022-07-20,2323.2857778709586
2022-07-21,2329.486018398455
2022-07-22,2314.938949076252
2022-07-25,2311.6734692103687
2022-07-26,2343.6523391790097
2022-07-27,2339.9832179536934
2022-07-28,2339.945046903911
2022-07-29,2308.456448089827
2022-08-01,2284.03738409871
2022-08-02,2267.2776084853444
2022-08-03,2292.3744365474718
2022-08-04,2299.8351825884133
2022-08-05,2333.959270074661
2022-08-08,2306.4169410669756
2022-08-09,2304.8686604448217
2022-08-10,2248.151761797179
2022-08-11,2300.94473108158
2022-08-12,2331.0357458574313
2022-08-15,2338.6700425164386
2022-08-16,2333.0835679808097
2022-08-17,2337.483999744579
2022-08-18,2330.0475612309538
2022-08-19,2341.6270825838596
2022-08-22,2337.238197246803
2022-08-23,2313.9586712154855
2022-08-24,2298.341137966517
2022-08-25,2356.7387706368327
2022-08-26,2359.363943327171
2022-08-29,2325.554658207922
2022-08-30,2325.8745770053742
2022-08-31,2326.5748777026724
2022-09-01,2308.4056530765934
2022-09-02,2268.5221569193063
2022-09-05,2274.604420851068
2022-09-06,2277.1798308595426
2022-09-07,2241.3958779296763
2022-09-08,2240.091788975716
2022-09-09,2252.5525027432664
2022-09-12,2246.3799288396085
