Date,ACWI ex PERU IMI
2021-11-04,4713.905211020749
2021-11-05,4721.302619438509
2021-11-08,4717.112614599508
2021-11-09,4708.220600778818
2021-11-10,4699.372673469378
2021-11-11,4723.812540664905
2021-11-12,4763.261874080336
2021-11-15,4777.195489880924
2021-11-16,4813.5522243896685
2021-11-17,4813.142420413338
2021-11-18,4795.337078715152
2021-11-19,4796.266372965214
2021-11-22,4799.696712948121
2021-11-23,4781.65970111353
2021-11-24,4809.845648383774
2021-11-25,4811.179096027501
2021-11-26,4657.110685083809
2021-11-29,4701.27698609261
2021-11-30,4632.663403974918
2021-12-01,4586.999415549325
2021-12-02,4630.526117399455
2021-12-03,4607.219030709832
2021-12-06,4648.925979161746
2021-12-07,4756.575422733127
2021-12-08,4740.2185726893385
2021-12-09,4728.5737620711225
2021-12-10,4733.549941608357
2021-12-13,4706.553576719771
2021-12-14,4672.208832248428
2021-12-15,4725.053159428626
2021-12-16,4695.133542104489
2021-12-17,4673.780801701796
2021-12-20,4602.466105848603
2021-12-21,4690.811439606303
2021-12-22,4709.939162630661
2021-12-23,4750.922132791347
2021-12-24,4744.159145901268
2021-12-27,4788.158817017744
2021-12-28,4801.948014993208
2021-12-29,4783.937471339851
2021-12-30,4786.607995176664
2021-12-31,4767.455913287905
2022-01-03,4815.218600275406
2022-01-04,4818.556422050179
2022-01-05,4741.15305386093
2022-01-06,4732.118549033338
2022-01-07,4703.221534886594
2022-01-10,4700.750642421853
2022-01-11,4731.982145068533
2022-01-12,4734.897170030413
2022-01-13,4678.918824513924
2022-01-14,4674.423091601525
2022-01-17,4689.548620768942
2022-01-18,4638.231205204069
2022-01-19,4601.763904769398
2022-01-20,4584.233997350725
2022-01-21,4504.4819631706505
2022-01-24,4486.657198567784
2022-01-25,4455.935261297364
2022-01-26,4456.767511123353
2022-01-27,4464.515239930533
2022-01-28,4522.827769833446
2022-01-31,4585.234898499695
2022-02-01,4609.822833699896
2022-02-02,4622.871881443445
2022-02-03,4495.651696617821
2022-02-04,4500.485347829082
2022-02-07,4498.086446661377
2022-02-08,4532.898310866307
2022-02-09,4601.843037572287
2022-02-10,4544.670468359185
2022-02-11,4504.7383115012735
2022-02-14,4495.785562434765
2022-02-15,4539.607733745484
2022-02-16,4552.572473979666
2022-02-17,4483.400635859894
2022-02-18,4456.386509147183
2022-02-21,4442.719363808468
2022-02-22,4401.948437802341
2022-02-23,4354.477901104387
2022-02-24,4410.157709337581
2022-02-25,4465.923916955915
2022-02-28,4471.421728266609
2022-03-01,4446.549462775738
2022-03-02,4518.561475845071
2022-03-03,4492.268588185135
2022-03-04,4473.318274480161
2022-03-07,4368.977169771538
2022-03-08,4337.412973044519
2022-03-09,4383.907378779943
2022-03-10,4390.295129072634
2022-03-11,4362.385590374271
2022-03-14,4324.142816331023
2022-03-15,4364.347560085956
2022-03-16,4477.044776116163
2022-03-17,4509.4641861760565
2022-03-18,4574.097582927702
2022-03-21,4568.847787156175
2022-03-22,4626.781194882177
2022-03-23,4601.483666978545
2022-03-24,4634.25930811543
2022-03-25,4649.920234514728
2022-03-28,4669.484748483803
2022-03-29,4688.666270208055
2022-03-30,4649.522198999532
2022-03-31,4605.803704023104
2022-04-01,4652.154522769408
2022-04-04,4707.1910754839755
2022-04-05,4685.306721741174
2022-04-06,4634.938570253141
2022-04-07,4631.320760240768
2022-04-08,4646.126440838702
2022-04-11,4578.305266254159
2022-04-12,4572.228804535448
2022-04-13,4624.085734248757
2022-04-14,4622.962240529223
2022-04-15,4619.377374782412
2022-04-18,4600.016352080308
2022-04-19,4642.170786440645
2022-04-20,4624.200089911883
2022-04-21,4581.3862475680935
2022-04-22,4499.034201617553
2022-04-25,4506.520262102657
2022-04-26,4438.979890906771
2022-04-27,4485.613212780876
2022-04-28,4565.012726314322
2022-04-29,4472.134419834791
2022-05-02,4482.20664510484
2022-05-03,4494.514639053041
2022-05-04,4562.839182466714
2022-05-05,4455.620558040255
2022-05-06,4387.904035125133
2022-05-09,4270.773526819689
2022-05-10,4268.095594938013
2022-05-11,4233.697920882088
2022-05-12,4262.0988841716935
2022-05-13,4368.061492632306
2022-05-16,4355.704134246449
2022-05-17,4390.204275377899
2022-05-18,4287.950222684505
2022-05-19,4232.454796899969
2022-05-20,4260.158492969098
2022-05-23,4279.797375106068
2022-05-24,4217.022810496751
2022-05-25,4265.932551737915
2022-05-26,4314.38714948807
2022-05-27,4408.16366367082
2022-05-30,4407.875610247763
2022-05-31,4406.562896718182
2022-06-01,4393.067945188662
2022-06-02,4431.880014364038
2022-06-03,4383.272017731559
2022-06-06,4403.508819457547
2022-06-07,4426.8330001317245
2022-06-08,4390.441781986765
2022-06-09,4335.4407324424965
2022-06-10,4265.386950255089
2022-06-13,4148.939750298479
2022-06-14,4126.202566219625
2022-06-15,4170.659119629795
2022-06-16,4034.4077455214824
2022-06-17,4043.1472164919674
2022-06-20,4022.686477814659
2022-06-21,4085.8203162648315
2022-06-22,4053.0796255391097
2022-06-23,4096.616684115809
2022-06-24,4197.390342063573
2022-06-27,4192.168572843603
2022-06-28,4172.818648478417
2022-06-29,4162.533928630013
2022-06-30,4125.894041692583
2022-07-01,4166.416766394534
2022-07-04,4164.958951208364
2022-07-05,4218.8522173153815
2022-07-06,4241.302375918965
2022-07-07,4321.615033866005
2022-07-08,4325.699649954877
2022-07-11,4307.746481877907
2022-07-12,4289.843051703322
2022-07-13,4253.254409590151
2022-07-14,4261.485000050944
2022-07-15,4295.147941244657
2022-07-18,4257.405791141909
2022-07-19,4325.495187811915
2022-07-20,4369.3229173744
2022-07-21,4408.819639769954
2022-07-22,4373.669858465695
2022-07-25,4379.142046205297
2022-07-26,4378.198814148013
2022-07-27,4456.767363711051
2022-07-28,4498.811288190416
2022-07-29,4532.522782599744
2022-08-01,4505.310510170221
2022-08-02,4501.207360678722
2022-08-03,4570.574023311687
2022-08-04,4548.296220791135
2022-08-05,4561.507260286943
2022-08-08,4551.442951475058
2022-08-09,4523.936314823377
2022-08-10,4553.421362294071
2022-08-11,4567.552158257299
2022-08-12,4662.0444031522
2022-08-15,4694.8033284242165
2022-08-16,4704.122834592323
2022-08-17,4678.238363775026
2022-08-18,4698.346140708403
2022-08-19,4674.793604286023
2022-08-22,4627.2099662289165
2022-08-23,4610.473545511562
2022-08-24,4616.371942132088
2022-08-25,4678.955059588992
2022-08-26,4555.1640428508745
2022-08-29,4523.006107903765
2022-08-30,4486.849226894334
2022-08-31,4432.885971701533
2022-09-01,4447.382437731718
2022-09-02,4398.832355169281
2022-09-05,4430.603023722409
2022-09-06,4417.705871230395
2022-09-07,4437.994521263896
2022-09-08,4470.165984694138
2022-09-09,4509.713652908288
2022-09-12,4528.731554775516
2022-09-13,4434.289057792721
2022-09-14,4430.840644800331
2022-09-15,4392.914979238785
2022-09-16,4334.2057420327765
2022-09-19,4355.950935661023
2022-09-20,4326.643933812559
2022-09-21,4315.254367736076
2022-09-22,4292.792565799059
2022-09-23,4251.417369020825
2022-09-26,4216.780086804707
2022-09-27,4224.668803579502
2022-09-28,4267.882303950174
2022-09-29,4152.59320023741
2022-09-30,4110.815688469532
2022-10-03,4180.444493722928
2022-10-04,4257.221268162996
2022-10-05,4288.861050442015
2022-10-06,4265.648862693516
2022-10-07,4190.842226618788
2022-10-10,4185.938622544029
2022-10-11,4144.256037638484
2022-10-12,4134.226875228133
2022-10-13,4188.370875468153
2022-10-14,4123.959465571681
2022-10-17,4183.251672570794
2022-10-18,4215.963589321742
2022-10-19,4202.989571093197
2022-10-20,4163.434189812592
2022-10-21,4232.09035983146
2022-10-24,4228.820171077099
2022-10-25,4268.411416214649
2022-10-26,4235.181598911922
2022-10-27,4245.218904251228
2022-10-28,4312.695727713101
2022-10-31,4325.241262412448
2022-11-01,4340.536248646623
2022-11-02,4271.853418532312
2022-11-03,4267.993549832905
2022-11-04,4280.194961189828
2022-11-07,4282.092541221891
2022-11-08,4286.0934907927185
2022-11-09,4234.949508975053
2022-11-10,4354.469959260252
2022-11-11,4371.148236703911
2022-11-14,4340.864246487967
2022-11-15,4372.813686491587
2022-11-16,4320.523712657592
2022-11-17,4323.893712750989
2022-11-18,4335.149243922028
2022-11-21,4353.873035080402
2022-11-22,4385.2890400140595
2022-11-23,4381.090374575317
2022-11-24,4386.63168133112
2022-11-25,4383.300089267816
2022-11-28,4329.892546306401
2022-11-29,4351.450404916373
2022-11-30,4467.670601827053
2022-12-01,4420.942136917603
2022-12-02,4414.832777628699
2022-12-05,4342.324496400736
2022-12-06,4297.833967177501
2022-12-07,4279.401545464763
2022-12-08,4289.849784897041
2022-12-09,4285.51736500305
2022-12-12,4314.405125033569
2022-12-13,4313.910452360413
2022-12-14,4301.270254449886
2022-12-15,4198.345055870073
2022-12-16,4167.798223467717
2022-12-19,4152.258859632814
2022-12-20,4136.396117142548
2022-12-21,4195.6972929592275
2022-12-22,4162.730299522763
2022-12-23,4166.909763896226
2022-12-26,4168.575537398467
2022-12-27,4150.080579427153
2022-12-28,4125.437333000581
2022-12-29,4159.732166313906
2022-12-30,4144.770582558925
2023-01-02,4151.243203022371
2023-01-03,4190.985188603647
2023-01-04,4211.454706467162
2023-01-05,4207.577225691712
2023-01-06,4254.823795132248
2023-01-09,4232.336130552441
2023-01-10,4250.270707118929
2023-01-11,4282.708835688608
2023-01-12,4292.789394225129
2023-01-13,4311.370099732544
2023-01-16,4313.907496772272
2023-01-17,4322.663174848582
2023-01-18,4281.616668106881
2023-01-19,4257.120218053362
2023-01-20,4299.709455268056
2023-01-23,4329.213268343
2023-01-24,4326.269013175372
2023-01-25,4317.887437839737
2023-01-26,4370.130917053314
2023-01-27,4387.5256613615875
2023-01-30,4335.919983265896
2023-01-31,4373.031297709812
2023-02-01,4390.028321976199
2023-02-02,4438.236275764332
2023-02-03,4430.693740827462
2023-02-06,4430.817686404749
2023-02-07,4483.625197502249
2023-02-08,4446.8857205917475
2023-02-09,4416.101526131056
2023-02-10,4436.19700836747
2023-02-13,4454.3424589035885
2023-02-14,4459.628433568395
2023-02-15,4478.605242123859
2023-02-16,4450.558591407406
2023-02-17,4434.995734832357
2023-02-20,4432.937518996996
2023-02-21,4367.566488016772
2023-02-22,4370.729357873258
2023-02-23,4397.239633889558
2023-02-24,4370.581949713543
2023-02-27,4364.824400758164
2023-02-28,4353.9417740633435
2023-03-01,4327.062181932806
2023-03-02,4367.05157357565
2023-03-03,4430.029443958394
2023-03-06,4405.07378062699
2023-03-07,4385.532292261963
2023-03-08,4395.255283736644
2023-03-09,4334.983611292198
2023-03-10,4229.429200495002
2023-03-13,4190.106521034491
2023-03-14,4228.182384057243
2023-03-15,4251.626627770747
2023-03-16,4269.218564660593
2023-03-17,4230.707771914626
2023-03-20,4227.467089818475
2023-03-21,4260.658243073835
2023-03-22,4218.754457956428
2023-03-23,4202.1108935294105
2023-03-24,4243.41819171225
2023-03-27,4247.876774336768
2023-03-28,4234.603308063716
2023-03-29,4287.626334632081
2023-03-30,4288.625019842914
2023-03-31,4354.4690022426585
2023-04-03,4361.133704237365
2023-04-04,4317.031431905556
2023-04-05,4319.919064010844
2023-04-06,4321.306176796193
2023-04-07,4323.149488115351
2023-04-10,4353.9715123337055
2023-04-11,4346.537708235305
2023-04-12,4317.441766969528
2023-04-13,4337.564618682528
2023-04-14,4349.410945720778
2023-04-17,4390.697644046956
2023-04-18,4381.708954619967
2023-04-19,4375.2461185892935
2023-04-20,4352.228442472263
2023-04-21,4350.276104686637
2023-04-24,4332.5806635950685
2023-04-25,4295.196470757251
2023-04-26,4256.756679253026
2023-04-27,4319.558787469066
