Date,BELGIUM IMI GROWTH
2020-11-02,1561.0384833122603
2020-11-03,1599.905836198728
2020-11-04,1653.7382438118368
2020-11-05,1659.9148509977053
2020-11-06,1644.4969998097308
2020-11-09,1664.0878162900835
2020-11-10,1674.2348296120786
2020-11-11,1688.9539156175358
2020-11-12,1682.5497997266282
2020-11-13,1682.5148054508747
2020-11-16,1690.2048771323618
2020-11-17,1689.3788986415286
2020-11-18,1689.587696988779
2020-11-19,1685.6881517676168
2020-11-20,1696.1991033495044
2020-11-23,1690.7656260323538
2020-11-24,1702.542597614204
2020-11-25,1700.4057104907695
2020-11-26,1711.2203445821215
2020-11-27,1724.5338872287273
2020-11-30,1716.517126096574
2020-12-01,1719.9430717412479
2020-12-02,1707.0644391536805
2020-12-03,1700.9671872382369
2020-12-04,1701.9110298173262
2020-12-07,1698.1101255622846
2020-12-08,1700.206853050001
2020-12-09,1685.1078613988057
2020-12-10,1687.2693473195716
2020-12-11,1692.0113525180252
2020-12-14,1704.80490933075
2020-12-15,1708.2910227961493
2020-12-16,1684.8933476085092
2020-12-17,1683.3644717831091
2020-12-18,1687.9815314985374
2020-12-21,1674.3649923750313
2020-12-22,1684.349700295135
2020-12-23,1687.9562695212835
2020-12-24,1688.4867795895202
2020-12-25,1688.4867795895204
2020-12-28,1691.6061851621384
2020-12-29,1702.9889992644974
2020-12-30,1702.3709827545624
2020-12-31,1685.2141028629198
2021-01-01,1685.21410286292
2021-01-04,1712.794525247455
2021-01-05,1707.316711874879
2021-01-06,1699.8397090318044
2021-01-07,1706.0726058842324
2021-01-08,1740.2032341672964
2021-01-11,1715.3019102860483
2021-01-12,1719.1321372000223
2021-01-13,1727.636351256696
2021-01-14,1744.8081412993895
2021-01-15,1736.6285652152437
2021-01-18,1750.7948804197983
2021-01-19,1756.7869733994455
2021-01-20,1776.5918263108833
2021-01-21,1811.8432714690873
2021-01-22,1804.808957837016
2021-01-25,1809.237781003523
2021-01-26,1811.2811824961623
2021-01-27,1769.4623877668648
2021-01-28,1763.8246509672888
2021-01-29,1755.2668267771392
2021-02-01,1802.4762124976057
2021-02-02,1824.0277739642238
2021-02-03,1862.6578926567042
2021-02-04,1869.5605428826027
2021-02-05,1883.4827350995424
2021-02-08,1879.0604492559582
2021-02-09,1895.3500811134486
2021-02-10,1867.4538115165997
2021-02-11,1870.424255048596
2021-02-12,1863.9648712191365
2021-02-15,1859.6770274091446
2021-02-16,1854.2751818894872
2021-02-17,1839.009618832092
2021-02-18,1815.9921022255096
2021-02-19,1832.4960133274535
2021-02-22,1809.6456706993238
2021-02-23,1787.703022539001
2021-02-24,1795.4876500501482
2021-02-25,1815.22535357334
2021-02-26,1787.1473248265531
2021-03-01,1811.4914389882344
2021-03-02,1799.0071512015988
2021-03-03,1760.5725716190552
2021-03-04,1728.9899471674184
2021-03-05,1687.2378700131444
2021-03-08,1719.3139369622697
2021-03-09,1741.9348033772794
2021-03-10,1741.3355879530843
2021-03-11,1750.238158763686
2021-03-12,1730.1283535520015
2021-03-15,1742.3015258345126
2021-03-16,1731.8123568410247
2021-03-17,1712.5559656683058
2021-03-18,1712.4343661703517
2021-03-19,1694.647966452652
2021-03-22,1735.4467106950117
2021-03-23,1722.909879425639
2021-03-24,1704.4707468262598
2021-03-25,1690.1187594002538
2021-03-26,1709.4760404935964
2021-03-29,1699.0669669913943
2021-03-30,1706.9677486833527
2021-03-31,1710.1198583538699
2021-04-01,1732.0333275542173
2021-04-02,1732.0333275542175
2021-04-05,1732.0333275542175
2021-04-06,1731.299210704915
2021-04-07,1720.1359155645039
2021-04-08,1728.8415260367915
2021-04-09,1721.1887683871462
2021-04-12,1707.7196712025539
2021-04-13,1702.8760063699356
2021-04-14,1714.8375366443495
2021-04-15,1720.007286249418
2021-04-16,1731.5446476236598
2021-04-19,1737.3575698562734
2021-04-20,1722.458652376174
2021-04-21,1743.5765147202094
2021-04-22,1775.0326708410778
2021-04-23,1757.0550371750828
2021-04-26,1776.763978559249
2021-04-27,1759.7375803128998
2021-04-28,1759.640712622208
2021-04-29,1751.5350281044132
2021-04-30,1751.1658032199837
2021-05-03,1749.375357489622
2021-05-04,1715.735740082991
2021-05-05,1734.7835280200395
2021-05-06,1706.3990590747758
2021-05-07,1726.2889973501162
2021-05-10,1710.156682285042
2021-05-11,1692.6504091039346
2021-05-12,1691.0286047281224
2021-05-13,1708.6639109859243
2021-05-14,1721.64796577431
2021-05-17,1736.4528884351132
2021-05-18,1744.4345940514554
2021-05-19,1723.4070743354798
2021-05-20,1737.3063864934713
2021-05-21,1736.8168799987604
2021-05-24,1740.2643101257647
2021-05-25,1741.668039200911
2021-05-26,1738.1378534219994
