Date,EM EMEA HIGH DIVIDEND YIELD
2002-03-25,1637.0321865266997
2002-03-26,1631.9457291352342
2002-03-27,1635.4869357865562
2002-03-28,1641.91752301698
2002-03-29,1641.311541256046
2002-04-01,1627.3359085518719
2002-04-02,1674.933427695648
2002-04-03,1674.479973427012
2002-04-04,1685.0515799450436
2002-04-05,1701.545691904787
2002-04-08,1688.663556050446
2002-04-09,1680.2489307377448
2002-04-10,1691.6606661537173
2002-04-11,1700.1572252691772
2002-04-12,1701.1419350416177
2002-04-15,1716.2747533205852
2002-04-16,1733.0873559782178
2002-04-17,1739.261614141268
2002-04-18,1754.444015230123
2002-04-19,1756.2137268646138
2002-04-22,1777.293813583366
2002-04-23,1781.3886246253326
2002-04-24,1781.770515360029
2002-04-25,1806.550684173507
2002-04-26,1809.3939815263873
2002-04-29,1812.4940598752903
2002-04-30,1800.5179155196677
2002-05-01,1809.816099832698
2002-05-02,1816.3858652117874
2002-05-03,1853.3560765464879
2002-05-06,1867.8565060011078
2002-05-07,1911.7041725126523
2002-05-08,1917.3504863605706
2002-05-09,1907.325688069444
2002-05-10,1919.0897567584452
