Date,EM FAR EAST IMI GROWTH
2013-11-18,1168.8800975251436
2013-11-19,1173.053803302609
2013-11-20,1170.7290868031532
2013-11-21,1155.457985394152
2013-11-22,1154.6890185369036
2013-11-25,1161.4958222414334
2013-11-26,1160.6736479963056
2013-11-27,1164.2158210261666
2013-11-28,1168.6027013461203
2013-11-29,1173.1967192380337
2013-12-02,1180.0736090166024
2013-12-03,1168.9787990602172
2013-12-04,1165.8320884856068
2013-12-05,1156.083122259795
2013-12-06,1152.113441763278
2013-12-09,1160.606597745499
2013-12-10,1154.7061508534398
2013-12-11,1146.7104579939983
2013-12-12,1138.9806606657348
2013-12-13,1136.9296795620032
2013-12-16,1131.2388159664445
2013-12-17,1134.8279763819066
2013-12-18,1131.9233367070349
2013-12-19,1136.5962139751691
2013-12-20,1128.7193674531102
2013-12-23,1130.3865224482452
2013-12-24,1136.8769416048467
2013-12-25,1137.4363281768074
2013-12-26,1133.0827987258776
2013-12-27,1133.7650911291175
2013-12-30,1134.6007308974881
2013-12-31,1140.4740165115643
2014-01-01,1140.4740165115643
2014-01-02,1140.855831915884
2014-01-03,1128.2172242149468
2014-01-06,1119.9540968143858
2014-01-07,1120.280215609184
2014-01-08,1129.2567704983267
2014-01-09,1121.428810706524
2014-01-10,1115.9375464748948
2014-01-13,1127.5734399736145
2014-01-14,1122.8915441959068
2014-01-15,1134.2932783734634
2014-01-16,1136.5672008652289
2014-01-17,1141.1783353753592
2014-01-20,1137.877933365375
2014-01-21,1139.1439965312015
2014-01-22,1142.9344499394033
2014-01-23,1123.5867094565274
2014-01-24,1112.7065749450812
2014-01-27,1086.2129863349637
2014-01-28,1092.5221225192263
2014-01-29,1108.6040421783603
2014-01-30,1113.7368354766597
2014-01-31,1120.48058977552
2014-02-03,1111.7668737027752
2014-02-04,1091.836357047668
2014-02-05,1084.6920435787965
2014-02-06,1089.5752680386393
2014-02-07,1103.8465211236987
2014-02-10,1103.3953283381336
2014-02-11,1113.3585065662387
