Date,MSCI World IMI with USA Gross Index
2007-09-27,1348.5542006719581
2007-09-28,1343.6293161023011
2007-10-01,1354.7194008141323
2007-10-02,1364.87906806732
2007-10-03,1363.7527996427448
2007-10-04,1365.5435287448054
2007-10-05,1378.17279352733
2007-10-08,1378.910323446689
2007-10-09,1386.6874500299436
2007-10-10,1382.0934751896948
2007-10-11,1378.2652935874764
2007-10-12,1384.8016487514813
2007-10-15,1371.1557572298022
2007-10-16,1363.838103841619
2007-10-17,1364.3086740833648
2007-10-18,1358.723436392765
2007-10-19,1338.0652836278653
2007-10-22,1337.731727678032
2007-10-23,1344.5825860401499
2007-10-24,1341.0053424689727
2007-10-25,1339.467454598123
2007-10-26,1350.700648377807
2007-10-29,1359.879513998689
2007-10-30,1351.199415444929
2007-10-31,1363.200995284862
2007-11-01,1342.3543784583242
2007-11-02,1333.4554622064745
2007-11-05,1324.031487374096
2007-11-06,1330.5605019932634
2007-11-07,1302.9925645521935
2007-11-08,1294.1765643226342
2007-11-09,1277.042313258215
2007-11-12,1271.2402430183738
2007-11-13,1285.619270038391
2007-11-14,1283.0593828649312
2007-11-15,1270.5512818242105
2007-11-16,1266.4880663810516
2007-11-19,1243.396659090125
2007-11-20,1243.6558403657796
2007-11-21,1218.1361235441425
2007-11-22,1219.3840876501029
2007-11-23,1239.3502005283592
2007-11-26,1225.626215399552
2007-11-27,1230.5124844653544
2007-11-28,1264.1448828182347
2007-11-29,1270.0249266988078
2007-11-30,1285.9354152664814
2007-12-03,1282.1275145790967
2007-12-04,1264.7049584678837
2007-12-05,1286.4787704520686
2007-12-06,1301.6282061124382
2007-12-07,1303.723210602766
2007-12-10,1307.085762639109
2007-12-11,1291.2761465216076
2007-12-12,1295.106286449011
2007-12-13,1284.8623339917028
2007-12-14,1283.6409125538419
2007-12-17,1264.2121859957272
2007-12-18,1266.0288218457702
2007-12-19,1264.0252650342968
2007-12-20,1271.992953855347
2007-12-21,1289.17110924634
2007-12-24,1293.808621265076
2007-12-25,1296.1171478233227
2007-12-26,1292.0634653964053
2007-12-27,1279.1575987719284
2007-12-28,1270.958491531929
2007-12-31,1273.7118242758563
2008-01-01,1273.7118242758563
2008-01-02,1256.45465924567
2008-01-03,1254.3867133325268
2008-01-04,1223.0294444314613
2008-01-07,1222.091599413077
2008-01-08,1213.6412684903673
2008-01-09,1218.9580322272548
2008-01-10,1213.7156804437168
2008-01-11,1197.6873586538463
2008-01-14,1201.8312825281278
2008-01-15,1175.544303007991
2008-01-16,1169.8237372511028
2008-01-17,1153.0647292880717
2008-01-18,1149.449439296344
2008-01-21,1127.7011651800892
2008-01-22,1114.107168833032
2008-01-23,1124.5558483238196
2008-01-24,1145.4204277208107
2008-01-25,1146.7458144030004
2008-01-28,1143.2750800183517
2008-01-29,1157.6372382908353
2008-01-30,1149.0047639633979
2008-01-31,1161.6569468494704
2008-02-01,1178.1725795639222
2008-02-04,1176.6844286379408
2008-02-05,1152.5282891504023
2008-02-06,1142.06248728708
2008-02-07,1148.1474982951506
2008-02-08,1147.2271251436289
2008-02-11,1147.2410245272924
2008-02-12,1158.158668224981
2008-02-13,1167.0930371237498
2008-02-14,1162.633313621831
2008-02-15,1152.359840799016
2008-02-18,1160.2001510342561
2008-02-19,1159.0672800852992
2008-02-20,1159.4037489328823
2008-02-21,1151.1925720232246
2008-02-22,1150.5251270915217
2008-02-25,1167.7021107652736
2008-02-26,1175.801647365805
2008-02-27,1167.3331777499357
2008-02-28,1151.4166402575001
2008-02-29,1128.3649573508155
2008-03-03,1116.2461489431903
2008-03-04,1106.9869560107124
2008-03-05,1114.1758722607185
2008-03-06,1095.8842444969225
2008-03-07,1081.9672947272745
2008-03-10,1064.5218566861492
2008-03-11,1090.618326984363
2008-03-12,1086.6014439691037
2008-03-13,1079.564646045654
2008-03-14,1062.264085305428
2008-03-17,1029.438044390308
2008-03-18,1061.8586103729915
2008-03-19,1053.349464470632
2008-03-20,1072.0898457168396
2008-03-21,1074.1832670002848
2008-03-24,1084.21278444976
2008-03-25,1093.7738011020856
2008-03-26,1082.334019732645
2008-03-27,1077.6008966992745
2008-03-28,1074.3607387475708
2008-03-31,1070.2349769896084
2008-04-01,1110.0466391241266
2008-04-02,1119.045108243987
2008-04-03,1120.3960553746522
2008-04-04,1117.9236116918737
2008-04-07,1124.34692564494
2008-04-08,1116.1799763421589
2008-04-09,1103.4452804585173
2008-04-10,1104.9537345522615
2008-04-11,1089.4208464187166
2008-04-14,1080.5558644686837
2008-04-15,1087.6580008147153
2008-04-16,1103.6098033318126
2008-04-17,1104.3890080739184
2008-04-18,1128.7035501495952
2008-04-21,1121.1279777727586
2008-04-22,1109.6925686155303
2008-04-23,1117.8768824380045
2008-04-24,1128.2684265947673
2008-04-25,1141.9985785711374
2008-04-28,1146.5050495490368
2008-04-29,1142.9179467546755
2008-04-30,1145.4049596526625
2008-05-01,1159.837977431449
2008-05-02,1173.9666374652234
2008-05-05,1168.0930850587622
2008-05-06,1168.7874105956337
2008-05-07,1170.3042538234336
2008-05-08,1172.3832639999266
2008-05-09,1161.9820023717207
2008-05-12,1166.942540196254
2008-05-13,1168.446099304915
2008-05-14,1174.2498229785845
2008-05-15,1184.1854055479002
2008-05-16,1186.1213394427245
2008-05-19,1193.1957979272347
2008-05-20,1174.9797079781465
2008-05-21,1154.347187768384
2008-05-22,1159.7940393464721
2008-05-23,1143.8066285314428
2008-05-26,1139.1619335485107
2008-05-27,1144.6228581034934
2008-05-28,1153.4698289287703
2008-05-29,1164.8599419267748
2008-05-30,1168.9780938529532
2008-06-02,1162.622086917589
2008-06-03,1162.7073857994353
2008-06-04,1161.170553723676
2008-06-05,1165.9370471418003
2008-06-06,1134.5118885435509
2008-06-09,1128.5836033522166
2008-06-10,1131.2403842637902
2008-06-11,1115.035571065091
2008-06-12,1119.040510424475
2008-06-13,1134.5947323488872
2008-06-16,1132.4134549431242
2008-06-17,1130.1333666397215
2008-06-18,1120.0980221461716
2008-06-19,1117.6509680331599
2008-06-20,1092.5962029122566
2008-06-23,1097.7035773557666
2008-06-24,1086.7389246535593
2008-06-25,1094.751607709512
2008-06-26,1063.5061487247567
2008-06-27,1059.1137014292772
2008-06-30,1061.189125291018
2008-07-01,1054.2927055443106
2008-07-02,1032.9914185108832
2008-07-03,1039.7054883875123
2008-07-04,1037.1289360171822
2008-07-07,1036.9851175680428
