Date,ACWI ex THAILAND
2018-09-04,2783.0830876204927
2018-09-05,2749.6391589744226
2018-09-06,2737.92525048136
2018-09-07,2743.4638539209077
2018-09-10,2740.967985484069
2018-09-11,2749.0050768165697
2018-09-12,2745.7973728746115
2018-09-13,2749.5185457594125
2018-09-14,2759.187200627145
2018-09-17,2743.439927566559
2018-09-18,2755.3588174601023
2018-09-19,2772.0488172091677
2018-09-20,2774.7366345599444
2018-09-21,2781.7785764561863
2018-09-24,2764.548903519963
2018-09-25,2766.917783836282
2018-09-26,2772.870754490346
2018-09-27,2790.97796426704
2018-09-28,2799.614499764298
2018-10-01,2811.3285470146157
2018-10-02,2809.3688029376103
2018-10-03,2814.207108526083
2018-10-04,2790.535505934522
2018-10-05,2774.176535787423
2018-10-08,2772.891132982881
2018-10-09,2767.607431046139
2018-10-10,2693.060160524936
2018-10-11,2627.077615222163
2018-10-12,2655.6260113239964
2018-10-15,2637.8792415760086
2018-10-16,2684.5325790930956
2018-10-17,2694.1891641065467
2018-10-18,2670.8834375253773
2018-10-19,2667.310167139514
2018-10-22,2666.659703220611
2018-10-23,2639.8915794210125
2018-10-24,2599.609981627525
2018-10-25,2622.7011497156227
2018-10-26,2593.5935488772016
2018-10-29,2580.611546393703
2018-10-30,2612.2658171923094
2018-10-31,2654.8257556808953
2018-11-01,2666.2401815095254
2018-11-02,2673.2934912238393
2018-11-05,2671.593805525713
2018-11-06,2679.3968465784656
2018-11-07,2707.5856307965387
2018-11-08,2715.3119727365183
2018-11-09,2705.1708379206575
2018-11-12,2686.301375024721
2018-11-13,2676.8270719913066
2018-11-14,2657.9475760570876
2018-11-15,2673.052510330108
2018-11-16,2663.4478042594255
2018-11-19,2624.6589746709483
2018-11-20,2591.6608638027697
2018-11-21,2605.6378235037264
2018-11-22,2602.432204891825
2018-11-23,2604.324804141256
2018-11-26,2635.997280929677
2018-11-27,2649.8809192308822
2018-11-28,2691.8400829082666
2018-11-29,2673.810159088365
2018-11-30,2695.686263518294
2018-12-03,2725.9472156370184
2018-12-04,2666.046610737858
2018-12-05,2655.0612671002814
2018-12-06,2618.0873830396745
2018-12-07,2587.1997528149273
2018-12-10,2570.321255435192
2018-12-11,2585.017449835259
2018-12-12,2604.757716634395
2018-12-13,2609.6391052151353
2018-12-14,2579.6437076135094
2018-12-17,2536.5150833345333
2018-12-18,2522.0770743249705
2018-12-19,2492.6170362003377
2018-12-20,2456.782688663453
2018-12-21,2424.1086053829636
2018-12-24,2385.495876749833
2018-12-25,2375.929928153088
2018-12-26,2442.1543945537096
2018-12-27,2458.279158874931
2018-12-28,2464.6205640603503
2018-12-31,2481.6188179695805
2019-01-01,2481.729223961664
2019-01-02,2492.070619158139
2019-01-03,2449.5521975651686
2019-01-04,2509.913775235654
2019-01-07,2520.4760336727577
2019-01-08,2542.874105573726
2019-01-09,2551.175703119842
2019-01-10,2558.19174982872
2019-01-11,2568.089930728328
2019-01-14,2557.537657039951
2019-01-15,2587.218080174411
2019-01-16,2600.493258028951
2019-01-17,2614.613201538996
2019-01-18,2649.843207794725
2019-01-21,2650.2864374830024
2019-01-22,2624.245748161402
2019-01-23,2620.874092684808
2019-01-24,2632.833162155484
2019-01-25,2648.2975698537743
2019-01-28,2623.5064589289573
2019-01-29,2629.24890977364
2019-01-30,2653.983702283896
2019-01-31,2667.403375744097
2019-02-01,2670.3412993165443
2019-02-04,2688.5217613151885
2019-02-05,2709.946617405812
2019-02-06,2711.499080645359
2019-02-07,2691.3993227174587
2019-02-08,2689.104289733604
2019-02-11,2702.676267733588
2019-02-12,2726.9647396703926
2019-02-13,2739.007350033605
2019-02-14,2735.9541031050585
2019-02-15,2758.7512127004793
2019-02-18,2757.1505757938035
2019-02-19,2754.4948497368005
2019-02-20,2763.9966248508495
2019-02-21,2758.137420691091
2019-02-22,2773.9381748780615
2019-02-25,2780.551078157986
2019-02-26,2777.107303361336
2019-02-27,2770.8657416487104
2019-02-28,2760.040276376831
2019-03-01,2772.6427770790633
2019-03-04,2782.832002761769
2019-03-05,2783.860744421417
2019-03-06,2770.9515225943815
2019-03-07,2769.0100635668578
2019-03-08,2751.9681258045007
2019-03-11,2786.0392245909693
2019-03-12,2787.222663776002
2019-03-13,2792.814211420524
2019-03-14,2794.723402495793
2019-03-15,2807.0496229800997
2019-03-18,2818.8551820612997
2019-03-19,2820.1268799528907
2019-03-20,2808.2186317716582
2019-03-21,2825.394315326583
2019-03-22,2802.546441460752
2019-03-25,2780.1152676581723
2019-03-26,2809.751173240283
2019-03-27,2806.8246955145146
2019-03-28,2813.3812053520064
2019-03-29,2834.4310126012774
2019-04-01,2868.803589534613
2019-04-02,2876.9181516763315
2019-04-03,2883.179870569664
2019-04-04,2887.147531497974
2019-04-05,2895.5290847127944
2019-04-08,2890.3877180674012
2019-04-09,2877.813320176646
2019-04-10,2890.2020558668687
2019-04-11,2881.6956242713327
2019-04-12,2885.9076760887237
2019-04-15,2888.666912580267
2019-04-16,2895.746623432247
2019-04-17,2893.5822883512546
2019-04-18,2906.804491393069
2019-04-19,2906.9988359118074
2019-04-22,2904.416514394155
2019-04-23,2932.738429640015
2019-04-24,2925.692793526009
2019-04-25,2934.8381686328976
2019-04-26,2940.773559876059
2019-04-29,2943.935941507457
2019-04-30,2935.868557656078
2019-05-01,2917.2410747106796
2019-05-02,2921.553912421708
2019-05-03,2941.908710285629
2019-05-06,2920.8485907688037
2019-05-07,2883.8880747990443
